#{"t_start": 1692445629.0593333, "env_id": "CustomHopper-target-v0"}
r,l,t
16.761857,21,0.762863
13.157426,17,0.843459
53.827154,66,1.109306
9.291436,13,1.163587
11.513412,13,1.21749
10.697682,28,1.339393
11.295238,17,1.417754
65.010453,49,1.617578
51.079218,42,1.776902
8.43771,10,1.814428
12.84263,15,1.87428
29.161198,26,1.96033
9.824934,12,1.996743
11.292568,16,2.048486
7.562799,20,2.122056
14.317724,17,2.213049
32.296043,45,2.379567
10.529698,18,2.451663
9.900148,20,2.54614
13.05899,15,2.600606
15.888564,17,2.669015
13.848215,19,2.99816
16.616107,18,3.34374
10.958797,16,3.647927
6.157919,9,3.812125
16.726338,22,4.269668
15.258632,17,4.56062
13.187688,42,5.270196
13.134686,18,5.727135
24.023792,22,6.172863
9.706361,12,6.39435
8.232533,27,6.927572
16.899347,17,7.246984
9.412236,15,7.504474
8.334779,16,7.791199
8.521514,14,8.036025
5.015239,8,8.189415
6.231833,10,8.382602
7.04447,10,8.56401
10.331981,15,9.00724
131.709504,82,10.541668
189.569467,84,12.358368
55.384728,53,13.324729
19.666342,25,13.764804
26.122915,30,14.321191
61.248544,37,15.008361
8.413626,26,15.532065
21.472422,20,15.912881
37.769806,47,16.903209
125.058236,66,18.216354
110.713846,81,19.979985
26.802196,38,20.721079
103.46329,59,21.946669
70.488525,50,23.051496
61.877538,85,24.933036
58.99044,36,25.696295
117.141424,69,26.996795
144.906177,92,28.681731
58.068705,35,29.25272
110.287212,75,30.660359
201.944128,89,32.370344
192.66035,91,34.095767
200.1307,113,36.205002
211.307095,95,38.120904
214.183127,99,40.009184
229.067451,108,41.990023
198.542339,92,43.81201
218.189684,107,45.938774
186.476064,93,47.754608
200.003114,93,49.514008
195.179384,89,51.669053
190.577093,96,53.763134
205.898711,93,55.575711
185.19633,91,57.494881
192.035775,92,59.349401
195.517272,87,61.586126
197.494158,89,63.619001
180.701505,87,65.531161
195.400733,89,67.563943
205.255605,92,69.49187
200.97106,92,71.404178
185.90748,84,73.224351
179.162349,84,74.988521
193.663815,88,76.928908
196.817117,89,78.88445
187.345417,86,80.720237
189.051514,87,82.618785
186.853845,90,84.554909
187.53536,86,86.39857
199.840218,89,88.251414
186.950835,86,90.182343
184.750221,89,92.10381
225.469761,99,94.325832
196.058171,88,96.189088
218.272724,99,98.33536
196.326514,96,100.473213
205.475016,92,102.407427
223.883124,96,104.561209
245.972575,102,106.776167
256.916351,105,109.112836
246.622419,106,111.349131
265.24982,114,113.753361
269.422094,116,116.252563
313.983439,123,118.973892
317.022775,129,121.710662
299.93693,121,124.343601
373.120024,138,127.261506
309.647186,129,130.043591
313.705928,135,132.898113
331.504115,131,135.898081
297.00596,128,138.661976
324.162881,133,141.503834
298.016936,129,144.308583
294.593312,124,147.090908
307.531128,128,149.84066
325.270821,132,152.696667
301.882343,130,155.521258
319.292887,129,158.34497
307.608943,132,161.160773
351.68569,146,164.251173
176.924656,89,166.152313
279.891948,131,168.926653
313.01229,127,171.704695
338.029316,150,174.991079
312.137,137,178.014127
332.704038,139,180.890518
287.17994,124,183.542428
279.638039,128,186.361293
323.475251,126,189.083987
330.171907,131,191.903286
333.896631,127,194.579595
342.089659,128,197.259583
325.648652,129,200.031156
309.785675,128,202.68947
331.621594,128,205.514487
330.574072,145,208.622826
335.919958,130,211.431791
323.391244,144,214.620413
374.879046,141,217.601835
304.336266,124,220.201305
333.261988,131,222.992738
294.651181,128,225.711108
291.507171,131,228.512767
321.731912,137,231.473708
311.769117,120,234.117738
315.066749,121,236.703387
303.290664,129,239.630293
341.035974,123,242.38001
334.337599,123,245.118855
357.382733,129,247.905119
365.357631,130,250.671328
324.647182,126,253.418526
360.422945,132,256.175534
354.994438,129,258.939249
356.434471,146,262.171833
332.087194,121,264.735535
305.610538,140,267.861324
330.197087,124,270.557352
331.754426,119,273.124727
353.698675,126,275.814573
350.905589,131,278.69267
349.206939,129,281.404501
352.314715,125,284.057442
347.826068,125,286.738344
359.501642,129,289.443529
354.937488,127,292.208182
344.118405,126,295.034819
378.046492,131,297.760362
341.504271,123,300.475672
343.275641,126,303.067379
325.632307,121,305.75186
340.271196,125,308.367922
319.679781,122,311.012555
316.861785,122,313.700955
330.712297,126,316.410744
349.964352,129,319.219782
343.618644,130,322.236207
346.560286,130,325.240153
321.398415,124,328.083995
333.094469,126,330.873176
342.724612,130,333.689158
352.760378,129,336.524464
342.78819,133,339.466924
329.574148,127,342.346445
329.298564,127,345.151793
339.659632,130,347.964092
371.545921,134,350.739113
319.968532,127,353.560639
381.569505,137,356.462617
340.273096,135,359.375309
364.205351,135,362.439258
371.211274,138,365.434094
376.842236,140,368.552796
376.214328,139,371.551615
346.714174,134,374.466745
336.393131,126,377.151928
379.64135,140,380.279449
376.983168,136,383.112292
355.085445,136,386.055178
394.662995,140,388.966579
378.804549,134,391.845816
393.723516,140,394.836902
402.823045,138,397.739729
415.049693,143,400.774948
408.985279,142,404.031523
415.787919,142,407.276304
427.270281,146,410.544205
418.171865,147,413.881188
419.691446,144,417.227151
436.876209,150,420.919361
398.097827,139,424.167789
411.706371,143,427.312591
425.810622,146,430.64016
418.846269,146,433.820575
471.016148,161,437.381342
462.72429,162,440.888324
415.363499,152,444.157303
407.191634,153,447.47738
517.558032,177,451.2694
411.79237,154,454.669041
392.858984,147,457.877192
442.242341,163,461.438682
407.704509,151,464.704505
372.710965,145,467.720193
433.350074,159,471.132454
408.26309,156,474.449664
458.770951,168,478.102314
369.303527,135,481.073299
360.504805,138,484.107112
366.345733,142,487.184852
382.240517,144,490.298931
396.336505,150,493.653326
333.908096,131,496.483796
345.234849,137,499.470202
422.248516,156,502.77128
439.766764,155,506.173589
397.842842,150,509.475336
381.120513,147,512.627133
402.468929,150,515.981515
378.460611,144,519.096825
366.327625,137,522.114953
405.997951,151,525.354104
441.88958,158,528.736253
