time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates
2580,0,400,10,9.853604545454544,14.272727272727273,,,,,,
2794,0,560,20,13.882203099999998,17.9,,,,,,
2880,0,820,30,13.769074533333336,18.8,,,,,,
2923,0,960,40,14.682650975000001,19.575,,,,,,
2916,0,1160,50,14.13171016,19.32,,,,,,
3057,0,1420,60,14.52007525,19.5,,,,,,
3135,0,1600,70,14.848880857142857,19.542857142857144,,,,,,
3168,0,1800,80,14.653512387500001,19.325,,,,,,
3224,0,2060,90,15.731412065217391,20.043478260869566,,,,,,
3320,0,2280,100,16.11276262,20.43,,,,,,
3383,0,2420,110,16.31324543,20.76,,,,,,
3480,0,2700,120,16.168444020000003,20.61,,,,,,
3597,0,2980,130,17.235220329999997,21.48,,,,,,
3665,0,3160,140,17.72413156,21.85,,,,,,
3740,0,3380,150,18.148629850000003,22.12,,,,,,
3791,0,3600,160,17.748824759999998,22.12,,,,,,
3776,1,3800,170,17.91473341,22.35,,,,,,
3814,1,4000,180,17.33469432,22.02,,,,,,
3853,1,4220,190,16.48164691,21.41,,,,,,
3892,1,4420,200,16.247976619999996,21.2,,,,,,
3903,1,4560,210,17.47408398,21.85,,,,,,
3938,1,4800,220,16.84523025,21.28,,,,,,
3957,1,5040,230,15.564417490000004,20.3,,,,,,
3965,1,5180,240,14.68708242,19.5,,,,,,
3969,1,5400,250,14.692926019999998,19.5,,,,,,
3987,1,5600,260,15.429734999999999,19.78,,,,,,
4025,1,5860,270,15.24216547,19.49,,,,,,
4048,1,6140,280,15.774910300000002,19.84,,,,,,
4072,1,6320,290,17.55965947,21.1,,,,,,
4114,1,6580,300,17.774877169999996,20.99,,,,,,
4123,1,6700,310,17.573809340000004,21.26,,,,,,
4153,1,6960,320,18.312138819999998,21.93,,,,,,
4181,1,7180,330,18.559280429999998,21.81,,,,,,
4176,1,7420,340,19.15194935,22.4,,,,,,
4194,1,7540,350,19.566737869999997,22.55,,,,,,
4216,1,7780,360,18.54264647,21.65,,,,,,
4244,1,8040,370,18.39999639,21.72,,,,,,
4251,1,8160,380,18.203490669999997,21.58,,,,,,
4274,1,8400,390,16.875224100000004,20.63,,,,,,
4281,2,8660,400,16.891219560000003,20.88,,,,,,
4311,2,8940,410,17.16633895,21.17,,,,,,
4317,2,9160,420,17.53596725,21.4,,,,,,
4327,2,9320,430,17.69036689,21.62,,,,,,
4306,2,9560,440,17.009085659999997,20.68,,,,,,
4318,2,9780,450,18.05440254,21.81,,,,,,
4325,2,10020,460,18.62884281,22.62,,,,,,
3953,2,10280,470,18.846466689999996,22.9,-4.188312530517578,-0.03633701056241989,1.9821054935455322,0.0005994842503189409,0.9928264021873474,13
3646,2,10520,480,18.779377200000003,23.03,-4.5789361000061035,-0.0723433792591095,1.0995869636535645,0.0005994842503189409,0.9857000708580017,25
3503,3,10660,490,18.66981264,23.17,-4.497903823852539,-0.0936519056558609,1.0915695428848267,0.0005994842503189409,0.9815678000450134,32
3212,3,11000,500,18.76733723,23.45,-4.941273212432861,-0.14492198824882507,0.6875607371330261,0.0005994842503189409,0.9716017246246338,49
3036,3,11260,510,18.0800485,22.7,-5.028267860412598,-0.1856251060962677,0.49096283316612244,0.0005994842503189409,0.9640505313873291,62
2869,4,11500,520,18.47957044,23.33,-5.0171918869018555,-0.21874025464057922,0.6290515661239624,0.0005994842503189409,0.9571365118026733,74
2744,4,11780,530,19.02621197,23.77,-5.237918853759766,-0.262759268283844,0.43391090631484985,0.0005994842503189409,0.9491361379623413,88
2642,4,12000,540,19.540467450000005,24.28,-5.226522445678711,-0.29472967982292175,0.45455169677734375,0.0005994842503189409,0.9428924322128296,99
2584,4,12180,550,18.693342710000003,23.71,-5.3717875480651855,-0.32436323165893555,0.39226675033569336,0.0005994842503189409,0.9378126859664917,108
2516,4,12380,560,18.68825951,23.51,-5.387609481811523,-0.3525262773036957,0.40014055371284485,0.0005994842503189409,0.9322009682655334,118
2402,5,12700,570,19.07972377,23.6,-5.420627593994141,-0.4015665650367737,0.41896742582321167,0.0005994842503189409,0.9232928156852722,134
2342,5,12940,580,19.501499980000002,23.88,-5.495420932769775,-0.4373738467693329,0.32693713903427124,0.0005994842503189409,0.9166752696037292,146
2277,5,13140,590,20.50077432,24.14,-5.583780288696289,-0.46928614377975464,0.4688152074813843,0.0005994842503189409,0.9111947417259216,156
2250,5,13260,600,20.700284470000007,24.28,-5.661730766296387,-0.4873749911785126,0.29535356163978577,0.0005994842503189409,0.9079220294952393,162
2212,6,13460,610,19.954457799999997,23.61,-5.723875999450684,-0.5170688629150391,0.3295699954032898,0.0005994842503189409,0.9024927616119385,172
2156,6,13680,620,18.48320557,22.2,-5.758358001708984,-0.5494803786277771,0.3861996829509735,0.0005994842503189409,0.8965691328048706,183
2102,6,13960,630,18.321738110000002,21.95,-5.759774208068848,-0.591756284236908,0.49037426710128784,0.0005994842503189409,0.8890855312347412,197
2044,6,14200,640,17.717855439999997,21.54,-5.952498912811279,-0.6264963746070862,0.4414471983909607,0.0005994842503189409,0.882718563079834,209
1999,7,14420,650,17.484495839999997,21.51,-6.020076274871826,-0.661402702331543,0.6317189931869507,0.0005994842503189409,0.8769264221191406,220
1964,7,14660,660,18.12765411,22.29,-6.131796836853027,-0.6965512037277222,0.4043023884296417,0.0005994842503189409,0.8706433176994324,232
1900,7,15060,670,18.46913954,22.67,-5.939741134643555,-0.7488086223602295,0.5449081063270569,0.0005994842503189409,0.8602845668792725,252
1871,8,15260,680,18.835206699999997,23.29,-6.29410982131958,-0.7948318719863892,0.32398176193237305,0.0005994842503189409,0.8551599979400635,262
