time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef_loss
3263,340,0,10.9300246,14.2,10,,,,,,
3708,600,0,11.442642904761906,15.952380952380953,20,,,,,,
4140,840,0,12.296622225806452,17.70967741935484,30,,,,,,
4373,1120,0,13.511977100000001,18.9,40,,,,,,
4302,1340,0,15.365783799999999,20.12,50,,,,,,
4263,1580,0,16.8577482,20.6,60,,,,,,
4352,1860,0,17.184167114285717,20.728571428571428,70,,,,,,
4341,1980,0,17.358110675,21.175,80,,,,,,
4455,2240,0,17.108584844444444,20.81111111111111,90,,,,,,
4512,2460,0,19.559548659999997,22.13,100,,,,,,
4425,2900,0,20.73166152,23.42,110,,,,,,
4452,3060,0,21.937099869999997,24.26,120,,,,,,
4380,3300,0,23.02000229,24.74,130,,,,,,
4380,3540,0,23.070901030000005,24.59,140,,,,,,
4381,3800,0,24.121743690000002,25.07,150,,,,,,
4405,4020,0,23.750976929999997,24.96,160,,,,,,
4249,4260,1,23.362860089999998,24.62,170,,,,,,
4269,4400,1,24.71526394,25.37,180,,,,,,
4253,4700,1,24.569090610000007,25.26,190,,,,,,
4292,4960,1,22.44686545,24.39,200,,,,,,
4306,5180,1,22.128696650000002,24.14,210,,,,,,
4316,5420,1,21.400858359999997,23.65,220,,,,,,
4339,5600,1,20.43616876,23.11,230,,,,,,
4354,5920,1,20.73499961,23.4,240,,,,,,
4393,6120,1,20.00081132,23.34,250,,,,,,
4373,6320,1,19.51795928,23.14,260,,,,,,
4397,6580,1,19.404506580000003,23.41,270,,,,,,
4363,6860,1,19.1904853,23.03,280,,,,,,
4316,7000,1,19.67249176,23.47,290,,,,,,
4335,7260,1,19.07282423,22.89,300,,,,,,
4367,7500,1,19.17285595,22.9,310,,,,,,
4407,7740,1,19.7542064,23.3,320,,,,,,
4385,8040,1,21.32742072,24.14,330,,,,,,
4401,8220,1,20.800914399999996,23.75,340,,,,,,
4387,8500,1,20.037273130000003,23.61,350,,,,,,
4403,8660,1,20.16439574,23.71,360,,,,,,
4353,8900,2,20.775119330000003,23.73,370,,,,,,
4347,9080,2,19.68799931,23.17,380,,,,,,
4368,9320,2,19.08483784,22.89,390,,,,,,
4387,9560,2,18.834609590000003,22.53,400,,,,,,
4385,9700,2,18.83373427,22.56,410,,,,,,
4389,9920,2,17.9325641,21.69,420,,,,,,
4210,10140,2,16.595401730000003,21.14,430,0.9916952848434448,0.0016681005372000592,6,1.990159511566162,-4.741850852966309,-0.04170828312635422
3955,10380,2,17.337094340000004,21.83,440,0.972019374370575,0.0016681005372000592,18,0.9484869837760925,-4.320828914642334,-0.1426527053117752
3729,10600,2,16.578836289999998,20.84,450,0.9543062448501587,0.0016681005372000592,29,0.5634280443191528,-5.008517265319824,-0.23597359657287598
3564,10760,3,17.28403886,21.49,460,0.941633403301239,0.0016681005372000592,37,0.36187440156936646,-4.779913902282715,-0.30226457118988037
3421,10960,3,16.47827401,21.08,470,0.9260327219963074,0.0016681005372000592,47,0.3726561367511749,-5.0217084884643555,-0.3860897123813629
3227,11200,3,16.539142260000002,21.27,480,0.9076488614082336,0.0016681005372000592,59,0.32882851362228394,-5.106328010559082,-0.48635536432266235
3022,11540,3,16.959765259999998,21.67,490,0.8822356462478638,0.0016681005372000592,76,0.24578750133514404,-5.185117721557617,-0.6334989070892334
2860,11840,4,16.8592977,21.93,500,0.860388457775116,0.0016681005372000592,91,0.31457817554473877,-5.26303243637085,-0.7572832107543945
2751,12060,4,17.74949262,22.53,510,0.8447355628013611,0.0016681005372000592,102,0.2979563772678375,-5.265286445617676,-0.848635196685791
2632,12300,4,19.22395708,22.95,520,0.827978253364563,0.0016681005372000592,114,0.23444682359695435,-5.37161111831665,-0.9478599429130554
2516,12620,5,18.827833860000002,22.67,530,0.806161105632782,0.0016681005372000592,130,0.27006444334983826,-5.410602569580078,-1.0847457647323608
2455,12860,5,19.999110759999997,23.47,540,0.7901844382286072,0.0016681005372000592,142,0.2583906054496765,-5.440435409545898,-1.1878581047058105
2394,13080,5,22.511593229999995,24.82,550,0.7758092880249023,0.0016681005372000592,153,0.268606960773468,-5.537966251373291,-1.2770769596099854
2316,13420,5,22.81248849,25.3,560,0.754102349281311,0.0016681005372000592,170,0.33949705958366394,-5.518918514251709,-1.4214887619018555
2266,13600,6,23.29532249,25.96,570,0.7428503036499023,0.0016681005372000592,179,0.27219197154045105,-5.489422798156738,-1.496193766593933
2185,13900,6,23.38937688,25.95,580,0.7245168089866638,0.0016681005372000592,194,0.2327631562948227,-5.631944179534912,-1.6165281534194946
2080,14420,6,24.157146770000004,26.49,590,0.6938236355781555,0.0016681005372000592,220,0.3345702290534973,-5.682517051696777,-1.8438434600830078
2036,14680,7,25.80983846,27.65,600,0.6789611577987671,0.0016681005372000592,233,0.25827115774154663,-5.643691062927246,-1.9409680366516113
1988,15020,7,29.481943499999996,29.81,610,0.6600427031517029,0.0016681005372000592,250,0.38446587324142456,-5.755161285400391,-2.08302640914917
1952,15360,7,28.36226982,30.02,620,0.6416488289833069,0.0016681005372000592,267,0.2850320637226105,-5.707218170166016,-2.2134408950805664
1906,15780,8,30.764961649999996,30.96,630,0.6196735501289368,0.0016681005372000592,288,0.39890938997268677,-5.846576690673828,-2.4036123752593994
1846,16260,8,30.808610620000003,32.01,640,0.5955111384391785,0.0016681005372000592,312,0.6945015788078308,-5.837850093841553,-2.565844774246216
1808,16600,9,32.05631924,32.66,650,0.5790126323699951,0.0016681005372000592,329,0.2904176712036133,-6.114663600921631,-2.7455029487609863
1742,17140,9,36.406283280000004,34.75,660,0.5537353754043579,0.0016681005372000592,356,0.5419662594795227,-5.929180145263672,-2.9069957733154297
1645,17700,10,38.285542060000004,36.31,670,0.5287134051322937,0.0016681005372000592,384,0.39197567105293274,-6.208233833312988,-3.144582509994507
1588,18220,11,45.77517733000001,41.19,680,0.5065816044807434,0.0016681005372000592,410,0.35014808177948,-6.468263149261475,-3.315156936645508
1547,18700,12,47.726823200000005,42.75,690,0.48700830340385437,0.0016681005372000592,434,0.3410518765449524,-6.623833179473877,-3.549816131591797
1523,19140,12,49.877833410000015,44.09,700,0.4697915017604828,0.0016681005372000592,456,0.3478214740753174,-6.673618316650391,-3.712658643722534
1490,19740,13,49.486899859999994,44.02,710,0.44741809368133545,0.0016681005372000592,486,0.4274882972240448,-7.0372443199157715,-3.966667652130127
1465,20420,13,55.68905564999999,47.02,720,0.42335304617881775,0.0016681005372000592,520,0.671854555606842,-6.944308757781982,-4.090683460235596
1444,21020,14,57.59750271,48.04,730,0.4033021628856659,0.0016681005372000592,550,0.5383375883102417,-6.92657470703125,-4.268202304840088
1414,21800,15,64.62612804999999,52.84,740,0.3789006173610687,0.0016681005372000592,589,0.3921353220939636,-7.390707015991211,-4.534811973571777
1388,22560,16,68.5405239,56.07,750,0.35662841796875,0.0016681005372000592,627,0.43640923500061035,-7.824509620666504,-4.686101913452148
1374,23060,16,69.67087227000002,57.03,760,0.3428184390068054,0.0016681005372000592,652,0.3657976984977722,-7.838441848754883,-4.814526557922363
1357,23620,17,74.82491302,59.37,770,0.3280530571937561,0.0016681005372000592,680,0.4318234324455261,-7.944859981536865,-4.820534706115723
1337,24060,17,74.04026458999999,57.9,780,0.3170320689678192,0.0016681005372000592,702,1.1338938474655151,-7.881448268890381,-5.024145126342773
1323,24760,18,76.55745453,58.48,790,0.30038973689079285,0.0016681005372000592,737,0.29759520292282104,-8.591547012329102,-5.423881530761719
1309,25420,19,79.28574056000001,59.04,800,0.285561740398407,0.0016681005372000592,770,0.39420607686042786,-8.525041580200195,-5.700719833374023
1302,25700,19,80.26963549999999,58.49,810,0.2794983983039856,0.0016681005372000592,784,1.2521417140960693,-8.536176681518555,-5.603115081787109
1291,26220,20,80.8415751,58.88,820,0.26873406767845154,0.0016681005372000592,810,0.8184699416160583,-8.313730239868164,-5.259565830230713
1286,26440,20,82.22391351999998,60.25,830,0.26440197229385376,0.0016681005372000592,821,0.30297645926475525,-9.059476852416992,-5.9489898681640625
1274,27040,21,80.04437548,56.43,840,0.2526716887950897,0.0016681005372000592,851,1.2387771606445312,-8.984655380249023,-5.376735687255859
1260,27900,22,79.84634933000001,53.9,850,0.23698215186595917,0.0016681005372000592,894,0.6453472971916199,-9.185142517089844,-5.602041244506836
1250,28500,22,84.81889663000001,54.51,860,0.22682052850723267,0.0016681005372000592,924,1.6458837985992432,-9.606468200683594,-6.191147804260254
1230,29700,24,95.42844224999999,57.3,870,0.20823930203914642,0.0016681005372000592,984,0.8005476593971252,-10.155683517456055,-6.320703029632568
1221,30220,24,106.93272746000001,61.46,880,0.20086342096328735,0.0016681005372000592,1010,1.3750300407409668,-10.784217834472656,-6.169173717498779
1201,31340,26,118.24649382000001,64.99,890,0.18601058423519135,0.0016681005372000592,1066,2.2730917930603027,-11.268607139587402,-5.474276542663574
1197,31900,26,127.72758207999999,68.01,900,0.17929339408874512,0.0016681005372000592,1094,1.228000283241272,-11.61941909790039,-6.36301326751709
1182,33160,28,140.55738643,73.02,910,0.16490407288074493,0.0016681005372000592,1157,0.8651928901672363,-12.30839729309082,-6.1187663078308105
1178,33660,28,151.79035288,76.15,920,0.1595892757177353,0.0016681005372000592,1182,0.8308175802230835,-12.340080261230469,-6.614475250244141
1166,34980,29,161.58593851,79.04,930,0.14685972034931183,0.0016681005372000592,1248,0.5476217865943909,-12.814011573791504,-7.595744609832764
1160,35700,30,173.90944684,83.67,940,0.1400902271270752,0.0016681005372000592,1284,2.4607410430908203,-12.895153045654297,-6.263443946838379
1149,37020,32,187.44059949,88.99,950,0.12941160798072815,0.0016681005372000592,1350,1.986547827720642,-14.296331405639648,-6.772643566131592
1144,37620,32,196.04527012000003,92.48,960,0.12478480488061905,0.0016681005372000592,1380,0.5281745195388794,-14.276334762573242,-5.176486015319824
1132,39080,34,197.41467207999997,93.12,970,0.11479547619819641,0.0016681005372000592,1453,2.9250423908233643,-15.144388198852539,-6.1582512855529785
