#{"t_start": 1692446237.77455, "env_id": "CustomHopper-source-v0"}
r,l,t
22.112841,24,3.101905
19.910917,20,3.20793
5.846276,15,3.285811
43.175587,33,3.455923
48.763547,51,3.704715
133.028518,72,4.076628
4.880076,22,4.187282
8.810375,11,4.248453
11.212527,21,4.358421
13.553378,16,4.453577
23.293341,27,4.585532
8.425188,15,4.663843
15.650726,29,4.807769
7.23559,14,4.873791
12.969846,23,4.984038
5.718718,12,5.048091
58.637078,35,5.233585
13.680627,15,5.312464
14.527707,17,5.396769
8.147504,17,5.479088
4.495651,10,5.527876
11.081384,23,13.267327
23.547873,24,13.748317
29.724094,24,14.260877
25.408445,28,14.872791
9.807397,13,15.132771
31.17344,26,15.730715
7.395395,11,15.963191
6.77916,35,16.782778
6.649252,16,17.115096
72.565203,43,18.03676
46.38221,38,18.896536
73.078699,50,19.992921
131.182173,101,22.219383
49.188784,29,22.834797
86.889435,47,30.713669
177.946674,84,32.498689
183.102987,84,34.273895
158.469334,79,36.076245
175.725818,83,37.815222
175.737646,79,39.498613
164.011259,80,41.258467
176.337862,84,49.893066
173.549411,85,51.705215
172.817488,84,53.57821
166.809803,83,55.425555
126.774283,66,56.829945
183.726244,90,58.748703
150.238124,75,67.47405
171.547116,84,69.284495
125.087709,63,70.683668
176.097132,85,72.463336
172.217969,84,74.215018
149.084156,75,75.788033
154.947809,77,85.120408
162.909782,80,86.873642
159.22383,79,88.651667
181.469574,90,90.583225
180.612173,88,92.42251
174.655548,83,94.101061
186.749084,92,105.14242
246.053401,107,107.489283
233.24434,104,109.692254
151.876241,76,111.337595
273.294315,115,113.72659
254.140215,112,127.356302
157.866398,80,129.05273
271.992185,113,131.413161
249.481158,105,133.489541
234.241802,108,135.459086
296.855748,121,147.963409
232.611776,102,150.126374
329.734256,127,152.626379
253.79765,114,154.933712
313.812738,131,169.310858
297.15454,127,171.876064
567.093459,189,175.718216
335.053484,127,196.838836
298.885358,127,199.438598
600.245331,192,203.32214
509.621973,177,206.796887
367.343648,137,222.232619
424.601924,165,225.668775
624.195121,218,244.963648
354.283295,129,247.531659
310.162036,121,249.674772
295.16551,116,251.875535
347.190824,123,266.088987
264.449128,108,268.396618
345.399219,131,271.13787
295.208775,115,273.49272
333.027367,122,276.000906
344.415679,129,288.971745
314.287227,120,291.460734
329.557236,127,294.055076
350.761051,135,297.249445
256.310109,106,310.409242
337.587135,129,312.745169
311.551634,125,315.3773
314.823641,125,317.952903
392.064982,144,332.174797
341.818853,130,334.829913
332.308613,127,337.396884
295.075521,119,339.645212
371.028009,137,353.286025
310.505952,124,355.966232
376.455189,139,358.740575
336.61864,130,373.355123
381.653654,141,376.117072
409.785932,140,379.047976
343.897503,129,381.721017
398.475329,142,395.827816
460.590739,156,398.998623
444.325497,150,401.936838
287.398814,113,404.277778
378.34752,136,418.916809
395.842163,143,421.949797
419.304239,145,424.880455
342.934034,129,439.012153
496.337556,162,442.283987
533.403652,170,446.068179
379.816624,131,460.734613
465.143169,147,463.864739
355.575847,123,466.3998
560.491477,175,469.972531
148.373741,74,472.670935
334.784458,128,475.181685
353.528052,125,477.550924
278.311066,111,479.728377
345.57805,124,493.541231
341.437869,130,496.157634
492.352501,157,499.279821
443.647231,152,502.373628
490.158058,161,516.845085
308.886942,119,519.307823
387.923858,133,521.864416
299.923367,116,524.116178
566.07773,175,538.066179
257.714533,103,540.132638
333.108382,126,542.768265
353.706006,124,557.008
283.653628,111,559.158913
535.782921,166,562.389721
532.647691,171,565.791866
254.159152,104,578.589814
549.427414,169,582.073952
9.123329,12,582.34634
429.175249,144,585.277791
486.604236,152,601.109266
374.057947,134,603.829611
573.39018,180,607.676897
428.378731,141,621.795724
293.819371,114,624.079456
258.829049,104,626.165445
403.13619,135,629.107492
267.246721,107,631.407521
377.427799,131,645.743747
241.524222,99,647.739978
628.506224,196,652.019504
490.847418,154,669.053046
365.481294,132,671.767874
676.340427,214,676.461297
497.524515,151,692.123303
447.641038,142,694.962557
603.281576,178,699.286833
512.401504,157,713.933484
576.751531,171,717.726363
421.402147,142,720.880724
387.629035,137,724.000425
275.079895,105,738.781054
383.960308,131,742.014534
705.013158,215,746.393116
706.72092,217,764.701522
473.712322,149,768.692176
482.694607,150,773.016454
425.444829,162,784.560827
15.379366,17,784.921674
553.95744,176,788.725147
828.739885,249,811.065154
732.165813,245,816.314893
573.949147,219,841.355511
1234.201026,378,850.025743
592.738596,172,875.00315
223.37175,94,877.030118
418.827458,139,880.061313
1385.453091,413,937.144626
1255.413877,397,979.638499
1255.001966,380,987.42169
289.75378,111,1023.430003
819.073463,255,1028.784585
553.708877,166,1046.255789
658.800338,200,1050.640071
671.739773,207,1054.935175
855.66369,250,1074.586574
702.385463,214,1078.818204
609.512475,191,1097.903263
562.63189,179,1101.856559
624.681581,193,1105.860449
506.303059,162,1124.073411
471.247157,144,1127.158322
499.836553,154,1130.457641
551.780532,164,1147.466922
567.200108,176,1151.310413
615.076434,188,1155.435817
577.807554,170,1173.735214
588.741399,185,1177.792779
629.841064,183,1181.707112
