time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
3115,10,15.727272727272727,380,0,9.334845363636363,,,,,,
3355,20,17.7,640,0,12.07781225,,,,,,
3391,30,18.366666666666667,780,0,14.341206133333333,,,,,,
3476,40,18.825,1000,0,15.215773625,,,,,,
3578,50,19.08,1260,0,14.738948900000002,,,,,,
3587,60,20.0,1440,0,16.3699493,,,,,,
3605,70,20.690140845070424,1640,0,17.030015323943662,,,,,,
3649,80,20.575,1840,0,16.9516838875,,,,,,
3739,90,20.23076923076923,2120,0,16.29194184615385,,,,,,
3763,100,20.42,2320,0,16.46187896,,,,,,
3790,110,21.13,2520,0,17.090389280000004,,,,,,
3800,120,21.45,2740,0,17.912653210000002,,,,,,
3798,130,21.46,2940,0,17.84515369,,,,,,
3812,140,21.7,3160,0,17.58918752,,,,,,
3812,150,21.76,3360,0,17.94962409,,,,,,
3806,160,21.14,3560,0,16.828668359999998,,,,,,
3796,170,20.32,3720,0,16.062257059999997,,,,,,
3803,180,20.49,3980,1,16.18682862,,,,,,
3829,190,20.99,4260,1,17.00724916,,,,,,
3835,200,21.52,4480,1,18.19362301,,,,,,
3843,210,21.91,4720,1,18.911755409999998,,,,,,
3824,220,21.52,4840,1,17.994066,,,,,,
3825,230,21.06,5000,1,17.646525490000002,,,,,,
3823,240,20.64,5200,1,16.900721620000002,,,,,,
3819,250,20.99,5400,1,17.056994419999995,,,,,,
3803,260,20.93,5600,1,16.96305792,,,,,,
3799,270,20.86,5800,1,16.799659690000002,,,,,,
3815,280,20.95,6080,1,17.00501613,,,,,,
3821,290,21.59,6320,1,17.342095389999997,,,,,,
3823,300,20.63,6520,1,16.02150423,,,,,,
3832,310,20.14,6740,1,15.088334759999995,,,,,,
3837,320,20.7,6940,1,15.83101697,,,,,,
3836,330,20.64,7120,1,15.358368530000002,,,,,,
3853,340,21.52,7380,1,16.71068276,,,,,,
3855,350,21.07,7540,1,16.57902997,,,,,,
3859,360,21.14,7780,2,16.72249846,,,,,,
3863,370,21.7,7940,2,17.55768298,,,,,,
3864,380,21.25,8160,2,16.92157357,,,,,,
3859,390,20.78,8320,2,16.496929839999996,,,,,,
3857,400,20.36,8520,2,15.780092049999997,,,,,,
3859,410,20.09,8780,2,15.371998820000002,,,,,,
3852,420,20.27,8920,2,15.535921520000002,,,,,,
3857,430,20.39,9140,2,15.82778798,,,,,,
3863,440,19.68,9340,2,15.12949914,,,,,,
3864,450,19.45,9580,2,14.92703704,,,,,,
3874,460,19.69,9880,2,15.095752379999997,,,,,,
1057,470,19.9,10000,9,14.885272749999999,,,,,,
1013,480,20.7,10320,10,15.72646388,-0.3292700946331024,0.004641588833612777,-4.477008819580078,0.4458998739719391,0.9369445443153381,15
1011,490,20.48,10480,10,15.355863330000002,-0.5160570740699768,0.004641588833612777,-4.673920631408691,0.23692482709884644,0.9025969505310059,23
1012,500,21.01,10700,10,16.10467491,-0.7763397097587585,0.004641588833612777,-4.563208103179932,0.24627037346363068,0.8574060201644897,34
1010,510,20.97,11000,10,16.738938119999997,-1.1307556629180908,0.004641588833612777,-4.4352803230285645,0.3214861750602722,0.7994625568389893,49
1008,520,21.34,11200,11,17.75649747,-1.3708879947662354,0.004641588833612777,-4.544600486755371,0.2686411738395691,0.7630652189254761,59
1007,530,22.15,11500,11,18.79654286,-1.7133946418762207,0.004641588833612777,-4.403297424316406,0.19546595215797424,0.7115570902824402,74
1006,540,22.65,11840,11,19.651853950000003,-2.1157283782958984,0.004641588833612777,-4.37678337097168,0.1820567399263382,0.6574440002441406,91
1003,550,24.31,12080,12,22.38448688,-2.3954415321350098,0.004641588833612777,-4.366005897521973,0.25417178869247437,0.6217970252037048,103
