time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
2733,10,15.1,380,0,11.0516575,,,,,,
2816,20,18.6,620,0,13.273739599999999,,,,,,
2653,30,18.4,840,0,14.114399300000002,,,,,,
2716,40,19.975,1080,0,17.036209475,,,,,,
2872,50,20.78,1300,0,16.9588233,,,,,,
2848,60,20.916666666666668,1460,0,16.957264499999997,,,,,,
2961,70,20.583333333333332,1660,0,16.777171041666666,,,,,,
3099,80,20.9,1860,0,17.4610700125,,,,,,
3218,90,20.8,2120,0,17.001090511111112,,,,,,
3167,100,20.85,2320,0,17.058738560000002,,,,,,
3273,110,21.05,2560,0,17.135107100000003,,,,,,
3319,120,21.18,2740,0,17.54333623,,,,,,
3341,130,21.65,2900,0,17.463345059999998,,,,,,
3393,140,20.85,3180,0,16.19207985,,,,,,
3452,150,20.61,3380,0,15.98210398,,,,,,
3441,160,20.46,3640,1,16.05637075,,,,,,
3489,170,21.35,3860,1,17.097911090000004,,,,,,
3551,180,21.2,4100,1,16.57888806,,,,,,
3620,190,21.23,4340,1,16.70349054,,,,,,
3632,200,22.03,4600,1,17.837888290000002,,,,,,
3648,210,22.58,4800,1,18.396034970000002,,,,,,
3694,220,22.62,5120,1,18.575515609999997,,,,,,
3738,230,23.07,5380,1,19.52002813,,,,,,
3738,240,24.47,5600,1,21.36136736,,,,,,
3770,250,24.83,5900,1,21.93900611,,,,,,
3752,260,25.32,6080,1,22.125939459999998,,,,,,
3683,270,24.97,6360,1,21.43897472,,,,,,
3711,280,25.02,6580,1,21.185479429999997,,,,,,
3740,290,25.22,6820,1,21.393002439999997,,,,,,
3774,300,24.75,7060,1,20.877979359999994,,,,,,
3785,310,24.22,7320,1,20.072881540000004,,,,,,
3781,320,24.56,7460,1,20.4852318,,,,,,
3793,330,24.11,7700,2,19.614712800000003,,,,,,
3808,340,23.34,7940,2,17.9234368,,,,,,
3820,350,23.05,8160,2,17.490264560000004,,,,,,
3832,360,22.63,8380,2,17.53470755,,,,,,
3833,370,22.43,8600,2,17.55471975,,,,,,
3828,380,22.72,8820,2,18.08666799,,,,,,
3842,390,22.22,9040,2,17.82104133,,,,,,
3863,400,22.33,9360,2,17.89322049,,,,,,
3869,410,22.93,9480,2,18.039478940000002,,,,,,
3871,420,22.46,9680,2,17.898212200000003,,,,,,
3901,430,21.82,10000,2,17.44709227,,,,,,
3589,440,22.46,10240,2,18.107763379999998,-0.23542805016040802,0.004641588833612777,-4.870817184448242,0.5481696724891663,0.9545941352844238,11
3383,450,22.1,10440,3,18.251463429999998,-0.46935227513313293,0.004641588833612777,-4.8773193359375,0.317053884267807,0.9109562635421753,21
3143,460,23.16,10720,3,19.215402419999997,-0.7978065013885498,0.004641588833612777,-4.741660118103027,0.25285592675209045,0.8531450629234314,35
2966,470,23.49,10940,3,19.20269379,-1.0573816299438477,0.004641588833612777,-4.656888008117676,0.22992342710494995,0.8103472590446472,46
2838,480,23.06,11120,3,19.127216169999993,-1.2679460048675537,0.004641588833612777,-4.687600135803223,0.17463989555835724,0.7769588828086853,55
2696,490,23.78,11340,4,19.94089734,-1.538468360900879,0.004641588833612777,-4.545708656311035,0.2583969831466675,0.7380566000938416,66
2586,500,23.01,11580,4,19.020114729999996,-1.8082095384597778,0.004641588833612777,-4.5670552253723145,0.2268867790699005,0.6978785991668701,78
2497,510,22.78,11780,4,18.763587089999998,-2.0462589263916016,0.004641588833612777,-4.412465572357178,0.22044682502746582,0.6661036610603333,88
2407,520,23.39,12020,4,19.530545630000002,-2.317249298095703,0.004641588833612777,-4.355445861816406,0.24122527241706848,0.6298790574073792,100
2310,530,24.0,12280,5,20.33699384,-2.6365649700164795,0.004641588833612777,-4.499340057373047,0.17626945674419403,0.5929019451141357,113
2192,540,24.09,12640,5,21.02558943,-3.063490390777588,0.004641588833612777,-4.354702949523926,0.17079518735408783,0.5453220009803772,131
2093,550,24.79,12960,6,21.475090129999998,-3.413280487060547,0.004641588833612777,-4.30302095413208,0.16387157142162323,0.5062499642372131,147
2027,560,24.39,13220,6,20.939979169999997,-3.7243123054504395,0.004641588833612777,-4.2956743240356445,0.13465255498886108,0.47658857703208923,160
1933,570,25.42,13660,7,22.77944073,-4.203468322753906,0.004641588833612777,-4.428518772125244,0.0826735720038414,0.4303686022758484,182
1856,580,26.89,14140,7,24.56816474,-4.7753472328186035,0.004641588833612777,-4.078381061553955,0.19734272360801697,0.38511624932289124,206
1798,590,29.32,14560,8,29.179391049999996,-5.245938301086426,0.004641588833612777,-4.35758113861084,0.1219836175441742,0.34963229298591614,227
1762,600,32.14,14860,8,32.66650804,-5.563101291656494,0.004641588833612777,-4.305985450744629,0.23445618152618408,0.3262702524662018,242
1704,610,33.17,15400,9,34.64985842,-6.180611610412598,0.004641588833612777,-4.338560104370117,0.10262283682823181,0.2882712781429291,269
1674,620,34.61,15720,9,37.46466092000001,-6.490652084350586,0.004641588833612777,-4.399706840515137,0.11232954263687134,0.26795849204063416,285
1642,630,36.34,16100,9,40.412942290000004,-6.8162455558776855,0.004641588833612777,-4.491148948669434,0.13820256292819977,0.24580691754817963,304
1573,640,39.11,17060,10,46.30493029,-7.594335079193115,0.004641588833612777,-4.368442058563232,0.30005836486816406,0.19835329055786133,352
1540,650,43.15,17620,11,53.10518740999998,-7.954086780548096,0.004641588833612777,-4.499660491943359,0.18014755845069885,0.17548277974128723,380
1499,660,45.1,18480,12,57.484773430000004,-8.72736930847168,0.004641588833612777,-4.808525562286377,0.28378933668136597,0.14586496353149414,423
1473,670,47.71,19000,12,62.83358407000001,-7.989029884338379,0.004641588833612777,-4.825031280517578,0.3872244954109192,0.130756676197052,449
1456,680,51.78,19460,13,68.38682736000001,-8.664443016052246,0.004641588833612777,-4.8308868408203125,0.5256892442703247,0.11910621076822281,472
1427,690,51.85,20180,14,69.15572051000001,-7.102690696716309,0.004641588833612777,-4.898639678955078,0.5877439975738525,0.1031094416975975,508
