time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss
360,4929,10,15.153846153846153,12.039914923076925,0,,,,,,
660,5881,20,17.0,12.410028333333333,0,,,,,,
880,6071,30,18.833333333333332,13.141194633333331,0,,,,,,
1100,6123,40,20.225,14.479900199999998,0,,,,,,
1340,6295,50,19.98076923076923,15.47541571153846,0,,,,,,
1560,6422,60,20.131147540983605,15.179772049180325,0,,,,,,
1820,6522,70,21.444444444444443,17.05922748611111,0,,,,,,
2000,6487,80,21.5,17.165259387499997,0,,,,,,
2180,6437,90,21.64835164835165,16.839256,0,,,,,,
2400,6431,100,21.36,16.67889187,0,,,,,,
2660,6420,110,22.14,17.1574351,0,,,,,,
2920,6407,120,22.45,17.66776583,0,,,,,,
3240,6444,130,22.45,18.10539615,0,,,,,,
3500,6459,140,22.78,18.89999286,0,,,,,,
3700,6448,150,23.18,18.76512167,0,,,,,,
3920,6410,160,24.67,21.721716100000002,0,,,,,,
4120,6398,170,23.76,20.417637150000004,0,,,,,,
4360,6354,180,23.17,19.868993260000003,0,,,,,,
4520,6322,190,23.08,20.48145758,0,,,,,,
4740,6323,200,23.58,21.04141748,0,,,,,,
5000,6299,210,23.84,21.951586610000003,0,,,,,,
5200,6249,220,23.63,21.808491959999998,0,,,,,,
5340,6217,230,23.27,21.44651735,0,,,,,,
5580,6233,240,22.48,20.250947229999998,0,,,,,,
5700,6214,250,21.81,19.784306280000003,0,,,,,,
6000,6225,260,19.97,16.68195994,0,,,,,,
6200,6197,270,20.42,17.436097580000002,1,,,,,,
6380,6143,280,21.5,18.33807627,1,,,,,,
6780,6036,290,21.12,17.66789337,1,,,,,,
7020,5991,300,21.73,18.069964329999998,1,,,,,,
7300,6014,310,22.19,18.4596404,1,,,,,,
7600,6053,320,22.43,18.83300498,1,,,,,,
7800,6066,330,23.03,19.72137336,1,,,,,,
8080,6089,340,23.91,20.36552694,1,,,,,,
8260,6099,350,25.38,21.96902479,1,,,,,,
8460,6108,360,25.9,22.338972599999998,1,,,,,,
8760,6134,370,25.17,21.408636389999998,1,,,,,,
8920,6138,380,24.67,20.996721629999996,1,,,,,,
9140,6138,390,25.03,21.049205219999997,1,,,,,,
9360,6139,400,24.09,20.862689500000002,1,,,,,,
9520,6144,410,23.94,20.29600628,1,,,,,,
9760,6146,420,23.19,18.96496263,1,,,,,,
9960,6142,430,22.49,18.216938029999998,1,,,,,,
10400,5183,440,22.09,19.604433600000004,2,0.09,194.54734802246094,-30.525310516357422,3.7817201614379883,19,3062.98095703125
