time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss
380,4310,10,14.9,8.288844999999998,0,,,,,,
660,4827,20,17.6,12.33278415,0,,,,,,
840,4927,30,20.266666666666666,14.906596333333333,0,,,,,,
1060,5064,40,20.125,14.904578425,0,,,,,,
1240,5236,50,20.14,15.648968280000002,0,,,,,,
1460,5368,60,20.183333333333334,15.206210633333333,0,,,,,,
1620,5467,70,20.15714285714286,15.2557229,0,,,,,,
1880,5619,80,20.5609756097561,15.271053499999999,0,,,,,,
2060,5682,90,20.488888888888887,14.985657322222222,0,,,,,,
2320,5769,100,20.24,14.896668709999997,0,,,,,,
2520,5810,110,20.96,16.00112714,0,,,,,,
2660,5815,120,21.31,16.27253735,0,,,,,,
2940,5898,130,20.72,16.04396485,0,,,,,,
3200,5970,140,20.65,15.961868019999997,0,,,,,,
3380,6001,150,21.6,16.91441756,0,,,,,,
3620,6051,160,21.73,17.35288016,0,,,,,,
3840,6038,170,21.71,17.29695126,0,,,,,,
4080,6063,180,21.78,17.505659849999997,0,,,,,,
4280,6011,190,22.2,18.50750518,0,,,,,,
4520,6040,200,22.51,18.571187569999996,0,,,,,,
4680,6038,210,22.13,17.789443310000003,0,,,,,,
4880,6050,220,21.8,17.512264599999998,0,,,,,,
5060,6026,230,21.56,17.14043745,0,,,,,,
5300,6047,240,21.57,17.43342071,0,,,,,,
5420,6036,250,20.86,16.45122767,0,,,,,,
5700,6045,260,20.4,15.631455129999999,0,,,,,,
5860,6043,270,20.35,15.585959980000002,0,,,,,,
6080,6064,280,19.87,14.983051719999999,1,,,,,,
6320,6095,290,19.26,14.43207056,1,,,,,,
6460,6088,300,20.03,15.82924215,1,,,,,,
6640,6095,310,19.93,15.98018057,1,,,,,,
6840,6112,320,19.49,15.25752198,1,,,,,,
7080,6111,330,19.86,15.98169232,1,,,,,,
7200,6051,340,19.74,15.598598180000003,1,,,,,,
7520,6049,350,19.91,15.980437600000002,1,,,,,,
7720,6072,360,20.38,16.14909259,1,,,,,,
7980,6101,370,19.72,15.230113749999997,1,,,,,,
8160,6104,380,20.58,16.832878109999996,1,,,,,,
8400,6115,390,21.17,17.938881419999994,1,,,,,,
8620,6123,400,20.77,17.143990260000002,1,,,,,,
8880,6136,410,21.01,17.24609909,1,,,,,,
9100,6131,420,21.38,17.80244039,1,,,,,,
9320,6135,430,21.9,18.673568309999997,1,,,,,,
9580,6150,440,22.69,19.24708552,1,,,,,,
9920,6162,450,22.97,19.3674714,1,,,,,,
