#{"t_start": 1692442907.2775254, "env_id": "CustomHopper-source-v0"}
r,l,t
12.891393,16,2.892914
12.398179,13,2.948856
8.615349,15,3.012265
8.264095,13,3.067826
72.158774,50,3.303845
11.50209,23,3.430662
7.47751,10,3.490822
6.11896,35,3.672264
4.753238,11,3.718324
8.079366,15,3.78573
86.107832,67,4.054813
22.973771,23,4.146449
44.02977,31,4.280686
11.795268,26,4.389041
17.351171,17,4.457089
18.621487,20,4.543904
23.601229,22,4.64862
5.383527,11,4.702457
9.068226,13,4.762704
12.866223,17,4.84058
4.160527,13,4.898193
5.087745,13,4.961828
8.702001,12,5.01603
9.660483,12,5.06337
25.315147,23,13.607768
10.006583,19,14.062359
20.512037,49,15.158858
23.22529,19,15.609031
11.255764,13,15.902618
6.481677,12,16.184107
9.898934,12,16.442236
26.771042,32,17.270549
20.6954,21,17.76547
15.840866,19,18.2572
14.336063,19,18.750934
14.363851,18,19.178833
7.376653,13,19.442996
40.951078,35,20.203362
13.264008,26,20.741061
10.860625,34,21.476782
10.779579,14,21.790848
13.872861,15,22.0886
13.046321,20,22.473082
7.413235,9,22.678033
15.582092,15,22.992189
8.075316,11,23.248977
11.815437,13,23.495221
41.621555,45,29.442478
13.967741,20,29.855391
15.395895,27,30.412458
8.579856,11,30.634925
23.548541,29,31.243163
12.115119,25,31.739344
19.333503,22,32.199741
7.618043,13,32.475846
63.268882,39,33.340315
9.699263,13,33.629874
24.855768,27,34.242347
9.973564,23,34.687809
18.446741,42,35.567862
6.792341,10,35.757809
60.660245,36,36.506757
15.650212,18,36.927179
22.228255,19,37.338943
5.154244,16,37.706279
7.590936,15,38.038656
12.390966,14,38.308103
2.193607,8,38.451744
10.327499,13,38.724162
16.603346,20,39.14538
6.069535,19,39.551982
15.88923,16,39.876098
14.001137,16,43.747879
7.493624,10,43.951149
13.803303,18,44.348475
7.947128,12,44.587316
14.187156,21,45.02535
46.426973,48,46.033456
5.99608,9,46.214638
33.660018,29,46.789045
7.186323,12,47.008722
9.617821,15,47.291294
7.521459,10,47.47158
12.246415,16,47.75959
7.238163,11,47.989658
10.01143,17,48.310261
12.51924,16,48.633803
12.374,17,49.014049
16.097211,17,49.34623
8.548286,17,49.688277
31.023662,31,50.282378
9.826894,17,50.643242
7.819388,16,50.980513
11.84954,13,51.244735
8.527726,22,51.65448
10.556735,13,51.931559
14.870976,29,52.527571
8.783376,11,52.780578
8.47776,13,53.0698
18.177193,38,55.987381
13.84219,18,56.373307
3.916662,7,56.536331
13.646939,16,56.914542
12.126654,15,57.266447
13.375954,18,57.677658
12.839816,15,57.975492
12.530603,14,58.278847
9.616325,12,58.543426
16.294786,30,59.196999
12.550676,15,59.5083
8.180917,12,59.784496
23.611798,21,60.24698
8.981384,11,60.462574
13.590501,22,60.914466
5.537072,10,61.128228
11.631575,16,61.453056
20.239423,20,61.935953
9.403791,12,62.203378
13.495504,15,62.523948
7.859467,11,62.756377
8.169581,14,63.051587
8.443393,13,63.330757
8.604431,12,63.605622
12.879765,13,63.884948
91.913895,50,64.983483
18.535549,18,65.393499
17.726933,17,65.749054
11.744144,15,66.060825
4.939686,9,66.251463
13.804537,20,68.121792
9.416419,14,68.414453
4.19873,11,68.634327
8.114007,14,68.91805
9.610943,12,69.151968
17.379049,18,69.525595
13.898836,19,69.893618
12.405618,13,70.145035
11.541665,13,70.42037
24.206873,23,70.911845
13.021336,16,71.23988
18.027682,16,71.556
8.851043,13,71.855215
15.458841,18,72.20197
11.764888,16,72.529301
34.156737,28,73.187613
9.375817,13,73.458597
10.182652,13,73.722378
11.70305,15,74.015868
7.816015,11,74.257974
3.786841,9,74.457684
14.219358,13,74.767129
9.772318,11,74.990217
15.051409,15,75.352201
5.829231,8,75.556963
7.035585,10,75.755252
8.185169,10,75.952626
7.262368,11,76.192181
4.039569,7,76.34109
5.25624,9,76.529236
7.114501,11,76.757917
8.582885,12,77.047531
32.382113,28,77.694599
8.669431,12,77.944571
8.52977,13,78.249973
10.283098,21,78.700865
11.293422,18,80.243651
40.949736,37,81.083019
7.222297,10,81.319603
9.527175,14,81.637178
8.675284,19,82.031121
5.309999,8,82.199011
9.774607,14,82.48055
11.741401,16,82.829386
5.486721,9,83.024172
16.271241,16,83.33907
10.026211,11,83.569618
6.829157,10,83.76092
13.948456,14,84.080467
10.470278,18,84.470635
10.945182,17,84.882943
5.80788,16,85.263318
5.232207,14,85.661862
23.011385,21,86.045929
7.917579,11,86.295946
5.97365,9,86.529375
8.948143,10,86.773554
5.709217,12,87.069117
7.409724,11,87.318186
10.558635,14,87.615351
4.001329,8,87.835197
4.4556,10,88.021683
6.920246,9,88.252395
6.523938,11,88.499379
20.158545,21,88.97825
10.357219,13,89.263117
9.113486,12,89.567331
4.599173,7,89.717082
5.833369,8,89.903294
8.12869,12,90.193165
5.076132,9,90.404848
68.663247,46,92.577679
10.932952,15,92.904572
11.276471,14,93.187963
30.306914,26,93.77084
31.669234,23,94.284882
6.471886,9,94.487472
12.521877,15,94.817515
12.963566,24,95.340887
12.36334,16,95.682334
7.619639,9,95.881347
7.688496,11,96.173519
9.925217,11,96.418688
10.547298,14,96.733983
7.550075,11,96.964034
10.444117,20,97.410925
6.762284,14,97.732401
7.074044,9,97.941944
11.178235,19,98.372009
12.194205,16,98.707798
7.100173,11,98.912154
23.358138,21,99.394557
21.006669,19,99.744462
6.41506,13,100.02825
8.54429,12,100.264078
13.930773,15,100.534881
8.294365,13,100.784449
5.924969,9,100.960424
40.649889,29,101.544709
5.475876,11,101.741686
18.26014,17,102.088583
10.796002,15,102.422883
17.132911,20,102.812603
23.512189,21,104.972863
16.484971,16,105.326382
81.197631,55,106.501816
25.595254,23,106.969462
10.939816,12,107.20119
8.527625,13,107.456916
11.993448,22,107.916166
9.117476,14,108.203262
18.759041,17,108.564306
16.31434,19,108.985332
41.4848,45,109.920977
19.291711,20,110.298854
24.011133,22,110.744432
11.057092,13,110.985721
44.552068,34,111.726179
8.811937,12,111.947745
24.421336,23,112.387702
10.299948,19,112.735562
17.833355,30,113.31701
7.532302,9,113.49093
7.328334,11,113.711765
18.750193,18,114.072035
12.238641,15,114.346829
13.355836,18,114.725334
16.367897,19,119.43581
50.982989,29,119.952008
30.250534,27,120.464505
44.920993,26,121.035565
17.575223,17,121.405852
22.04866,21,121.831547
46.499531,49,122.753889
13.987347,15,123.036934
27.495194,24,123.522765
41.277382,23,123.987644
46.437461,26,124.509816
24.789725,22,124.931665
63.000508,37,125.661499
3.501566,19,126.040586
174.125882,88,127.739909
7.578885,11,127.939208
49.471453,28,128.528594
3.897409,24,131.385104
41.120892,86,133.151125
50.729714,35,133.872267
64.583131,36,134.622396
81.812516,56,135.745013
7.563493,25,136.268681
44.105085,25,136.818096
46.893961,27,137.417133
49.34011,28,138.003076
40.27256,22,138.449439
44.674434,25,138.987162
47.618043,27,139.573057
91.018497,88,141.365324
59.24765,41,144.429898
49.440317,65,145.738653
39.516495,22,146.193965
39.775057,22,146.672925
51.223629,32,147.306339
52.048352,53,148.425865
51.882576,29,148.98198
45.08219,26,149.4907
53.348737,31,150.109045
50.312675,29,150.709004
45.853921,26,151.277733
54.967093,113,153.775835
44.777327,26,154.33467
42.964027,24,156.874985
44.455347,25,157.382223
47.420857,27,157.947047
41.577933,23,158.432651
48.551304,27,159.024749
45.647775,25,159.577078
48.758477,28,160.156165
-0.422971,20,160.610937
41.642432,23,161.03657
3.310103,28,161.642926
41.839112,24,162.135986
41.211645,23,162.627822
40.766313,22,163.13018
53.118338,38,163.94513
50.6833,30,164.611405
41.788269,23,165.062595
49.865681,40,165.932148
44.621284,25,166.553042
4.837866,32,169.415317
48.718629,30,170.056596
38.457617,21,170.476631
42.030889,23,170.98648
43.365777,24,171.466681
52.128391,30,172.203441
41.262968,23,172.7438
45.189904,26,173.323844
51.415983,34,174.023634
43.820075,24,174.56697
89.942332,119,177.040827
41.52302,23,177.576967
50.606437,29,178.226923
50.110382,29,178.866643
39.622379,22,179.375001
48.186007,33,180.044521
42.687027,24,182.468663
44.603818,25,183.072871
40.233754,22,183.516967
39.939773,22,183.947425
42.73876,24,184.433501
41.644306,23,184.882984
43.742421,25,185.38109
40.325469,22,185.828394
41.288479,23,186.300765
44.755646,25,186.852857
42.914972,24,187.389762
1.087062,25,187.946084
41.403963,23,188.431767
42.674872,24,188.997596
44.953084,25,189.549837
42.512085,23,190.146086
42.656746,24,190.752142
43.417234,24,191.295119
39.802978,22,191.816967
3.901025,28,192.534135
46.132856,26,193.134891
40.292195,22,195.681738
41.343421,23,196.208956
43.126769,24,196.870453
42.017684,23,197.362936
46.035118,27,197.9527
36.882383,20,198.493763
42.079932,23,198.986675
43.057901,24,199.456075
43.450535,24,199.951123
38.907146,21,200.389067
41.697659,23,200.923043
40.072911,22,201.393468
40.067287,22,201.813417
40.959765,22,202.3093
42.140636,23,202.802975
44.421412,25,203.345171
44.649805,25,203.873625
44.401039,25,204.415192
42.114483,23,204.887263
45.490216,26,205.471092
38.684415,21,205.915703
38.610056,21,208.409909
43.908925,24,208.927594
