#{"t_start": 1692888869.9344778, "env_id": null}
r,l,t
6.668161,10,0.158359
9.30822,11,0.212183
8.693655,13,0.386347
12.111289,13,0.386548
19.8011,19,0.794806
12.97843,19,0.794937
25.203976,21,1.040036
6.4343724,22,1.08393
10.148286,14,1.232047
11.507858,25,1.287389
7.8921614,13,1.332589
6.8304353,9,1.424349
9.93862,29,1.473518
5.914458,11,1.85941
23.436846,34,1.881868
15.343071,16,2.111971
12.735473,14,2.277517
35.0432,42,2.414875
55.51785,31,2.415009
6.373382,15,2.536122
18.892574,21,2.602863
8.309287,13,2.777313
12.198076,15,2.798688
8.669483,11,3.023964
9.971596,15,3.067065
15.261559,24,3.067213
34.814846,41,3.182802
13.9548435,14,3.250399
20.763975,37,3.250552
12.775892,18,3.546937
10.4123745,18,3.795286
9.924701,12,3.858748
24.79224,21,4.107641
13.128467,18,4.225594
13.603499,15,4.422101
7.989717,13,4.59089
8.3792095,18,4.684878
12.381318,27,4.748277
70.28546,55,5.162883
10.509065,16,5.163017
10.772887,14,5.707266
8.157755,12,5.707399
10.096922,15,5.844545
33.66847,45,5.844681
23.060635,22,6.056256
70.72719,40,6.166734
13.029725,14,6.278682
6.32765,11,6.579161
26.703594,31,6.711799
34.433327,31,7.086306
18.798407,22,7.086446
11.416393,14,7.191956
7.5436,16,7.350735
5.1684523,21,7.619458
14.23489,17,7.703825
26.94851,21,7.886554
5.8182864,14,7.946008
10.398031,15,8.144149
16.532986,19,8.144351
13.190141,15,8.144475
45.587276,64,8.207781
22.571442,30,8.705918
7.206825,20,8.756871
10.131443,13,8.756999
9.639671,14,9.208404
17.796951,23,9.208539
12.033527,18,9.543978
7.104559,32,9.544122
139.49236,72,9.545447
11.413838,25,9.677351
22.023497,21,9.677534
15.324422,21,9.700727
11.663432,15,9.775502
7.493706,18,9.931005
22.461174,22,10.298695
12.111413,14,10.436155
13.717899,21,10.625869
6.1901793,17,10.947097
17.077822,22,11.034945
11.260045,19,11.056698
9.84781,20,11.379609
28.306505,24,11.586324
14.0339985,15,11.586498
32.244095,27,11.669103
7.221738,31,11.697774
12.629039,19,11.697909
4.033715,11,11.69797
11.046374,14,11.698024
2.4637475,11,11.982383
8.098728,11,12.225769
6.8729,9,12.317568
81.366974,44,12.317698
43.648525,66,12.317761
10.200272,13,12.55985
14.571073,16,12.883712
11.871564,15,12.990659
7.0187683,20,12.990796
6.7636228,14,13.399477
7.8366017,11,13.399616
19.260393,24,13.482027
14.61807,33,13.482156
17.891136,26,13.482218
5.292006,9,13.626683
12.4874115,20,13.805516
8.026069,11,13.805644
20.219576,22,14.069131
13.619193,33,14.194092
6.5450053,9,14.194166
7.7275743,12,14.48386
7.3916802,13,14.689317
9.658069,22,14.759157
10.219374,18,15.002848
12.240517,19,15.003049
12.293862,16,15.080496
7.122658,9,15.193656
8.649732,17,15.349869
8.4561,19,15.808354
8.378557,10,15.854879
9.063051,16,15.855011
9.79317,15,15.855077
5.578489,27,16.272547
14.177967,17,16.318617
17.784342,16,16.351497
6.81821,11,16.541537
24.138466,33,16.541743
10.504662,13,16.588799
20.685669,24,16.65993
12.205258,26,16.771076
6.8589015,14,17.364157
9.5339365,13,17.364409
3.5836549,24,17.483271
10.127003,17,17.766063
17.388304,21,18.132899
8.3036785,20,18.210259
9.755884,18,18.210401
144.75623,81,18.368633
15.037259,35,18.368777
11.52108,14,18.484025
12.756843,16,18.749286
14.773851,33,18.749479
17.390938,19,18.840925
9.958228,14,19.271089
9.344353,16,19.47122
9.942349,14,19.471365
147.4397,74,19.576645
12.907849,16,19.703757
6.006094,14,19.834387
