#{"t_start": 1692443700.0828211, "env_id": "CustomHopper-target-v0"}
r,l,t
7.577019,18,0.634027
6.647652,9,0.681824
9.8198,14,0.75095
16.73889,27,0.881955
11.043788,13,0.93475
13.046219,16,0.999051
12.475015,17,1.08258
11.471254,30,1.240424
10.541595,14,1.307684
14.305583,24,1.434353
15.793558,23,1.537567
8.354405,14,1.613741
10.240251,14,1.684994
7.315327,11,1.733199
10.031947,19,1.809918
14.093036,15,1.88985
20.854343,22,1.975786
16.181587,17,2.075689
16.488312,17,2.139703
10.63348,19,2.220393
14.181375,16,2.280604
19.858635,19,2.380961
23.699633,23,2.475293
9.393008,19,2.552684
6.229595,11,2.590868
13.119758,17,2.660264
19.056529,21,2.755415
12.48952,18,2.866007
12.386326,26,3.445552
15.751041,16,3.83848
10.933322,13,4.084021
8.603092,12,4.340926
14.405904,17,4.728924
8.912421,16,5.040315
15.327058,17,5.369586
10.584732,20,5.803017
45.254816,32,6.496201
11.05458,14,6.808629
8.116932,10,7.053933
28.807802,21,7.478551
7.470866,15,7.780149
21.962284,23,8.328914
12.152132,21,8.771932
8.257313,33,9.50144
14.020492,15,9.815318
6.568049,9,9.978574
100.453153,70,11.283776
7.694574,12,11.513028
12.028647,16,11.803433
15.119063,17,12.141667
12.131266,30,12.716322
9.144752,12,12.999947
27.364957,26,13.568462
12.044921,16,13.891483
5.899493,8,14.039454
9.336569,16,14.390242
60.483032,49,15.386925
12.519038,16,15.707775
16.165677,18,16.079693
11.656193,18,16.513517
10.722711,22,16.965569
9.972341,12,17.283393
7.97462,10,17.476118
22.060456,22,17.97617
6.20529,10,18.183877
18.824074,22,18.670843
10.301738,16,18.991962
38.650072,67,20.283951
13.821154,23,20.789363
11.731417,17,21.162941
50.548248,59,22.396637
8.943405,11,22.611843
7.02767,13,22.865695
11.011305,21,23.297644
6.341191,8,23.431548
24.469527,23,23.863336
10.59565,15,24.184469
27.516682,29,24.715704
15.245611,26,25.222788
16.065978,17,25.622471
13.53542,23,26.13306
5.284179,14,26.403234
24.802962,24,26.863434
7.88462,22,27.335352
8.33625,14,27.602642
10.024219,13,27.895438
13.753248,15,28.223688
8.457445,13,28.467835
13.855623,23,28.980803
20.310236,23,29.428806
15.683188,21,29.846008
12.750381,20,30.335364
8.874109,14,30.602364
15.452474,25,31.151937
11.558732,13,31.450926
19.646232,26,31.996387
9.671051,31,32.63327
6.97924,9,32.822781
14.142691,26,33.409329
15.251227,17,33.744438
14.069159,15,34.087557
9.743398,13,34.394771
13.611991,23,34.87339
34.181003,37,35.571496
8.490507,18,35.993952
11.944748,16,36.33867
13.235419,14,36.632689
28.667068,49,37.78536
5.97879,9,38.00281
16.726523,31,38.749459
67.703096,62,40.050309
13.317246,14,40.352215
11.181438,16,40.693034
9.474667,12,41.017044
6.224407,10,41.284502
23.110093,26,41.779784
11.028955,13,42.050565
18.598091,17,42.394425
7.353923,11,42.615366
10.230846,13,42.901425
13.648913,17,43.24308
16.782076,36,43.983404
9.597753,13,44.236877
7.967376,10,44.44552
12.920569,18,44.789897
8.158969,10,44.978338
9.459764,11,45.185558
13.363238,15,45.461976
8.102511,11,45.674435
28.964406,25,46.170062
9.872044,14,46.438044
15.78479,23,46.914291
15.173927,18,47.278418
8.74279,13,47.55151
12.604274,14,47.830336
6.052936,8,48.001258
8.228052,13,48.284075
8.436745,12,48.539753
5.946022,23,49.025868
18.385221,19,49.439773
8.408064,13,49.714553
8.203985,15,50.077795
6.265775,10,50.296027
9.260452,11,50.545727
9.655287,11,50.804517
19.630606,19,51.230943
6.650972,11,51.467874
7.980852,11,51.699816
13.350278,19,52.146594
6.778792,21,52.592265
8.99802,16,52.9878
11.659964,14,53.293514
