rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/actor_loss,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/n_updates
14.1,10,11.118692000000001,3991,0,360,,,,,,
17.4,20,13.14757465,4255,0,560,,,,,,
17.3,30,13.647690966666667,4338,0,760,,,,,,
18.2,40,13.937879700000002,4434,0,980,,,,,,
18.941176470588236,50,15.081080960784314,4439,0,1160,,,,,,
19.467741935483872,60,14.526545774193549,4498,0,1520,,,,,,
20.02857142857143,70,15.2452256,4455,0,1680,,,,,,
20.325,80,15.652913562499998,4404,0,1840,,,,,,
20.52173913043478,90,15.945524260869565,4336,0,2140,,,,,,
20.53,100,15.777338159999998,4258,0,2400,,,,,,
21.61,110,16.805431809999998,4182,0,2600,,,,,,
22.01,120,17.643929269999997,4129,0,2780,,,,,,
22.3,130,17.49304801,4123,0,2940,,,,,,
21.75,140,17.115178129999997,4106,0,3140,,,,,,
22.1,150,17.65082787,4089,0,3320,,,,,,
21.58,160,17.09960765,4068,0,3500,,,,,,
20.58,170,16.14089525,4096,0,3720,,,,,,
20.44,180,15.840935799999997,4110,0,3860,,,,,,
20.32,190,15.908477329999998,4128,0,4020,,,,,,
19.24,200,15.021989429999998,4147,1,4200,,,,,,
18.86,210,14.50014145,4179,1,4420,,,,,,
18.28,220,13.78391575,4214,1,4640,,,,,,
18.89,230,14.818721459999999,4275,1,4980,,,,,,
19.44,240,14.828907959999997,4285,1,5160,,,,,,
19.64,250,15.417717229999996,4314,1,5380,,,,,,
20.04,260,16.31889413,4329,1,5580,,,,,,
20.2,270,16.74214775,4357,1,5820,,,,,,
21.41,280,18.1736256,4370,1,6060,,,,,,
21.42,290,17.96178692,4386,1,6380,,,,,,
23.29,300,19.59217057,4401,1,6620,,,,,,
23.41,310,19.74567859,4418,1,6900,,,,,,
24.11,320,21.02032504,4414,1,6980,,,,,,
23.64,330,20.66193022,4431,1,7240,,,,,,
23.63,340,21.334661450000002,4437,1,7400,,,,,,
22.84,350,19.91502719,4443,1,7600,,,,,,
22.5,360,19.09416714,4446,1,7860,,,,,,
22.91,370,19.02687326,4437,1,8040,,,,,,
22.18,380,17.9317713,4424,1,8260,,,,,,
22.16,390,18.347778529999996,4416,1,8480,,,,,,
21.04,400,16.5212784,4415,1,8620,,,,,,
20.87,410,15.945809679999998,4420,2,8880,,,,,,
20.47,420,15.06086865,4413,2,8980,,,,,,
20.16,430,14.452148560000001,4412,2,9220,,,,,,
19.96,440,13.882419850000002,4406,2,9420,,,,,,
20.25,450,14.244770670000001,4406,2,9640,,,,,,
19.93,460,13.6130425,4407,2,9760,,,,,,
19.89,470,13.57545546,981,10,10040,-1.90183687210083,1.0,7.767608165740967,0.0,1e-05,1
19.93,480,13.999426379999997,969,10,10280,-1.9876503944396973,0.9998799562454224,7.355187892913818,-0.0006010103970766068,1e-05,13
20.75,490,14.51904646,962,10,10560,-2.018159866333008,0.9997401237487793,6.74307918548584,-0.0013002532068639994,1e-05,27
21.07,500,15.138167770000003,960,11,10780,-2.042262554168701,0.9996300935745239,6.897453308105469,-0.0018493732204660773,1e-05,38
21.5,510,16.02821904,955,11,11020,-2.06764817237854,0.9995099902153015,7.2264180183410645,-0.002449676627293229,1e-05,50
21.39,520,15.34917591,956,11,11200,-2.1412158012390137,0.9994199275970459,6.983694076538086,-0.002933747600764036,1e-05,59
21.21,530,15.058909170000002,956,12,11500,-2.125596761703491,0.9992695450782776,7.066455364227295,-0.003648888785392046,1e-05,74
22.39,540,17.427076439999997,954,12,11700,-2.193331718444824,0.9991693496704102,6.324554443359375,-0.004173725843429565,1e-05,84
22.65,550,17.73642833,951,12,12000,-2.2293753623962402,0.9990189671516418,6.466811180114746,-0.004932163283228874,1e-05,99
23.37,560,19.74456564,950,12,12220,-2.252812147140503,0.9989087581634521,6.239608287811279,-0.005483434535562992,1e-05,110
23.35,570,20.11665092,948,13,12460,-2.2810750007629395,0.9987885355949402,6.547508239746094,-0.006084233522415161,1e-05,122
23.28,580,20.52404062,946,13,12660,-2.339916229248047,0.9986883997917175,6.507038593292236,-0.006614778656512499,1e-05,132
22.84,590,20.43271609,946,13,12900,-2.37017560005188,0.9985681176185608,6.354809284210205,-0.007197617553174496,1e-05,144
22.28,600,19.68690064,940,13,13160,-2.401169776916504,0.9984378218650818,6.108516693115234,-0.007850078865885735,1e-05,157
22.3,610,20.355651780000002,939,14,13360,-2.447493076324463,0.9983375668525696,6.151211261749268,-0.008396483957767487,1e-05,167
22.91,620,22.367470030000003,936,14,13540,-2.4633328914642334,0.9982474446296692,6.412286758422852,-0.008852068334817886,1e-05,176
23.96,630,24.564459989999996,934,14,13820,-2.4926228523254395,0.9981071949005127,6.17112922668457,-0.009523546323180199,1e-05,190
23.09,640,22.76026726,932,15,14060,-2.5441112518310547,0.997986912727356,5.754598617553711,-0.01010885275900364,1e-05,202
23.91,650,24.89047029,928,15,14280,-2.5769214630126953,0.9978768229484558,6.074253559112549,-0.010727768763899803,1e-05,213
23.44,660,23.390500140000004,927,15,14420,-2.6262149810791016,0.9978066682815552,5.70114803314209,-0.011063847690820694,1e-05,220
22.94,670,22.620595780000002,923,15,14680,-2.658393621444702,0.9976763725280762,5.967762470245361,-0.011704176664352417,1e-05,233
22.89,680,21.69939555,921,16,14840,-2.731233835220337,0.9975963234901428,5.709827899932861,-0.012151493690907955,1e-05,241
22.29,690,21.084723399999998,921,16,15120,-2.7700552940368652,0.9974563121795654,5.386082172393799,-0.0128715168684721,1e-05,255
22.46,700,21.53045183,922,16,15340,-2.7915377616882324,0.9973462224006653,5.481016159057617,-0.013415871188044548,1e-05,266
23.01,710,22.645910809999997,922,16,15680,-2.8455913066864014,0.9971761107444763,5.565567970275879,-0.014275910332798958,1e-05,283
22.39,720,21.663626290000007,922,17,15840,-2.8830418586730957,0.9970961213111877,5.314643383026123,-0.01469516009092331,1e-05,291
21.91,730,20.43116935,922,17,16040,-2.927003860473633,0.9969961047172546,5.7957377433776855,-0.015165247954428196,1e-05,301
22.17,740,21.055936449999994,923,17,16300,-2.9592576026916504,0.9968661665916443,5.135578155517578,-0.015808239579200745,1e-05,314
21.52,750,19.68582205,924,17,16500,-3.010812759399414,0.9967660903930664,5.657767295837402,-0.016330841928720474,1e-05,324
21.35,760,19.806522340000004,922,18,16680,-3.106818675994873,0.9966761469841003,5.0057878494262695,-0.016859479248523712,1e-05,333
21.65,770,20.287666599999998,922,18,16980,-3.108755111694336,0.9965263605117798,5.299402236938477,-0.01759268343448639,1e-05,348
21.97,780,20.63959085,923,18,17260,-3.1668455600738525,0.9963865876197815,5.134507179260254,-0.018171261996030807,1e-05,362
22.97,790,21.795065490000002,923,18,17440,-3.2137928009033203,0.9962966442108154,5.13740873336792,-0.0187746100127697,1e-05,371
24.1,800,24.069629820000003,924,19,17640,-3.292001962661743,0.9961966276168823,4.978477954864502,-0.019211016595363617,1e-05,381
23.24,810,22.015490039999996,924,19,17880,-3.2995645999908447,0.9960768222808838,4.952354431152344,-0.019834663718938828,1e-05,393
23.36,820,21.69036151,925,19,18060,-3.3550760746002197,0.9959869384765625,4.827455997467041,-0.020336031913757324,1e-05,402
22.68,830,20.686296459999998,926,19,18240,-3.463756799697876,0.9958970546722412,4.835452079772949,-0.020814064890146255,1e-05,411
22.36,840,20.647255089999998,926,19,18440,-3.4827558994293213,0.9957970976829529,4.748708724975586,-0.021348312497138977,1e-05,421
22.87,850,21.960523680000005,926,20,18720,-3.5145039558410645,0.9956573247909546,5.049520492553711,-0.02189922332763672,1e-05,435
22.59,860,21.60985247,925,20,18920,-3.5937211513519287,0.9955574870109558,4.566314220428467,-0.02246207371354103,1e-05,445
22.43,870,21.451861320000003,927,20,19180,-3.6398987770080566,0.9954277873039246,4.833272457122803,-0.023148994892835617,1e-05,458
22.45,880,21.71971576,928,20,19400,-3.718238115310669,0.9953179955482483,4.381131649017334,-0.023649968206882477,1e-05,469
22.43,890,21.67513766,930,21,19660,-3.765850067138672,0.995188295841217,5.027318000793457,-0.02433719113469124,1e-05,482
22.0,900,21.259504059999994,931,21,19920,-3.802102565765381,0.9950587749481201,4.687470436096191,-0.025077037513256073,1e-05,495
22.47,910,21.66873916,754,26,20120,-3.9224700927734375,0.9949591159820557,4.52329158782959,-0.025576509535312653,1e-05,505
22.69,920,21.775339799999998,756,26,20380,-3.9892544746398926,0.9948295950889587,4.645132541656494,-0.026225727051496506,1e-05,518
23.31,930,22.574635850000004,758,27,20600,-3.951038360595703,0.9947198629379272,4.645316123962402,-0.02656760811805725,1e-05,529
23.49,940,22.252045080000002,759,27,20780,-4.046473503112793,0.9946300387382507,4.956345081329346,-0.027302486822009087,1e-05,538
22.79,950,20.323853070000002,761,27,21020,-4.123877048492432,0.9945104122161865,4.356122970581055,-0.027807729318737984,1e-05,550
23.03,960,20.923299540000002,763,27,21240,-4.159370422363281,0.9944007396697998,4.299283981323242,-0.02827852964401245,1e-05,561
23.99,970,21.91109371,765,28,21540,-4.224086761474609,0.9942513108253479,4.779332160949707,-0.02897748351097107,1e-05,576
23.73,980,22.03933211,766,28,21740,-4.215414047241211,0.9941517114639282,4.504032135009766,-0.02948169782757759,1e-05,586
24.07,990,22.9182944,768,28,21960,-4.315474510192871,0.9940422177314758,4.460819244384766,-0.03021014854311943,1e-05,597
22.96,1000,20.49142343,770,28,22180,-4.3879218101501465,0.9939327239990234,4.685532093048096,-0.030610203742980957,1e-05,608
22.99,1010,19.94943298,772,29,22400,-4.5325775146484375,0.9938232898712158,4.456437587738037,-0.03138658404350281,1e-05,619
22.37,1020,19.52504972,773,29,22580,-4.479729175567627,0.9937337040901184,4.471388816833496,-0.03160969913005829,1e-05,628
22.4,1030,19.96740657,775,29,22860,-4.5904364585876465,0.9935945272445679,4.454007625579834,-0.03253958374261856,1e-05,642
22.25,1040,19.578095589999997,775,29,23020,-4.5631303787231445,0.9935149550437927,5.034814357757568,-0.03274558484554291,1e-05,650
22.29,1050,19.867275349999996,777,29,23200,-4.643801689147949,0.9934254884719849,4.845969200134277,-0.033164285123348236,1e-05,659
21.99,1060,19.309642159999996,778,30,23560,-4.755833625793457,0.9932465553283691,4.461606979370117,-0.034119606018066406,1e-05,677
22.64,1070,20.44653548,780,30,23880,-4.772529602050781,0.9930874109268188,5.0624213218688965,-0.034815412014722824,1e-05,693
