rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss
8.218416636363637,0,10,3420,340,13.818181818181818,,,,,,
9.6259732,0,20,3564,520,15.25,,,,,,
11.562971818181818,0,30,3612,760,17.242424242424242,,,,,,
13.188255365853658,0,40,3572,1020,18.609756097560975,,,,,,
14.675126239999999,0,50,3540,1280,19.24,,,,,,
15.884073590163934,0,60,3612,1580,19.852459016393443,,,,,,
16.406526500000002,0,70,3644,1780,21.166666666666668,,,,,,
16.252192765432095,0,80,3642,1980,21.160493827160494,,,,,,
16.537001566666667,0,90,3706,2160,21.233333333333334,,,,,,
17.32320395,0,100,3763,2360,21.55,,,,,,
17.750749010000003,0,110,3839,2600,21.96,,,,,,
18.202231389999998,0,120,3857,2760,22.43,,,,,,
18.45222771,0,130,3904,2920,22.64,,,,,,
17.2657923,0,140,3958,3160,21.59,,,,,,
16.519372729999997,0,150,3999,3400,21.52,,,,,,
16.4802571,0,160,4021,3580,21.55,,,,,,
16.112395519999996,0,170,4090,3860,20.82,,,,,,
16.2520176,0,180,4146,4140,20.87,,,,,,
16.11688386,1,190,4160,4320,20.92,,,,,,
16.83105544,1,200,4197,4660,21.67,,,,,,
17.3844497,1,210,4198,4820,21.88,,,,,,
18.80992571,1,220,4199,5020,22.48,,,,,,
19.567833550000003,1,230,4201,5180,22.43,,,,,,
19.73067784,1,240,4206,5360,22.33,,,,,,
20.020393639999998,1,250,4204,5540,22.18,,,,,,
19.0592656,1,260,4212,5800,21.31,,,,,,
18.900128589999998,1,270,4226,6080,21.34,,,,,,
19.17945406,1,280,4220,6280,21.47,,,,,,
19.8890203,1,290,4211,6520,21.96,,,,,,
18.989142920000003,1,300,4200,6700,21.72,,,,,,
18.450877329999997,1,310,4210,6960,21.93,,,,,,
17.07273658,1,320,4219,7120,21.35,,,,,,
16.89327215,1,330,4223,7300,21.41,,,,,,
16.58856131,1,340,4212,7380,21.29,,,,,,
16.33179285,1,350,4232,7720,21.05,,,,,,
16.44287148,1,360,4234,7940,21.14,,,,,,
17.04675802,1,370,4253,8180,21.45,,,,,,
17.603880690000004,1,380,4293,8520,21.73,,,,,,
17.836088370000002,2,390,4306,8680,21.84,,,,,,
17.512973080000002,2,400,4317,8880,21.22,,,,,,
17.31735963,2,410,4344,9100,20.84,,,,,,
17.939027319999997,2,420,4380,9360,21.28,,,,,,
17.732079950000003,2,430,4411,9660,21.36,,,,,,
18.8530976,2,440,4413,9820,22.9,,,,,,
19.30691398,6,450,1534,10020,23.56,,,,,,
19.38763315,7,460,1447,10200,23.57,2.782559402207126e-05,-0.0011082049459218979,9,7.207188606262207,0.9997773766517639,-1.9894211292266846
17.86661294,7,470,1430,10400,22.64,2.782559402207126e-05,-0.0024772947654128075,19,6.55019998550415,0.9994986653327942,-2.02486252784729
17.097194650000002,7,480,1424,10520,22.18,2.782559402207126e-05,-0.003333151340484619,25,6.83626651763916,0.9993312954902649,-2.1209778785705566
15.46725522,7,490,1419,10640,20.94,2.782559402207126e-05,-0.004169502295553684,31,6.571281433105469,0.9991636872291565,-2.1658496856689453
15.503066709999999,7,500,1396,10860,20.72,2.782559402207126e-05,-0.005697350483387709,42,6.646056175231934,0.9988561868667603,-2.24660062789917
15.096082539999998,7,510,1378,10960,20.16,2.782559402207126e-05,-0.006434574257582426,47,6.2873215675354,0.9987162947654724,-2.316208839416504
13.96464636,8,520,1326,11200,19.09,2.782559402207126e-05,-0.00812176987528801,59,5.487396717071533,0.9983804225921631,-2.4243369102478027
13.800936270000001,8,530,1311,11340,18.88,2.782559402207126e-05,-0.009189880453050137,66,5.6573591232299805,0.9981845021247864,-2.5397300720214844
13.39394715,8,540,1299,11540,17.99,2.782559402207126e-05,-0.010580768808722496,76,5.281063079833984,0.9979045391082764,-2.5905749797821045
12.660556280000003,9,550,1295,11700,17.15,2.782559402207126e-05,-0.011767208576202393,84,5.063732147216797,0.9976806044578552,-2.686941146850586
12.24252468,9,560,1291,11960,16.93,2.782559402207126e-05,-0.01356829609721899,97,4.675461769104004,0.9973170161247253,-2.826716661453247
12.971982539999997,9,570,1283,12100,17.58,2.782559402207126e-05,-0.014573435299098492,104,4.62779426574707,0.9971213340759277,-2.8452939987182617
13.226123780000002,9,580,1269,12320,17.47,2.782559402207126e-05,-0.01620562933385372,115,4.422848701477051,0.9968137741088867,-3.030992031097412
14.13959697,10,590,1253,12660,18.45,2.782559402207126e-05,-0.018566235899925232,132,4.384730815887451,0.9963391423225403,-3.081162691116333
15.942721680000002,10,600,1240,12820,19.53,2.782559402207126e-05,-0.019678525626659393,140,4.037775993347168,0.9961159825325012,-3.200690507888794
16.269463670000004,10,610,1234,13020,19.84,2.782559402207126e-05,-0.021116506308317184,150,4.040997505187988,0.995837390422821,-3.3157107830047607
16.74943319,10,620,1227,13240,20.3,2.782559402207126e-05,-0.022615665569901466,161,3.8457136154174805,0.9955310821533203,-3.382075786590576
17.16126748,10,630,1220,13360,20.45,2.782559402207126e-05,-0.023427506908774376,167,3.6010375022888184,0.9953641295433044,-3.4877066612243652
16.775023300000004,11,640,1205,13660,20.17,2.782559402207126e-05,-0.025635669007897377,182,3.3740248680114746,0.9949468970298767,-3.6718645095825195
18.117373670000003,11,650,1199,13880,21.02,2.782559402207126e-05,-0.02710411697626114,193,3.178946018218994,0.994641125202179,-3.7573752403259277
18.720610449999995,11,660,1190,14120,21.31,2.782559402207126e-05,-0.028823968023061752,205,3.056863784790039,0.9943077564239502,-3.8325045108795166
18.93909966,12,670,1181,14360,21.39,2.782559402207126e-05,-0.03042176365852356,217,2.851320266723633,0.9939743876457214,-3.9149184226989746
19.080143120000006,12,680,1178,14540,21.62,2.782559402207126e-05,-0.03170843422412872,226,2.9925169944763184,0.9937245845794678,-4.027505874633789
