#{"t_start": 1692442906.7176924, "env_id": "CustomHopper-source-v0"}
r,l,t
12.445352,15,3.525908
12.286402,21,3.625948
17.595185,30,3.770716
17.558379,21,3.876243
9.10328,27,4.03845
11.887521,20,4.143076
17.863363,20,4.245267
37.76084,27,4.351878
13.552916,27,4.467957
6.99222,14,4.523742
6.334843,9,4.567253
90.060759,66,4.838799
12.164193,27,4.955356
6.294447,10,4.996629
9.8545,12,5.046329
23.658198,22,5.147536
8.250954,13,5.216154
5.940094,11,5.272132
10.272542,15,5.336693
11.88896,15,5.391375
14.776277,20,5.482843
28.629092,31,5.621628
16.975594,18,5.690916
11.261231,18,10.714355
8.170292,12,10.982594
9.435249,15,11.339597
10.307282,15,11.918427
5.074983,9,12.259236
8.033419,12,12.492561
10.330944,12,12.717918
12.401678,16,13.016884
7.197399,12,13.282029
95.350823,54,14.607473
6.777546,11,14.84965
7.559436,13,15.120482
16.472897,26,15.722616
57.530037,40,16.720191
12.267132,18,17.157966
9.173209,18,17.571823
20.763928,25,18.155965
15.906591,23,18.702171
12.284398,18,19.082255
79.94321,49,20.111729
4.35113,15,20.399269
15.837551,24,20.955818
10.451299,27,21.566612
8.644909,31,28.740819
85.120161,46,29.611275
8.139382,12,29.880084
139.205336,78,31.510336
52.322978,31,32.178993
48.984769,49,33.17249
105.922407,57,34.29895
11.913631,16,34.606321
30.761005,38,35.388704
6.601508,27,35.953697
4.246021,29,36.541134
5.872629,23,36.991984
71.853048,46,37.908019
13.500976,23,38.349152
64.646682,37,41.873514
2.418024,24,42.299855
66.277335,42,43.21211
79.195169,83,44.890932
66.170566,37,45.644275
64.293247,37,46.354289
88.776272,67,47.76602
45.378695,26,48.280367
79.133799,46,49.166503
52.222171,30,49.788877
120.696364,136,55.089696
75.949076,44,56.006037
4.781862,31,56.638849
119.189101,61,57.957494
88.304074,80,59.70915
117.237871,71,61.102162
76.469655,42,61.91674
108.163771,57,63.120115
119.941989,62,64.439901
86.8441,45,72.815
198.428697,90,74.63466
53.625803,31,75.315731
190.324555,85,77.128771
194.903461,88,78.977332
102.439444,55,80.140372
182.891736,83,81.9144
170.753616,84,90.4442
198.41672,91,92.283347
191.717194,89,94.18048
175.461503,83,95.873405
97.323765,54,97.077468
169.857865,82,98.708591
161.774435,79,107.459959
186.423066,89,109.382569
191.355304,93,111.256483
