#{"t_start": 1692443994.078416, "env_id": "CustomHopper-target-v0"}
r,l,t
13.124113,16,1.034605
34.673653,28,1.208373
10.121267,27,1.365911
11.659195,17,1.443574
11.622991,22,1.541951
16.9663,21,1.641888
7.222638,19,1.744896
23.049942,23,1.848652
11.030205,13,1.917783
11.495743,15,1.990912
12.22864,22,2.077964
52.390079,40,2.27015
12.615605,19,2.355708
8.878219,11,2.402529
22.215141,28,2.517171
11.588093,16,2.575766
22.202945,26,2.689019
11.115374,18,2.762599
11.107422,14,2.832842
8.173584,11,2.871576
27.3125,25,2.979781
10.321643,14,3.05213
22.77527,38,3.215501
9.81095,37,3.699161
8.35126,20,4.211658
9.925579,12,4.51198
6.867896,16,4.884656
9.144559,12,5.155659
22.031349,21,5.630216
18.503762,20,6.10715
14.778261,16,6.48865
25.667114,35,7.294796
10.043257,13,7.617037
40.489533,32,8.36048
21.256624,35,9.153296
6.631446,17,9.525056
9.371814,17,9.915239
15.417333,24,10.473386
8.502608,15,10.851517
7.900636,19,11.306128
6.853081,12,11.586665
12.688286,16,11.951569
7.057572,9,12.167594
7.033506,12,12.434797
36.20927,32,13.262935
14.898791,17,13.604739
12.836019,22,14.101467
12.574902,14,14.44104
21.84675,28,15.090973
15.461094,17,15.512444
74.025219,49,16.622104
12.655206,17,16.975836
96.492587,80,18.80834
10.735798,14,19.177591
49.005013,36,20.106577
41.11505,44,21.076185
16.96544,25,21.60259
47.200234,34,22.361025
9.532597,31,23.169832
79.031263,46,24.191618
7.02827,19,24.612458
36.26414,30,25.284793
49.470372,30,25.95329
23.222632,28,26.554421
60.658883,41,27.440917
83.12692,48,28.390759
92.684377,53,29.553151
6.026147,27,30.176405
48.423148,29,30.784284
46.441859,28,31.360699
40.853231,58,32.619296
112.812281,74,34.238053
68.475306,39,35.034363
136.57934,143,38.216601
37.725731,60,39.403365
76.023144,57,40.586267
55.608401,33,41.260947
10.515684,38,42.188377
60.859005,48,43.259748
55.620357,33,43.961893
70.67715,42,44.916129
50.212087,30,45.605094
89.004246,50,46.699583
60.730448,36,47.47316
88.817068,50,48.548516
207.93346,102,50.808166
140.064246,72,52.38826
193.319546,86,54.208449
103.995403,59,55.582285
205.550928,94,57.657988
146.873649,76,59.248694
158.028148,81,61.034843
185.659975,86,62.83883
192.832683,89,64.706757
193.021607,96,66.900827
194.197981,89,68.883505
196.464301,96,70.967834
179.112516,86,72.783933
111.890944,62,74.102772
135.407921,71,75.65722
202.139253,93,77.718916
202.714222,93,79.744132
187.621237,86,81.642071
194.339427,90,83.621833
178.302384,83,85.398328
193.2216,88,87.419931
190.371321,94,89.478766
187.180431,86,91.326998
188.799618,89,93.241815
194.247602,94,95.220865
185.619149,89,97.217383
187.553758,87,99.046851
210.895403,95,101.153177
184.56413,87,103.026617
178.020678,86,104.856694
195.844365,98,107.04932
181.57793,84,108.845271
190.784868,87,110.762548
184.722666,85,112.688088
188.218655,89,114.60518
195.634841,89,116.637049
198.30059,92,118.652165
192.809264,88,120.598238
182.124638,87,122.464801
186.467185,88,124.373795
192.132596,88,126.250334
191.443194,93,128.342907
188.880551,89,130.257728
196.73719,91,132.280214
190.764667,89,134.072936
193.352171,89,135.970778
185.582363,86,137.840445
188.198057,88,139.723545
188.30575,87,141.774518
185.377466,87,143.630265
186.452577,88,145.7701
187.02691,85,147.726497
210.241876,98,149.840062
201.671984,91,151.777312
189.151378,86,153.66902
200.988565,89,155.894909
190.450684,89,157.774905
183.90683,89,159.820913
191.368135,87,161.964438
208.004354,93,163.973302
189.254219,87,165.779258
201.598549,92,167.747979
201.08115,91,169.703034
194.368315,89,171.580273
194.337068,91,173.444783
209.022288,93,175.596956
205.452698,92,177.758033
216.698993,97,179.851215
209.70599,95,181.820514
213.523719,96,183.933273
217.966564,96,185.99392
211.462396,93,188.073298
200.515365,90,189.960883
199.000764,91,191.926761
205.259718,92,193.896899
213.620188,95,196.021004
195.832474,92,198.055907
202.287855,92,200.123471
206.110098,93,202.115371
219.677775,96,204.157729
224.909473,97,206.268699
216.858749,96,208.296032
207.904607,95,210.47865
228.129132,99,212.891376
231.459489,102,215.085539
233.152009,101,217.367693
229.293954,101,219.684387
243.37912,107,222.26656
226.939242,99,224.536221
231.121622,100,226.813664
237.47408,101,229.029785
233.820897,103,231.219943
237.006164,102,233.723697
242.811467,102,235.985037
245.240169,107,238.368959
235.936474,102,240.678617
238.497604,102,242.530453
232.60957,102,244.318483
227.871091,101,246.124504
235.283917,101,248.041342
248.173102,105,250.109483
253.296955,108,252.250904
266.10298,111,254.428758
266.060891,111,256.546563
251.695545,108,258.639817
257.481955,108,260.55496
248.28943,106,262.426741
263.629683,111,264.374269
282.913944,116,266.274811
260.505328,110,268.063843
257.153407,109,269.930363
276.5246,118,271.909886
261.037507,110,273.723351
276.43997,114,275.631259
269.322985,112,277.614326
272.767359,112,279.61764
263.789977,110,281.548816
281.328932,115,283.461437
290.206585,120,285.464529
264.817553,108,287.293466
285.866844,117,289.290898
288.580849,119,291.328099
296.2498,124,293.485961
280.61863,116,295.453708
276.692368,113,297.526931
288.020885,117,299.578925
292.985689,120,301.646375
282.166636,117,303.663576
298.592991,121,305.774575
281.210239,118,307.809937
303.440793,123,309.923976
278.365367,117,311.854031
288.52898,119,313.879589
296.704925,124,316.046595
307.341678,124,318.214949
301.002539,131,320.516513
289.6812,121,322.653246
301.503307,123,324.735078
295.087686,118,326.806085
287.738069,119,328.803892
307.822233,123,330.913485
313.418445,128,332.974524
298.389754,121,334.943784
293.325004,121,336.984421
313.694362,128,339.264079
293.860135,120,341.390989
288.987549,119,343.519716
301.682823,123,345.46111
319.432359,129,347.553163
309.974689,125,349.370529
317.598666,129,351.308279
307.919773,131,353.596656
325.208641,134,355.592153
309.717472,125,357.441418
307.332007,123,359.210372
301.770921,124,361.002299
308.404464,129,362.853576
285.364713,119,364.568184
319.992478,130,366.388822
319.487838,130,368.204761
295.099488,123,370.072075
305.142912,128,371.952029
309.010848,130,373.758046
308.986681,126,375.518059
273.578875,124,377.282038
342.863711,142,379.323766
320.063713,131,381.237819
303.589527,139,383.21898
312.203457,128,385.078013
312.528677,143,387.590178
314.935872,127,389.366904
289.363317,133,391.277591
305.166815,130,393.119153
311.486225,130,394.9
268.569489,118,396.522255
300.091728,127,398.275947
315.315331,125,400.010382
272.499153,126,401.719115
281.219846,125,403.568963
279.102733,128,405.298919
266.985032,129,407.058341
271.794866,124,408.778007
276.01334,130,410.561488
250.247946,113,412.166238
309.439945,123,413.884073
289.93048,133,415.696097
313.554734,122,417.348825
275.395465,131,419.124349
310.80874,123,420.813671
314.231438,128,422.581135
310.214173,123,424.253942
293.962265,120,425.86448
314.449826,148,427.905981
327.64947,127,429.672227
299.534392,121,431.357791
320.758612,140,433.230089
312.524477,124,434.98887
285.328875,118,436.67188
318.022727,140,438.665121
307.223274,126,440.449436
298.434868,123,442.20413
299.602407,121,443.896439
321.724522,126,445.66442
299.570242,135,447.573349
321.378293,142,449.576518
308.009505,125,451.33477
325.68284,128,453.207667
318.447938,126,455.039937
