time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
10,3855,16.181818181818183,0,10.96533409090909,420,,,,,,
20,3942,18.523809523809526,0,12.724708476190477,660,,,,,,
30,3960,18.166666666666668,0,12.843242199999999,780,,,,,,
40,4004,18.325,0,13.376074225000002,1080,,,,,,
50,4032,21.1,0,17.1436272,1340,,,,,,
60,4060,22.4,0,18.76364215,1680,,,,,,
70,3926,22.6,0,18.53642927142857,1860,,,,,,
80,3877,23.0375,0,19.83678175,2040,,,,,,
90,3827,22.86813186813187,0,19.16749595604396,2300,,,,,,
100,3840,22.43,0,18.86626205,2540,,,,,,
110,3832,22.92,0,19.56597738,2700,,,,,,
120,3845,23.19,0,20.801548980000003,3020,,,,,,
130,3858,23.71,0,21.28186859,3160,,,,,,
140,3950,24.33,0,22.51587977,3480,,,,,,
150,3983,23.5,0,22.27668507,3660,,,,,,
160,4024,23.23,0,21.68692693,3880,,,,,,
170,4060,22.49,1,21.071096099999995,4120,,,,,,
180,4093,21.8,1,19.329240879999997,4300,,,,,,
190,4102,21.72,1,19.31411941,4480,,,,,,
200,4118,21.8,1,19.27748468,4640,,,,,,
210,4176,21.49,1,18.614030559999996,4980,,,,,,
220,4207,21.33,1,17.6148317,5200,,,,,,
230,4238,21.65,1,17.93817555,5480,,,,,,
240,4256,22.6,1,19.37885946,5740,,,,,,
250,4258,22.97,1,19.40482686,5940,,,,,,
260,4275,22.22,1,18.461735700000002,6140,,,,,,
270,4276,22.86,1,19.257105430000003,6300,,,,,,
280,4292,22.67,1,19.18071209,6560,,,,,,
290,4307,22.55,1,19.274941990000002,6720,,,,,,
300,4315,22.63,1,19.279115689999998,6920,,,,,,
310,4320,22.59,1,19.347258669999995,7120,,,,,,
320,4320,22.52,1,19.46649783,7380,,,,,,
330,4304,23.05,1,20.26603292,7580,,,,,,
340,4293,21.1,1,17.13018106,7820,,,,,,
350,4296,20.69,1,15.983070869999999,8040,,,,,,
360,4322,21.2,1,16.23225254,8320,,,,,,
370,4335,21.16,1,16.22744819,8580,,,,,,
380,4336,21.79,2,17.230942549999998,8800,,,,,,
390,4337,21.68,2,17.22903492,8980,,,,,,
400,4344,22.62,2,18.697977950000002,9220,,,,,,
410,4347,22.54,2,19.01759348,9400,,,,,,
420,4348,22.28,2,18.707624019999997,9520,,,,,,
430,4365,21.08,2,17.135738059999998,9760,,,,,,
440,4382,21.98,2,18.766316870000004,9960,,,,,,
450,1404,21.73,7,18.43167219,10120,7.742636826811278e-05,5,7.307168006896973,0.9996902942657471,-2.021536111831665,-0.00154837965965271
460,1393,20.99,7,17.86204669,10300,7.742636826811278e-05,14,6.968111991882324,0.9989928603172302,-2.201627016067505,-0.005035846494138241
470,1381,20.12,7,17.10232826,10440,7.742636826811278e-05,21,5.8994269371032715,0.9984500408172607,-2.3800134658813477,-0.007799116894602776
480,1368,19.6,7,16.22600132,10580,7.742636826811278e-05,28,5.774463653564453,0.9979073405265808,-2.5656745433807373,-0.010595165193080902
490,1341,19.37,8,16.105395970000004,10820,7.742636826811278e-05,40,4.65162467956543,0.9969781041145325,-2.7901387214660645,-0.015268916264176369
500,1300,18.51,8,14.436838709999996,11020,7.742636826811278e-05,50,4.019114017486572,0.9962044954299927,-3.046173095703125,-0.019099527969956398
510,1268,18.74,8,14.14174723,11260,7.742636826811278e-05,62,3.2568678855895996,0.9952771663665771,-3.3927485942840576,-0.023923691362142563
520,1264,18.85,9,14.247127410000003,11440,7.742636826811278e-05,71,2.840038299560547,0.9945819973945618,-3.537111759185791,-0.027361806482076645
530,1259,19.3,9,14.676993069999998,11680,7.742636826811278e-05,83,2.342693328857422,0.9936563372612,-3.883297920227051,-0.03216462954878807
540,1257,18.98,9,13.830122140000004,11800,7.742636826811278e-05,89,2.3792595863342285,0.9931941032409668,-3.983482599258423,-0.03439002111554146
550,1253,19.02,9,14.136493770000001,12040,7.742636826811278e-05,101,1.9351027011871338,0.9922700524330139,-4.319375038146973,-0.039198074489831924
560,1242,19.03,9,14.422545130000001,12300,7.742636826811278e-05,114,2.0712547302246094,0.991269588470459,-4.39501953125,-0.04417349398136139
570,1241,19.69,9,15.379990829999999,12380,7.742636826811278e-05,118,1.8763256072998047,0.9909622073173523,-4.553486347198486,-0.045680396258831024
580,1227,20.07,10,15.730390899999998,12700,7.742636826811278e-05,134,1.4779962301254272,0.9897333979606628,-4.7378435134887695,-0.05223012715578079
590,1210,20.58,10,16.42449542,12940,7.742636826811278e-05,146,1.941107988357544,0.9888136386871338,-4.770908355712891,-0.056802935898303986
600,1203,20.56,10,16.78902441,13100,7.742636826811278e-05,154,1.332716941833496,0.9882007837295532,-4.952718734741211,-0.05986803025007248
610,1193,20.43,11,16.531287210000002,13300,7.742636826811278e-05,164,1.916675329208374,0.987434983253479,-4.998007774353027,-0.06343212723731995
620,1189,20.83,11,17.418065480000003,13460,7.742636826811278e-05,172,1.4249563217163086,0.986822783946991,-5.0168609619140625,-0.06679726392030716
630,1183,20.54,11,17.55113596,13700,7.742636826811278e-05,184,1.6420269012451172,0.9859053492546082,-5.114630699157715,-0.07171608507633209
640,1180,20.12,11,16.87670524,13820,7.742636826811278e-05,190,1.8831621408462524,0.9854467511177063,-5.192144870758057,-0.07387875020503998
650,1172,19.99,12,16.754406359999997,14140,7.742636826811278e-05,206,1.278741717338562,0.9842249155044556,-5.441123962402344,-0.08009779453277588
660,1164,20.35,12,16.8635186,14340,7.742636826811278e-05,216,1.6236474514007568,0.9834626317024231,-5.548999309539795,-0.08411466330289841
670,1159,20.18,12,16.584661989999997,14480,7.742636826811278e-05,223,1.5412282943725586,0.9829292297363281,-5.5529937744140625,-0.08656983077526093
680,1154,19.56,12,15.781229609999995,14660,7.742636826811278e-05,232,1.7948071956634521,0.9822434186935425,-5.70123815536499,-0.09036657214164734
690,1147,20.07,13,16.565923020000003,14920,7.742636826811278e-05,245,1.486068606376648,0.9812540411949158,-5.7928032875061035,-0.09568223357200623
700,1137,20.36,13,17.093314080000003,15180,7.742636826811278e-05,258,1.292262315750122,0.9802663922309875,-5.793484210968018,-0.10088043659925461
710,1130,20.07,13,16.83480133,15440,7.742636826811278e-05,271,1.1266738176345825,0.9792790412902832,-6.038798809051514,-0.10560241341590881
720,1124,20.58,13,17.52098329,15560,7.742636826811278e-05,277,1.6072897911071777,0.9788239002227783,-6.017298221588135,-0.1080549955368042
730,1122,20.76,14,17.892505,15760,7.742636826811278e-05,287,1.817223310470581,0.9780662059783936,-6.2150797843933105,-0.11186505854129791
740,1118,20.56,14,17.54531765,15960,7.742636826811278e-05,297,1.4703688621520996,0.9773085117340088,-6.300487995147705,-0.1157795637845993
750,1111,21.01,14,17.73741261,16240,7.742636826811278e-05,311,1.4100110530853271,0.9762490391731262,-6.334846496582031,-0.12154195457696915
760,1108,20.98,14,17.45542606,16440,7.742636826811278e-05,321,1.4719257354736328,0.9754922389984131,-6.363694190979004,-0.12551981210708618
770,1101,21.67,15,18.37511425,16760,7.742636826811278e-05,337,2.1275062561035156,0.9742835760116577,-6.597977161407471,-0.13039670884609222
780,1100,22.78,15,19.71148256,17020,7.742636826811278e-05,350,1.651940941810608,0.9733045101165771,-6.724808692932129,-0.1358093023300171
790,1095,22.26,15,18.501766359999998,17220,7.742636826811278e-05,360,1.2828559875488281,0.9725520610809326,-6.774210453033447,-0.14003777503967285
800,1093,21.87,15,17.790704859999998,17420,7.742636826811278e-05,370,1.71490478515625,0.9718001484870911,-6.918622016906738,-0.14527741074562073
810,1092,22.47,16,18.69040816,17560,7.742636826811278e-05,377,1.263821005821228,0.97127366065979,-6.899104118347168,-0.14684176445007324
820,1091,22.58,16,19.43361087,17840,7.742636826811278e-05,391,1.3523015975952148,0.9702211618423462,-7.185097694396973,-0.15193217992782593
830,1089,22.41,16,18.80043346,18060,7.742636826811278e-05,402,1.465132713317871,0.9693962335586548,-7.244523048400879,-0.15559840202331543
840,1087,23.5,16,20.522808100000002,18340,7.742636826811278e-05,416,1.9340324401855469,0.9683473110198975,-7.414157867431641,-0.16149771213531494
850,1085,23.52,17,20.539595589999998,18540,7.742636826811278e-05,426,1.2779844999313354,0.9675993323326111,-7.485939025878906,-0.16609521210193634
860,1083,23.26,17,20.56598567,18780,7.742636826811278e-05,438,1.6792980432510376,0.9667028188705444,-7.6976470947265625,-0.17042598128318787
870,1078,22.84,17,19.326627589999998,19020,7.742636826811278e-05,450,1.5290472507476807,0.9658072590827942,-7.671963214874268,-0.17582711577415466
880,1075,22.88,17,20.019452469999997,19300,7.742636826811278e-05,464,1.7267192602157593,0.9647632837295532,-7.9062933921813965,-0.1806456744670868
890,1073,23.26,18,20.600569659999998,19480,7.742636826811278e-05,473,1.2361420392990112,0.9640932679176331,-7.937492847442627,-0.18477404117584229
900,1071,23.45,18,20.83713939,19760,7.742636826811278e-05,487,1.1999589204788208,0.963050127029419,-8.154984474182129,-0.18999555706977844
910,1071,23.74,18,20.79632338,19980,7.742636826811278e-05,498,1.4565227031707764,0.962232768535614,-8.33074951171875,-0.19388456642627716
920,795,23.65,25,19.69177504,20280,7.742636826811278e-05,513,1.6924636363983154,0.9611203074455261,-8.448980331420898,-0.20063471794128418
930,799,24.53,25,21.87041783,20700,7.742636826811278e-05,534,1.6441125869750977,0.9595669507980347,-8.591727256774902,-0.2065143883228302
940,802,25.48,26,23.209349389999996,21020,7.742636826811278e-05,550,1.6167863607406616,0.9583851099014282,-8.768224716186523,-0.21396178007125854
950,804,25.35,26,24.099800289999994,21360,7.742636826811278e-05,567,1.3994826078414917,0.9571340680122375,-9.103256225585938,-0.21856707334518433
960,806,27.29,26,26.18109153,21700,7.742636826811278e-05,584,1.5905139446258545,0.9558849930763245,-9.219656944274902,-0.22413328289985657
970,810,29.57,27,29.694464659999994,22080,7.742636826811278e-05,603,2.306072235107422,0.9544922113418579,-9.324301719665527,-0.23239664733409882
980,810,29.46,27,28.673053569999997,22360,7.742636826811278e-05,617,2.0228211879730225,0.9534682631492615,-9.599641799926758,-0.23756784200668335
990,811,30.28,27,30.80646752,22680,7.742636826811278e-05,633,1.9791252613067627,0.9522989988327026,-9.664596557617188,-0.24240779876708984
1000,813,32.11,28,33.69307497,23140,7.742636826811278e-05,656,2.373034715652466,0.9506229162216187,-10.022363662719727,-0.2510296404361725
1010,815,33.53,28,37.046145849999995,23500,7.742636826811278e-05,674,2.3203186988830566,0.9493139982223511,-10.176288604736328,-0.2569149136543274
1020,816,34.95,29,39.62329755,23800,7.742636826811278e-05,689,2.7231504917144775,0.9482287764549255,-10.344136238098145,-0.2636927366256714
1030,818,34.74,29,38.11154892,24060,7.742636826811278e-05,702,0.9222533702850342,0.9472871422767639,-10.61735725402832,-0.26959049701690674
1040,821,34.82,29,36.87512997,24480,7.742636826811278e-05,723,1.3731329441070557,0.9457722902297974,-10.652669906616211,-0.2762911915779114
1050,823,36.28,30,38.55274191,24920,7.742636826811278e-05,745,2.1313579082489014,0.9441865682601929,-10.943116188049316,-0.28277409076690674
1060,826,36.12,30,38.32946962999999,25320,7.742636826811278e-05,765,3.1385252475738525,0.9427533745765686,-11.00570297241211,-0.28671151399612427
