time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
10,2119,12.4,0,9.6630092,320,,,,,,
20,2386,15.25,0,12.380806850000003,480,,,,,,
30,2579,17.5,0,13.662824266666666,760,,,,,,
40,2711,18.45,0,14.250516750000003,940,,,,,,
50,2886,18.44,0,13.866006080000002,1280,,,,,,
60,3027,19.683333333333334,0,14.569588733333331,1560,,,,,,
70,3148,20.557142857142857,0,15.499980199999998,1760,,,,,,
80,3307,20.65,0,15.616236537499997,2060,,,,,,
90,3344,20.788888888888888,0,15.918481377777777,2180,,,,,,
100,3503,21.18,0,17.03146575,2500,,,,,,
110,3459,22.61,0,19.49839761,2620,,,,,,
120,3503,23.09,0,20.07291823,2880,,,,,,
130,3498,22.91,0,19.804256249999998,3060,,,,,,
140,3522,23.1,0,19.6796361,3240,,,,,,
150,3588,23.25,0,19.81113306,3460,,,,,,
160,3600,22.66,1,19.823616400000002,3700,,,,,,
170,3575,22.09,1,19.078215599999996,3820,,,,,,
180,3637,21.92,1,18.943480949999994,4040,,,,,,
190,3712,21.87,1,18.75907728,4360,,,,,,
200,3755,21.41,1,17.51451152,4540,,,,,,
210,3745,21.72,1,16.30399139,4820,,,,,,
220,3765,21.67,1,16.058662939999998,5080,,,,,,
230,3793,22.04,1,16.89523493,5260,,,,,,
240,3819,21.84,1,17.14044118,5480,,,,,,
250,3834,21.81,1,17.45948054,5620,,,,,,
260,3860,22.09,1,17.756557010000005,5840,,,,,,
270,3874,21.55,1,17.482034419999998,6080,,,,,,
280,3917,21.6,1,17.526652950000003,6320,,,,,,
290,3965,21.66,1,17.939087139999998,6620,,,,,,
300,3994,22.82,1,19.34405728,6820,,,,,,
310,4003,21.61,1,18.19204777,7060,,,,,,
320,4024,22.48,1,19.269303920000002,7300,,,,,,
330,4041,21.68,1,18.03947572,7480,,,,,,
340,4043,22.18,1,18.37225275,7700,,,,,,
350,4055,22.25,1,18.3365659,7900,,,,,,
360,4083,21.9,1,17.943190879999996,8140,,,,,,
370,4110,22.51,2,18.676245650000002,8420,,,,,,
380,4111,23.39,2,20.37160801,8640,,,,,,
390,4114,22.97,2,19.48099607,8820,,,,,,
400,4108,22.17,2,18.35316435,9000,,,,,,
410,4114,22.56,2,19.130548859999998,9280,,,,,,
420,4136,21.34,2,17.64331755,9540,,,,,,
430,4143,22.57,2,19.31313575,9700,,,,,,
440,4161,22.03,2,18.90706457,9940,,,,,,
450,3996,21.99,2,18.91290133,10140,7.742636826811278e-05,6,7.065239906311035,0.9996129274368286,-2.0654354095458984,-0.0019488628022372723
460,3693,22.9,2,20.056103359999998,10400,7.742636826811278e-05,19,6.10513973236084,0.9986064434051514,-2.3511295318603516,-0.007042841520160437
470,3455,22.56,3,19.822168319999996,10600,7.742636826811278e-05,29,5.2512102127075195,0.9978322982788086,-2.5323195457458496,-0.010904861614108086
480,3244,22.32,3,19.395318139999997,10800,7.742636826811278e-05,39,4.795153617858887,0.997058629989624,-2.7664384841918945,-0.014780642464756966
490,3043,22.76,3,20.30720535,11040,7.742636826811278e-05,51,3.6434884071350098,0.9961310625076294,-3.1052653789520264,-0.01951652392745018
500,2929,22.2,3,19.78377729,11220,7.742636826811278e-05,60,2.955458641052246,0.9954361915588379,-3.3451766967773438,-0.023079540580511093
510,2828,21.86,4,19.06427665,11380,7.742636826811278e-05,68,2.5700840950012207,0.9948187470436096,-3.5742106437683105,-0.026030253618955612
520,2723,21.95,4,19.110206659999996,11580,7.742636826811278e-05,78,2.259361982345581,0.9940478801727295,-3.804227590560913,-0.03012222610414028
530,2675,20.91,4,18.125108439999998,11700,7.742636826811278e-05,84,2.191840410232544,0.9935854077339172,-4.05844783782959,-0.032531868666410446
540,2554,20.76,4,17.87277555,11960,7.742636826811278e-05,97,1.9357305765151978,0.9925834536552429,-4.25050687789917,-0.03758995234966278
550,2502,20.46,4,17.23688515,12100,7.742636826811278e-05,104,1.8345314264297485,0.9920442700386047,-4.259882926940918,-0.04029436036944389
560,2403,19.29,5,15.887961459999996,12340,7.742636826811278e-05,116,1.8981976509094238,0.9911208152770996,-4.510382652282715,-0.04504194110631943
570,2336,20.0,5,16.363741830000002,12560,7.742636826811278e-05,127,1.6890513896942139,0.9902759194374084,-4.68499755859375,-0.04940208047628403
580,2231,19.47,5,15.54652102,12900,7.742636826811278e-05,144,1.6002918481826782,0.9889712333679199,-4.782205104827881,-0.05596771091222763
590,2174,20.06,6,16.16036097,13120,7.742636826811278e-05,155,1.7810134887695312,0.9881280064582825,-4.88940954208374,-0.060161836445331573
600,2114,20.55,6,17.299219139999998,13360,7.742636826811278e-05,167,1.8450031280517578,0.9872100353240967,-5.026397705078125,-0.06466160714626312
610,2054,21.54,6,19.16327754,13600,7.742636826811278e-05,179,1.544835090637207,0.98629230260849,-5.104418754577637,-0.06960112601518631
620,2006,21.74,6,19.351508430000003,13820,7.742636826811278e-05,190,1.9445421695709229,0.9854509830474854,-5.313405513763428,-0.0736272931098938
630,1950,22.87,7,20.99660118,14180,7.742636826811278e-05,208,1.2291107177734375,0.9840772747993469,-5.41216516494751,-0.0811786875128746
640,1918,23.95,7,22.494274749999995,14340,7.742636826811278e-05,216,1.6682276725769043,0.983467161655426,-5.477422714233398,-0.08397749066352844
650,1882,24.12,7,22.789121689999998,14620,7.742636826811278e-05,230,1.5999689102172852,0.9824014902114868,-5.697214603424072,-0.08915390819311142
660,1857,25.2,7,23.974582419999997,14760,7.742636826811278e-05,237,1.2997846603393555,0.9818691611289978,-5.651594161987305,-0.09194785356521606
670,1826,24.35,8,23.073720230000003,14980,7.742636826811278e-05,248,1.298680305480957,0.9810326099395752,-5.857625484466553,-0.09638583660125732
680,1803,24.26,8,22.81679217,15160,7.742636826811278e-05,257,1.3616220951080322,0.9803490042686462,-6.018218040466309,-0.10030853748321533
690,1784,23.3,8,21.953960289999994,15340,7.742636826811278e-05,266,1.0324541330337524,0.9796662926673889,-5.983898162841797,-0.10320255905389786
700,1748,23.04,8,21.315840790000003,15640,7.742636826811278e-05,281,1.7625648975372314,0.9785287976264954,-6.039924621582031,-0.10955242812633514
710,1730,23.06,9,20.58731745,15800,7.742636826811278e-05,289,1.5481619834899902,0.9779226779937744,-6.22587776184082,-0.11256677657365799
720,1703,22.78,9,20.41399844,16060,7.742636826811278e-05,302,1.331904649734497,0.9769384860992432,-6.524309158325195,-0.11821112036705017
730,1677,21.87,9,18.49513742,16260,7.742636826811278e-05,312,0.819341778755188,0.9761819839477539,-6.434725761413574,-0.12178665399551392
740,1655,20.97,9,17.27369745,16500,7.742636826811278e-05,324,1.1697170734405518,0.9752750396728516,-6.638479709625244,-0.12664848566055298
750,1638,21.33,10,17.718490350000003,16680,7.742636826811278e-05,333,0.8573197722434998,0.9745949506759644,-6.6618428230285645,-0.12959444522857666
760,1613,20.4,10,16.43749666,16960,7.742636826811278e-05,347,1.4707210063934326,0.9735383987426758,-6.825042724609375,-0.13564977049827576
770,1597,21.21,10,17.05978204,17160,7.742636826811278e-05,357,1.0973715782165527,0.9727849364280701,-6.853497505187988,-0.13944312930107117
