time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates,train/ent_coef_loss
10,206,20.806857099999995,1943,0,20.6,,,,,,
20,371,16.9400114,2056,0,18.55,,,,,,
30,653,22.460008900000002,98,6,21.766666666666666,,,,,,
40,955,23.004190925,142,6,23.875,,,,,,
50,1153,21.037403060000003,132,8,23.06,,,,,,
60,1317,19.61915583333333,150,8,21.95,,,,,,
70,1510,18.95561332857143,142,10,21.571428571428573,,,,,,
80,1718,19.170747212499997,160,10,21.475,,,,,,
90,1995,19.500430811111112,184,10,22.166666666666668,,,,,,
100,2238,19.6739956,174,12,22.38,,,,,,
110,2432,19.031801299999998,188,12,22.26,,,,,,
120,2703,20.100925290000003,183,14,23.32,,,,,,
130,2883,18.05126877,194,14,22.3,,,,,,
140,3146,17.95100734,187,16,21.91,,,,,,
150,3286,17.53763356,195,16,21.33,,,,,,
160,3638,19.350260640000002,192,18,23.21,,,,,,
170,3804,19.005492710000002,200,18,22.94,,,,,,
180,3967,18.09321529,208,19,22.49,,,,,,
190,4172,17.15372751,198,20,21.77,,,,,,
200,4425,16.926541089999997,210,21,21.87,,,,,,
210,4605,16.71751991,200,22,21.73,,,,,,
220,4836,16.314896490000002,209,23,21.33,,,,,,
230,5091,17.24398696,203,25,22.08,,,,,,
240,5379,17.72918717,213,25,22.33,,,,,,
250,5575,18.165413019999995,205,27,22.89,,,,,,
260,5815,17.31155725,213,27,21.77,,,,,,
270,5992,17.342441100000002,219,27,21.88,,,,,,
280,6182,17.58693191,211,29,22.15,,,,,,
290,6325,17.34721484,215,29,21.53,,,,,,
300,6511,16.98243781,208,31,20.86,,,,,,
310,6710,17.118809130000002,214,31,21.05,,,,,,
320,6923,16.50402174,221,31,20.87,,,,,,
330,7156,16.41357416,215,33,20.65,,,,,,
340,7337,15.00413347,220,33,19.58,,,,,,
350,7548,15.583495269999998,215,35,19.73,,,,,,
360,7767,15.173950800000002,221,35,19.52,,,,,,
370,7915,14.92878999,225,35,19.23,,,,,,
380,8117,14.70566816,220,36,19.35,,,,,,
390,8361,15.812820899999998,226,36,20.36,,,,,,
400,8586,16.020918650000002,219,39,20.75,,,,,,
410,8906,17.45202202,226,39,21.96,,,,,,
420,9069,17.407267779999994,220,41,21.46,,,,,,
430,9225,16.57259684,223,41,20.69,,,,,,
440,9381,16.001885129999998,227,41,20.44,,,,,,
450,9565,15.202490669999998,221,43,20.17,,,,,,
460,9740,14.57810645,225,43,19.73,,,,,,
470,9916,14.963591359999999,229,43,20.01,,,,,,
480,10223,16.930914519999998,207,49,21.06,0.0001,1.0533156394958496,0.9781066179275513,-5.731039047241211,222,-0.11168914288282394
490,10549,17.90817996,181,58,21.88,0.0001,2.678816318511963,0.9468169808387756,-9.066469192504883,548,-0.2724277675151825
500,10969,21.047077220000002,171,64,23.83,0.0001,2.4839277267456055,0.9086124897003174,-13.20032024383545,968,-0.4514545202255249
510,11348,23.94883795,157,72,24.42,0.0001,6.273369789123535,0.8764225840568542,-17.043277740478516,1347,-0.597566545009613
520,11759,29.569906799999995,146,80,26.9,0.0001,4.058754920959473,0.8434461951255798,-21.490928649902344,1758,-0.7258052825927734
530,12073,33.77587831,138,87,28.48,0.0001,8.512910842895508,0.8192124366760254,-24.514888763427734,2072,-0.8424256443977356
540,12381,38.316576,134,91,30.0,0.0001,18.212739944458008,0.7961671948432922,-28.45873260498047,2380,-0.9164115190505981
550,12725,43.39511435,123,102,31.6,0.0001,12.107666015625,0.7712061405181885,-32.01557922363281,2724,-1.0611240863800049
560,13161,50.57339464999999,113,116,34.21,0.0001,13.393948554992676,0.7406741380691528,-35.75370788574219,3160,-1.116297721862793
570,14078,66.83337842,94,148,41.62,0.0001,21.93897247314453,0.6804482936859131,-43.7794075012207,4077,-1.3456156253814697
580,15157,82.36438449,82,183,49.34,0.0001,22.995073318481445,0.6156922578811646,-52.880043029785156,5156,-1.6775836944580078
590,16264,101.12547611,72,223,57.15,0.0001,13.355827331542969,0.554195761680603,-60.34135437011719,6263,-1.7922008037567139
600,17458,120.67223804000001,66,262,64.89,0.0001,30.307262420654297,0.49429839849472046,-69.75143432617188,7457,-2.0688257217407227
610,18574,139.15005033,60,309,72.26,0.0001,51.799015045166016,0.44355225563049316,-76.1966781616211,8573,-2.384276866912842
620,19725,154.95798182,56,347,79.66,0.0001,65.71041870117188,0.39652884006500244,-81.20166778564453,9724,-2.465562105178833
630,20746,170.20061249,54,382,86.73,0.0001,55.02826690673828,0.359529048204422,-88.71722412109375,10745,-3.131314277648926
640,21776,185.05158063,52,417,93.95,0.0001,54.252540588378906,0.32616567611694336,-90.74210357666016,11775,-3.032106876373291
650,22839,201.44571863000002,50,451,101.14,0.0001,52.73442077636719,0.29546546936035156,-95.02696228027344,12838,-2.667404890060425
660,23909,216.30590914000004,49,486,107.48,0.0001,35.15521240234375,0.2683750092983246,-102.71797943115234,13908,-2.848332405090332
670,25010,223.55368782999997,46,534,109.32,0.0001,85.4857406616211,0.24353770911693573,-104.5352783203125,15009,-2.3102896213531494
680,26150,231.29261352999995,45,572,109.93,0.0001,21.92436408996582,0.22095350921154022,-113.33464050292969,16149,-3.2573423385620117
690,27251,234.06883234,44,608,109.87,0.0001,20.179208755493164,0.20076777040958405,-120.08295440673828,17250,-3.132631301879883
700,28368,234.95029775999998,43,645,109.1,0.0001,36.054725646972656,0.18188390135765076,-121.60953521728516,18367,-2.30214262008667
710,29552,238.74058782,42,697,109.78,0.0001,39.64711380004883,0.16602301597595215,-124.66291809082031,19551,-0.9634785056114197
720,30792,243.52913121,41,737,110.67,0.0001,29.723674774169922,0.1554095298051834,-137.62303161621094,20791,-0.3230035901069641
730,32297,251.62245167999998,40,790,115.51,0.0001,89.29327392578125,0.1409100890159607,-142.94161987304688,22296,-0.6364712715148926
740,33061,238.32575521,40,824,112.85,0.0001,39.357460021972656,0.13584308326244354,-146.49508666992188,23060,0.02647378295660019
750,33340,216.03116253,40,828,105.01,0.0001,55.43939971923828,0.13510394096374512,-145.66717529296875,23339,-0.4503013491630554
760,33633,193.16761446,40,836,97.24,0.0001,21.095619201660156,0.13379395008087158,-150.33575439453125,23632,-0.47741448879241943
770,33933,168.72127297999998,40,841,89.23,0.0001,54.90583038330078,0.1320856362581253,-147.74191284179688,23932,-0.4778147339820862
780,34262,142.86560831999998,40,849,81.12,0.0001,67.43025207519531,0.13163448870182037,-149.87893676757812,24261,-0.30367860198020935
790,34626,118.93352274,40,859,73.75,0.0001,18.8118896484375,0.1317126601934433,-153.52627563476562,24625,-0.5064914226531982
800,36132,102.60177703000001,38,933,77.64,0.0001,110.58084869384766,0.12647481262683868,-155.34141540527344,26131,-0.37267106771469116
810,37513,104.97591802999999,37,990,79.61,0.0001,75.16633605957031,0.1308078169822693,-159.9200439453125,27512,0.46413400769233704
820,38742,106.69793301000001,37,1029,79.5,0.0001,71.16740417480469,0.1359129101037979,-154.7089080810547,28741,0.6222188472747803
830,39916,105.27257225,37,1068,76.19,0.0001,85.09974670410156,0.13137003779411316,-162.95501708984375,29915,0.10245411843061447
840,41088,124.98159518,36,1117,80.27,0.0001,159.01898193359375,0.13074442744255066,-168.4974822998047,31087,-0.039220571517944336
850,42235,150.03460382,36,1154,88.95,0.0001,152.18563842773438,0.12980251014232635,-172.0615234375,32234,-0.14854273200035095
860,43432,175.29784031,36,1193,97.99,0.0001,113.7056655883789,0.1258709579706192,-168.4238739013672,33431,0.04568949341773987
870,44799,204.23681903999997,35,1246,108.66,0.0001,166.9012451171875,0.12163349986076355,-174.25523376464844,34798,0.12735801935195923
880,46205,234.44146830999995,35,1301,119.43,0.0001,102.83306121826172,0.1218179240822792,-167.2581329345703,36204,0.03990630805492401
890,47580,264.34334431,35,1353,129.54,0.0001,29.989124298095703,0.1248386949300766,-173.4960174560547,37579,-0.5429101586341858
900,48804,282.76688521,35,1392,126.72,0.0001,102.1451644897461,0.1245427131652832,-172.14816284179688,38803,0.4733559489250183
910,49901,277.13829423,34,1429,123.88,0.0001,41.5635871887207,0.12268893420696259,-173.8895263671875,39900,-0.03000807762145996
