time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates,train/ent_coef_loss
10,185,13.637419799999998,2363,0,18.5,,,,,,
20,400,15.782761050000001,2254,0,20.0,,,,,,
30,594,15.772616966666666,1855,0,19.8,,,,,,
40,808,15.6819401,2026,0,20.2,,,,,,
50,1030,16.2437036,2191,0,20.6,,,,,,
60,1244,16.489953383333333,2272,0,20.733333333333334,,,,,,
70,1419,15.963710614285713,2271,0,20.271428571428572,,,,,,
80,1626,16.2234379625,2251,0,20.325,,,,,,
90,1829,16.499810366666665,2323,0,20.322222222222223,,,,,,
100,2057,17.05488156,2326,0,20.57,,,,,,
110,2295,17.291045350000005,2385,0,21.1,,,,,,
120,2546,18.3514279,2373,1,21.46,,,,,,
130,2773,18.12376543,2384,1,21.79,,,,,,
140,2956,18.197079100000003,2430,1,21.48,,,,,,
150,3145,17.864713079999998,2448,1,21.15,,,,,,
160,3443,19.18206053,2492,1,21.99,,,,,,
170,3696,20.13033899,2522,1,22.77,,,,,,
180,3953,20.92650813,2545,1,23.27,,,,,,
190,4151,20.959524699999996,2514,1,23.22,,,,,,
200,4413,20.890774880000002,2555,1,23.56,,,,,,
210,4587,20.60710896,2572,1,22.92,,,,,,
220,4772,19.28615954,2592,1,22.26,,,,,,
230,5023,20.34544022,2606,1,22.5,,,,,,
240,5226,20.18188959,2596,2,22.7,,,,,,
250,5438,20.333225289999998,2616,2,22.93,,,,,,
260,5587,18.68298526,2622,2,21.44,,,,,,
270,5809,17.977985220000004,2634,2,21.13,,,,,,
280,6082,17.95607707,2622,2,21.29,,,,,,
290,6232,17.16611772,2586,2,20.81,,,,,,
300,6464,16.79066571,2580,2,20.51,,,,,,
310,6687,17.26742879,2565,2,21.0,,,,,,
320,6874,16.878464870000002,2508,2,21.02,,,,,,
330,7230,18.98020582,2518,2,22.07,,,,,,
340,7443,19.048338349999998,2514,2,22.17,,,,,,
350,7653,18.871266340000002,2480,3,22.15,,,,,,
360,7852,19.01540504,2486,3,22.65,,,,,,
370,8111,19.91341314,2463,3,23.02,,,,,,
380,8311,18.78510371,2452,3,22.29,,,,,,
390,8490,18.64413574,2435,3,22.58,,,,,,
400,8725,18.487626449999997,2432,3,22.61,,,,,,
410,8899,17.85447286,2439,3,22.12,,,,,,
420,9090,18.185489909999998,2435,3,22.16,,,,,,
430,9253,15.00236805,2416,3,20.23,,,,,,
440,9515,15.332188829999998,2437,3,20.72,,,,,,
450,9733,15.695766359999999,2436,3,20.8,,,,,,
460,9961,15.968940089999998,2431,4,21.09,,,,,,
470,10162,14.9888213,1033,9,20.51,0.0001,1.3565216064453125,0.9840982556343079,-5.159937858581543,161,-0.08072657883167267
480,10436,15.977105710000004,745,13,21.25,0.0001,1.2577000856399536,0.957506000995636,-7.839565277099609,435,-0.21614748239517212
490,10848,20.794706859999998,533,20,23.58,0.0001,2.0908992290496826,0.9193432331085205,-11.70663070678711,847,-0.4121689796447754
500,11492,26.900848520000007,382,30,27.67,0.0001,4.282569885253906,0.8645549416542053,-18.586458206176758,1491,-0.6586875915527344
510,11877,32.367388399999996,329,36,29.78,0.0001,8.468975067138672,0.8341891765594482,-22.768169403076172,1876,-0.7829583287239075
520,12295,38.14870311000001,287,42,32.05,0.0001,14.624898910522461,0.8025538325309753,-27.162120819091797,2294,-0.8916646838188171
530,12746,44.97529540000001,258,49,34.93,0.0001,10.464624404907227,0.7700077295303345,-31.479129791259766,2745,-1.0135661363601685
540,13734,60.34934882000002,211,64,42.19,0.0001,17.823745727539062,0.7032896876335144,-41.045166015625,3733,-1.2545578479766846
550,14795,77.58056257,183,80,50.62,0.0001,32.56765365600586,0.6371113657951355,-49.393165588378906,4794,-1.5343214273452759
560,15865,95.41523002,163,96,59.04,0.0001,56.30560302734375,0.57624351978302,-57.75531005859375,5864,-1.6269891262054443
570,17007,115.50198862,147,115,68.45,0.0001,24.371055603027344,0.5169571042060852,-67.45648193359375,7006,-2.0782012939453125
580,18141,134.75023132,136,132,77.05,0.0001,37.91695785522461,0.4632534384727478,-74.42013549804688,8140,-2.2882792949676514
590,19228,149.50545979,128,149,83.8,0.0001,35.993507385253906,0.41634559631347656,-77.33919525146484,9227,-2.654571533203125
600,20304,162.37201689000003,122,166,88.12,0.0001,31.19245147705078,0.3754964768886566,-86.04853820800781,10303,-2.8197989463806152
610,21374,177.60326949000003,117,182,94.97,0.0001,38.207603454589844,0.34044772386550903,-90.17149353027344,11373,-2.643768310546875
620,22486,194.11203724000003,113,198,101.91,0.0001,44.63996124267578,0.30816370248794556,-94.22625732421875,12485,-2.7365562915802
630,23632,210.70628275,109,216,108.86,0.0001,38.48637390136719,0.2788543701171875,-101.07997131347656,13631,-2.461275577545166
640,24801,218.35443504000003,104,236,110.67,0.0001,103.27195739746094,0.2516024112701416,-110.20109558105469,14800,-2.483161449432373
650,26082,226.37682715999995,101,256,112.87,0.0001,85.59515380859375,0.22356343269348145,-112.79269409179688,16081,-1.8179404735565186
660,27677,238.01634726000003,98,281,118.12,0.0001,84.11666870117188,0.192672461271286,-120.79975128173828,17676,-2.212127685546875
670,28930,243.63866459999997,95,301,119.23,0.0001,58.30534362792969,0.17383922636508942,-121.87622833251953,18929,-1.9353258609771729
680,30165,247.90916248999997,93,324,120.24,0.0001,45.65916442871094,0.15969344973564148,-128.852294921875,20164,-1.2971014976501465
690,31414,253.82608267,90,346,121.86,0.0001,45.486610412597656,0.15015287697315216,-134.348876953125,21413,-0.4363963007926941
700,32690,260.96717811,88,368,123.86,0.0001,62.01893615722656,0.14396244287490845,-143.06045532226562,22689,-0.3941119909286499
710,34104,271.27001931,86,393,127.3,0.0001,50.296836853027344,0.13545970618724823,-139.53109741210938,24103,-0.23101502656936646
720,35543,280.03895246,84,419,130.57,0.0001,102.9876708984375,0.12759478390216827,-145.16934204101562,25542,0.7348343133926392
730,36813,284.99824835,82,443,131.81,0.0001,106.79861450195312,0.12746652960777283,-143.70021057128906,26812,-0.9014337062835693
740,38049,289.10190991,81,466,132.48,0.0001,58.21361541748047,0.12526865303516388,-150.24887084960938,28048,0.08737653493881226
750,39290,290.27263902000004,80,487,132.08,0.0001,78.64317321777344,0.12119226157665253,-148.4996337890625,29289,0.5839887857437134
760,40516,286.82158666,79,509,128.39,0.0001,119.6722412109375,0.11523638665676117,-148.05764770507812,30515,-0.9802418351173401
770,41782,288.46116032000003,78,531,128.52,0.0001,18.62439727783203,0.1104947030544281,-149.4528045654297,31781,-0.5964228510856628
780,43007,290.58629063000006,77,553,128.42,0.0001,29.759428024291992,0.1035652682185173,-151.98187255859375,33006,-0.03530406951904297
790,44141,289.17979632,77,573,127.27,0.0001,72.67897033691406,0.09984316676855087,-149.0697479248047,34140,0.5130086541175842
800,44620,266.05945936000006,76,581,119.3,0.0001,18.756750106811523,0.10021010041236877,-144.99127197265625,34619,-0.4141532778739929
810,44926,234.44902370000003,76,587,108.22,0.0001,15.310089111328125,0.10065802186727524,-151.20919799804688,34925,0.4153120815753937
820,45419,206.42260030000006,76,595,98.76,0.0001,28.053638458251953,0.1004469096660614,-154.25375366210938,35418,-0.7961530685424805
830,46759,208.26318854000002,75,619,99.46,0.0001,21.08769416809082,0.10641621798276901,-152.42173767089844,36758,0.02032288908958435
840,48070,211.48444465,74,642,100.21,0.0001,40.184410095214844,0.11208422482013702,-148.40579223632812,38069,0.19725453853607178
850,49410,215.26969623000005,74,666,101.2,0.0001,203.78555297851562,0.11019234359264374,-148.18923950195312,39409,0.013623103499412537
