rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss
20.7,0,10,1656,12.9249574,207,,,,,,
21.2,0,20,1841,12.879132300000004,424,,,,,,
22.7,9,30,69,15.361231733333334,681,,,,,,
23.75,9,40,95,18.314379525,950,,,,,,
23.68,14,50,79,18.46934616,1184,,,,,,
23.966666666666665,14,60,96,19.293368533333332,1438,,,,,,
24.057142857142857,20,70,83,19.348402557142858,1684,,,,,,
23.3,20,80,92,18.451700175,1864,,,,,,
22.733333333333334,25,90,81,17.944692,2046,,,,,,
22.51,25,100,89,17.930714400000003,2251,,,,,,
22.83,25,110,98,18.48375322,2490,,,,,,
23.04,30,120,90,18.72320401,2728,,,,,,
22.26,30,130,96,17.715882530000002,2907,,,,,,
22.17,35,140,89,17.48194987,3167,,,,,,
21.91,35,150,95,17.15981056,3375,,,,,,
20.84,40,160,87,15.859128190000002,3522,,,,,,
20.3,40,170,92,15.314987200000001,3714,,,,,,
20.31,40,180,96,15.30628284,3895,,,,,,
20.4,45,190,89,15.03272658,4086,,,,,,
20.96,45,200,95,15.556669600000003,4347,,,,,,
21.63,51,210,91,16.02707255,4653,,,,,,
21.27,51,220,94,15.99470444,4855,,,,,,
21.72,56,230,89,16.546499660000002,5079,,,,,,
22.0,56,240,94,16.7697888,5367,,,,,,
22.73,62,250,90,17.68866402,5648,,,,,,
23.18,62,260,93,18.408247099999997,5840,,,,,,
23.19,68,270,87,18.713927220000002,6033,,,,,,
25.18,68,280,93,22.58663676,6413,,,,,,
25.37,74,290,89,23.171069659999997,6623,,,,,,
25.24,74,300,92,23.10892340000001,6871,,,,,,
24.19,79,310,88,22.748544459999998,7072,,,,,,
24.25,79,320,91,22.86651383,7280,,,,,,
24.59,85,330,88,23.61501735,7538,,,,,,
23.55,85,340,90,22.261764799999995,7722,,,,,,
22.66,85,350,92,21.35743481,7914,,,,,,
23.02,90,360,89,21.27887021,8142,,,,,,
23.08,90,370,91,20.856450910000003,8341,,,,,,
21.25,96,380,88,17.16071789,8538,,,,,,
20.88,96,390,90,16.771524349999996,8711,,,,,,
20.89,96,400,92,16.936847789999998,8960,,,,,,
20.93,101,410,90,16.389454020000002,9165,,,,,,
20.67,101,420,91,16.186690669999997,9347,,,,,,
19.57,101,430,93,14.893023370000002,9495,,,,,,
19.62,107,440,89,15.036793719999999,9684,,,,,,
19.53,107,450,91,14.677219829999999,9867,,,,,,
19.51,114,460,88,14.915006479999999,10093,1.4950354099273682,0.9884538650512695,0.00012742749857031334,92,-0.05871468409895897,-4.767827033996582
20.12,118,470,87,15.395268849999997,10353,0.7719841003417969,0.9562451243400574,0.00012742749857031334,352,-0.22486159205436707,-7.32803201675415
21.65,129,480,82,18.66491565,10703,2.6550936698913574,0.9148943424224854,0.00012742749857031334,702,-0.4432733654975891,-10.636123657226562
24.38,139,490,79,24.090510799999997,11149,3.5680954456329346,0.8659200668334961,0.00012742749857031334,1148,-0.6582779288291931,-14.827000617980957
25.92,148,500,77,27.882866399999997,11552,4.097226142883301,0.824870228767395,0.00012742749857031334,1551,-0.8633509874343872,-19.479961395263672
28.14,155,510,77,33.899622380000004,11979,6.678743362426758,0.784042239189148,0.00012742749857031334,1978,-1.0417535305023193,-23.378826141357422
31.03,164,520,75,41.15952559,12450,8.993265151977539,0.7419522404670715,0.00012742749857031334,2449,-1.2105412483215332,-28.071876525878906
37.34,190,530,69,54.73381756000001,13229,15.835219383239746,0.6789588332176208,0.00012742749857031334,3228,-1.3994041681289673,-35.97234344482422
45.26,225,540,62,71.85481518,14210,10.117206573486328,0.6097326874732971,0.00012742749857031334,4209,-1.4152803421020508,-46.60498046875
53.77,261,550,58,90.62418318000002,15244,9.986762046813965,0.5449884533882141,0.00012742749857031334,5243,-1.8227654695510864,-56.31119918823242
62.06,296,560,54,109.75951495,16299,42.69782257080078,0.4838922917842865,0.00012742749857031334,6298,-1.5755963325500488,-65.12785339355469
70.26,332,570,52,130.14588780000003,17379,21.312530517578125,0.42535465955734253,0.00012742749857031334,7378,-2.2827696800231934,-75.05088806152344
77.48,368,580,50,149.36843471999998,18451,71.15479278564453,0.37274038791656494,0.00012742749857031334,8450,-2.3544859886169434,-81.27268981933594
86.95,426,590,46,172.48815786,19844,82.96682739257812,0.31574612855911255,0.00012742749857031334,9843,-2.1444194316864014,-91.07756042480469
95.66,487,600,43,189.45982859999995,21118,32.41961669921875,0.2747437655925751,0.00012742749857031334,11117,-2.1481077671051025,-103.45198059082031
105.41,537,610,41,198.97963183,22520,91.18038940429688,0.23248930275440216,0.00012742749857031334,12519,-2.778596878051758,-111.54698944091797
108.5,557,620,41,197.46403774999996,23300,22.34294891357422,0.2102634161710739,0.00012742749857031334,13299,-2.8200347423553467,-115.20381164550781
125.86,734,630,35,229.01652178,25815,32.27714920043945,0.16219928860664368,0.00012742749857031334,15814,-1.3665249347686768,-126.12222290039062
129.9,792,640,34,240.14463743,27200,53.79138946533203,0.14456850290298462,0.00012742749857031334,17199,-1.0514100790023804,-134.71728515625
132.73,851,650,33,248.86919743,28517,161.6531982421875,0.13393250107765198,0.00012742749857031334,18516,0.03876097500324249,-145.10162353515625
135.73,897,660,33,257.02666512,29872,105.12490844726562,0.13786742091178894,0.00012742749857031334,19871,1.1897008419036865,-157.08131408691406
139.51,957,670,32,264.50543093,31330,47.31687927246094,0.15957337617874146,0.00012742749857031334,21329,-0.03756671026349068,-170.57537841796875
142.3,1010,680,32,266.94785191999995,32681,138.47317504882812,0.170335054397583,0.00012742749857031334,22680,0.0666155219078064,-173.22817993164062
141.01,1050,690,32,261.10934823,33945,47.54396057128906,0.172829270362854,0.00012742749857031334,23944,-0.12471729516983032,-179.40188598632812
139.76,1097,700,31,260.23740332,35094,260.2374267578125,0.1696479469537735,0.00012742749857031334,25093,0.2655484080314636,-187.58517456054688
136.72,1132,710,31,265.05530311,36192,41.708221435546875,0.16492198407649994,0.00012742749857031334,26191,-0.013625815510749817,-189.30563354492188
140.48,1170,720,31,281.95207772,37348,85.5087661743164,0.15424491465091705,0.00012742749857031334,27347,0.4024849236011505,-184.52157592773438
127.26,1221,730,31,260.70024848,38541,31.487985610961914,0.15314839780330658,0.00012742749857031334,28540,-0.22226765751838684,-195.7164764404297
125.11,1270,740,31,255.98659225999995,39711,75.61640167236328,0.15537968277931213,0.00012742749857031334,29710,-0.7783229351043701,-192.053955078125
124.76,1314,750,31,255.10112468,40993,260.3297119140625,0.15633879601955414,0.00012742749857031334,30992,0.05330696702003479,-192.28929138183594
