rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss
20.4,0,10,2902,14.273362,204,,,,,,
20.75,0,20,2503,15.216011,415,,,,,,
19.9,0,30,2478,13.974176833333333,597,,,,,,
22.225,0,40,2314,18.390159524999998,889,,,,,,
21.76,0,50,2425,18.031370459999998,1088,,,,,,
21.683333333333334,0,60,2474,18.07757163333333,1301,,,,,,
21.542857142857144,0,70,2515,17.52772987142857,1508,,,,,,
21.75,0,80,2604,17.642193025,1740,,,,,,
21.68888888888889,0,90,2471,17.317400711111112,1952,,,,,,
21.53,0,100,2479,17.27739474,2153,,,,,,
21.83,1,110,2372,17.90391465,2387,,,,,,
22.12,1,120,2374,17.735373269999997,2627,,,,,,
21.98,1,130,2353,18.006348340000002,2795,,,,,,
21.17,1,140,2329,16.36024064,3006,,,,,,
21.44,1,150,2356,16.40903505,3232,,,,,,
21.59,1,160,2221,16.13905076,3460,,,,,,
21.35,1,170,2215,16.297190209999997,3643,,,,,,
20.88,1,180,2238,16.057195890000003,3828,,,,,,
21.3,1,190,2232,16.138121249999998,4082,,,,,,
21.26,1,200,2262,15.65809763,4279,,,,,,
20.81,1,210,2257,15.0260307,4468,,,,,,
21.1,2,220,2287,15.480165670000002,4737,,,,,,
21.93,2,230,2320,15.909374520000002,4988,,,,,,
21.52,2,240,2330,15.930931930000002,5158,,,,,,
21.72,2,250,2355,16.223349049999996,5404,,,,,,
21.92,2,260,2342,16.93918013,5652,,,,,,
21.86,2,270,2343,16.501184960000003,5829,,,,,,
22.21,2,280,2354,16.56761164,6049,,,,,,
22.61,2,290,2394,17.517060360000002,6343,,,,,,
22.28,2,300,2397,17.64410826,6507,,,,,,
22.54,2,310,2397,17.55264913,6722,,,,,,
21.92,2,320,2412,17.007554619999997,6929,,,,,,
22.15,2,330,2424,17.34659151,7203,,,,,,
22.14,3,340,2401,17.187613640000002,7372,,,,,,
21.95,3,350,2378,16.90973678,7599,,,,,,
21.82,3,360,2378,17.002674260000003,7834,,,,,,
22.41,3,370,2396,17.55912893,8070,,,,,,
22.51,3,380,2401,17.684444010000004,8300,,,,,,
21.79,3,390,2400,16.88567376,8522,,,,,,
22.34,3,400,2382,17.46367043,8741,,,,,,
22.23,3,410,2369,17.31736968,8945,,,,,,
23.07,3,420,2363,18.98046588,9236,,,,,,
22.78,4,430,2307,18.78820801,9481,,,,,,
23.08,4,440,2303,18.958335729999998,9680,,,,,,
22.79,4,450,2285,18.760760050000002,9878,,,,,,
22.97,6,460,1479,18.244492779999998,10131,1.0098505020141602,0.9836733937263489,0.00012742749857031334,130,-0.08297091722488403,-4.988043785095215
23.53,12,470,864,19.582869040000002,10423,0.7582635283470154,0.947755753993988,0.00012742749857031334,422,-0.26881206035614014,-7.643120288848877
24.45,17,480,599,22.49634868,10745,2.0743634700775146,0.9100005626678467,0.00012742749857031334,744,-0.4595736265182495,-10.633476257324219
27.02,26,490,422,28.074945789999997,11224,2.485128402709961,0.8578234910964966,0.00012742749857031334,1223,-0.7115519642829895,-15.333612442016602
30.07,36,500,326,33.95311817,11748,3.2522454261779785,0.8052642345428467,0.00012742749857031334,1747,-0.9326101541519165,-20.804550170898438
33.63,46,510,267,43.486158419999995,12308,7.04596471786499,0.7535151243209839,0.00012742749857031334,2307,-1.1817803382873535,-26.342485427856445
39.47,62,520,212,58.67914436,13183,14.728767395019531,0.6809263229370117,0.00012742749857031334,3182,-1.3511245250701904,-34.21520233154297
45.87,78,530,179,75.40240968,14068,18.20209312438965,0.616192102432251,0.00012742749857031334,4067,-1.6618120670318604,-44.36132049560547
52.68,94,540,158,92.7483464,14948,14.533731460571289,0.5581189393997192,0.00012742749857031334,4947,-1.7494637966156006,-52.9600944519043
59.35,109,550,143,109.94657455000002,15813,43.52585220336914,0.505165696144104,0.00012742749857031334,5812,-1.7630130052566528,-61.74425506591797
65.63,125,560,132,127.58212491,16694,15.558892250061035,0.45468178391456604,0.00012742749857031334,6693,-2.219613552093506,-70.7559585571289
71.79,142,570,123,144.51003698,17602,21.07217025756836,0.40724772214889526,0.00012742749857031334,7601,-2.5144033432006836,-75.33775329589844
77.7,159,580,116,159.51571285000003,18515,71.45085144042969,0.3630225360393524,0.00012742749857031334,8514,-2.593515396118164,-80.44505310058594
81.82,175,590,110,171.33531065,19406,21.879287719726562,0.32500991225242615,0.00012742749857031334,9405,-3.180119276046753,-87.1438980102539
86.12,193,600,105,183.20203039,20360,55.34523010253906,0.2886725068092346,0.00012742749857031334,10359,-3.2672266960144043,-87.36555480957031
92.19,214,610,100,198.97815765999997,21527,84.05168914794922,0.2514207661151886,0.00012742749857031334,11526,-2.998286247253418,-91.58837127685547
96.15,237,620,95,209.18326419000005,22798,23.48745346069336,0.220211461186409,0.00012742749857031334,12797,-2.8668932914733887,-105.05659484863281
100.12,261,630,92,220.97241807999998,24080,60.53635025024414,0.19457212090492249,0.00012742749857031334,14079,-1.7358813285827637,-112.19073486328125
104.17,284,640,89,232.26141085000003,25365,68.89505767822266,0.17096155881881714,0.00012742749857031334,15364,-1.7239681482315063,-121.9173583984375
