time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef
10,18.9,2309,0,16.641094700000004,189,,,,,,
20,19.95,2477,0,16.715821350000002,399,,,,,,
30,21.133333333333333,47,13,16.703083366666664,634,,,,,,
40,20.7,61,13,15.275100349999999,828,,,,,,
50,24.0,53,22,21.790026279999996,1200,,,,,,
60,23.916666666666668,64,22,21.223242900000002,1435,,,,,,
70,23.4,53,30,20.944877328571433,1638,,,,,,
80,23.4625,60,30,20.6486210375,1877,,,,,,
90,22.977777777777778,53,38,20.227698977777777,2068,,,,,,
100,22.73,58,38,20.09482381,2273,,,,,,
110,22.73,63,39,19.51017128,2462,,,,,,
120,22.48,55,47,18.930049590000007,2647,,,,,,
130,22.41,60,47,18.86789744,2875,,,,,,
140,22.35,54,56,18.85720099,3063,,,,,,
150,20.66,57,56,15.37517841,3266,,,,,,
160,20.41,61,56,14.930094550000002,3476,,,,,,
170,20.68,56,65,14.724488160000003,3706,,,,,,
180,20.95,60,65,15.078395079999998,3972,,,,,,
190,20.83,55,74,14.98194305,4151,,,,,,
200,20.83,58,75,14.420176760000004,4356,,,,,,
210,20.8,53,84,14.651094109999999,4542,,,,,,
220,20.96,56,84,15.280021680000003,4743,,,,,,
230,21.5,53,93,16.676471250000002,5025,,,,,,
240,21.87,56,93,17.00449759,5250,,,,,,
250,22.51,53,102,17.90168672,5517,,,,,,
260,22.55,55,102,18.220604330000004,5731,,,,,,
270,21.91,57,102,17.547372620000004,5897,,,,,,
280,21.78,55,111,17.434419950000002,6150,,,,,,
290,22.76,57,111,18.85332301,6427,,,,,,
300,22.87,54,121,19.454791529999998,6643,,,,,,
310,22.72,55,121,19.04367417,6814,,,,,,
320,23.28,54,130,19.455498920000004,7071,,,,,,
330,22.33,55,130,17.860501600000003,7258,,,,,,
340,22.77,53,140,19.575891189999997,7527,,,,,,
350,22.24,55,140,19.253589360000003,7741,,,,,,
360,22.23,56,140,19.0786365,7954,,,,,,
370,22.89,54,149,20.39936665,8186,,,,,,
380,22.57,56,149,19.66872622,8407,,,,,,
