rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/ent_coef,train/n_updates,train/learning_rate
18.2,2202,10,16.369864,182,0,,,,,,
22.7,2894,20,20.244793,454,0,,,,,,
24.5,88,30,22.54772386666667,735,8,,,,,,
22.85,109,40,20.222047925000002,914,8,,,,,,
23.82,108,50,23.449221379999997,1191,10,,,,,,
23.883333333333333,129,60,23.27538215,1433,11,,,,,,
24.34285714285714,125,70,22.740865571428575,1704,13,,,,,,
23.8875,139,80,21.397894475000005,1911,13,,,,,,
22.88888888888889,128,90,20.129814733333337,2060,15,,,,,,
22.73,141,100,19.82566646,2273,16,,,,,,
22.98,153,110,19.902864120000004,2480,16,,,,,,
22.35,145,120,18.69941882,2689,18,,,,,,
22.36,159,130,18.778888459999997,2971,18,,,,,,
23.0,152,140,19.54192132,3214,21,,,,,,
22.2,161,150,17.415949320000003,3411,21,,,,,,
22.2,153,160,17.0273819,3653,23,,,,,,
21.73,162,170,16.522659469999997,3877,23,,,,,,
21.94,155,180,17.6121233,4105,26,,,,,,
22.49,162,190,18.61029317,4309,26,,,,,,
22.3,155,200,18.490901929999996,4503,28,,,,,,
22.05,161,210,18.10146995,4685,28,,,,,,
22.27,169,220,18.957826349999998,4916,29,,,,,,
21.23,161,230,17.525395910000004,5094,31,,,,,,
20.64,166,240,16.536492139999996,5278,31,,,,,,
21.24,162,250,16.954263150000003,5535,34,,,,,,
21.5,170,260,17.479581839999998,5803,34,,,,,,
21.34,165,270,17.48810885,6011,36,,,,,,
21.43,171,280,17.627506490000002,6248,36,,,,,,
21.69,177,290,17.85894313,6478,36,,,,,,
22.8,173,300,19.558118210000004,6783,39,,,,,,
22.71,178,310,19.7711975,6956,39,,,,,,
22.08,169,320,19.039358629999995,7124,42,,,,,,
22.32,173,330,19.173211679999998,7326,42,,,,,,
22.49,167,340,19.132075580000002,7527,44,,,,,,
21.84,171,350,18.911830360000003,7719,45,,,,,,
21.17,175,360,17.725064469999996,7920,45,,,,,,
21.02,167,370,17.654607870000003,8113,48,,,,,,
20.63,171,380,16.525942129999997,8311,48,,,,,,
20.04,174,390,15.431289459999999,8482,48,,,,,,
18.97,168,400,13.848912390000002,8680,51,,,,,,
19.51,172,410,14.39472091,8907,51,,,,,,
20.01,165,420,14.74379627,9125,55,,,,,,
19.93,168,430,14.471642730000001,9319,55,,,,,,
19.69,172,440,14.757215330000001,9496,55,,,,,,
19.49,166,450,14.21769293,9668,58,,,,,,
19.47,169,460,14.69437872,9867,58,,,,,,
19.93,160,470,15.11901481,10106,62,-0.1082782968878746,0.9746851921081543,-5.209105491638184,0.9786874055862427,105,0.00020691380811147902
20.24,155,480,15.958420999999998,10335,66,-0.3446989059448242,1.2954914569854736,-7.0627360343933105,0.9333928227424622,334,0.00020691380811147902
21.8,137,490,18.185843139999996,10662,77,-0.6675812005996704,1.2902746200561523,-10.174909591674805,0.8727967143058777,661,0.00020691380811147902
24.33,126,500,23.59364184,11113,87,-1.0389108657836914,2.552572250366211,-14.578132629394531,0.7974637150764465,1112,0.00020691380811147902
28.91,115,510,33.6394933,11798,101,-1.5271086692810059,4.928037643432617,-20.80704116821289,0.6990721821784973,1797,0.00020691380811147902
33.72,103,520,46.41247689,12497,120,-1.7592744827270508,3.4592156410217285,-27.13644790649414,0.615027129650116,2496,0.00020691380811147902
40.14,89,530,63.52782787,13333,148,-1.9362081289291382,9.849059104919434,-35.79785919189453,0.5321519374847412,3332,0.00020691380811147902
46.79,79,540,80.09720968000002,14175,178,-1.9902933835983276,13.899649620056152,-44.84552764892578,0.4624304175376892,4174,0.00020691380811147902
54.18,71,550,98.78945001000002,15086,210,-1.9015837907791138,18.44342803955078,-54.1144905090332,0.395608514547348,5085,0.00020691380811147902
62.33,65,560,119.59066300999999,16100,244,-2.4943482875823975,15.051959037780762,-65.9242172241211,0.3286207616329193,6099,0.00020691380811147902
71.23,60,570,142.72010775999996,17229,282,-2.4632487297058105,21.967065811157227,-75.05229949951172,0.26538029313087463,7228,0.00020691380811147902
81.78,54,580,168.00243142,18513,339,-2.196352481842041,45.13756561279297,-87.97322082519531,0.21423010528087616,8512,0.00020691380811147902
90.81,51,590,191.57866735000005,19743,381,-1.8317406177520752,37.859371185302734,-97.71849060058594,0.17770500481128693,9742,0.00020691380811147902
98.87,48,600,212.05122296000002,21000,436,-1.1912130117416382,49.68396759033203,-105.14864349365234,0.1520465910434723,10999,0.00020691380811147902
104.16,46,610,226.23433143999998,22214,475,0.32990679144859314,102.5426025390625,-114.24113464355469,0.13752351701259613,12213,0.00020691380811147902
110.5,44,620,238.75202537,23547,531,-0.3012892007827759,94.83110046386719,-122.05150604248047,0.13472501933574677,13546,0.00020691380811147902
114.74,43,630,245.35057422000003,24807,572,-1.1246287822723389,45.19728088378906,-129.05609130859375,0.1294860541820526,14806,0.00020691380811147902
120.27,41,640,255.34125597000002,26202,628,-0.7312521934509277,113.31242370605469,-136.0638427734375,0.1236269399523735,16201,0.00020691380811147902
124.79,40,650,264.36210388,27565,682,-0.19417667388916016,90.52462005615234,-139.78884887695312,0.1248052716255188,17564,0.00020691380811147902
129.57,38,660,270.27608688,29057,745,-0.34575706720352173,18.358434677124023,-140.07762145996094,0.12102299183607101,19056,0.00020691380811147902
134.66,37,670,277.02789731999997,30695,824,0.14010122418403625,57.829063415527344,-151.91976928710938,0.11212805658578873,20694,0.00020691380811147902
139.34,36,680,284.88199238,32447,899,0.1491616815328598,55.21222686767578,-146.79547119140625,0.113603875041008,22446,0.00020691380811147902
140.53,35,690,286.8341521,33796,960,0.009931892156600952,77.70526123046875,-157.35723876953125,0.11235455423593521,23795,0.00020691380811147902
140.74,34,700,287.12374762,35074,1024,0.4589163362979889,46.918331146240234,-153.08181762695312,0.11166740208864212,25073,0.00020691380811147902
140.48,33,710,287.61292854999994,36262,1067,-0.4205719232559204,30.639848709106445,-152.86712646484375,0.1084628775715828,26261,0.00020691380811147902
137.85,33,720,285.13056776,37332,1105,-0.3291754722595215,77.37686920166016,-146.60614013671875,0.10568593442440033,27331,0.00020691380811147902
139.89,33,730,286.99012478000003,38796,1162,0.900390625,49.42628479003906,-153.4322967529297,0.10043024271726608,28795,0.00020691380811147902
136.99,33,740,284.01387568999996,39901,1196,-0.6498411893844604,33.21689987182617,-152.9241943359375,0.09708158671855927,29900,0.00020691380811147902
134.14,33,750,279.22634526999997,40979,1231,-0.0031554996967315674,20.2874755859375,-152.29705810546875,0.09455463290214539,30978,0.00020691380811147902
132.26,32,760,277.79953149,42283,1289,0.8079374432563782,30.012697219848633,-151.50408935546875,0.10389946401119232,32282,0.00020691380811147902
128.83,32,770,273.2251209,43578,1341,0.07774009555578232,59.046607971191406,-145.23480224609375,0.10528090596199036,33577,0.00020691380811147902
124.57,32,780,266.35866674000005,44904,1382,-0.9804223775863647,22.011409759521484,-145.4375,0.08682312071323395,34903,0.00020691380811147902
128.45,31,790,271.67879,46641,1480,0.6324984431266785,14.676987648010254,-139.74862670898438,0.0734165832400322,36640,0.00020691380811147902
127.83,31,800,271.12534148,47857,1518,0.25607389211654663,50.57794189453125,-137.0497283935547,0.07132633775472641,37856,0.00020691380811147902
128.36,31,810,270.69411728,49098,1573,0.7344318628311157,9.280292510986328,-134.532958984375,0.06984303146600723,39097,0.00020691380811147902
