rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates
13.421712099999999,0,218,21.8,2711,10,,,,,,
17.803173649999998,0,460,23.0,3017,20,,,,,,
17.650240933333336,7,707,23.566666666666666,90,30,,,,,,
17.01257365,7,918,22.95,116,40,,,,,,
16.26583244,9,1098,21.96,111,50,,,,,,
16.560974916666666,9,1320,22.0,133,60,,,,,,
15.958788514285715,11,1505,21.5,128,70,,,,,,
17.8151318,11,1798,22.475,151,80,,,,,,
17.039944088888888,13,2015,22.38888888888889,147,90,,,,,,
17.205647499999998,13,2244,22.44,162,100,,,,,,
19.058924939999997,15,2577,23.59,164,110,,,,,,
18.734507629999996,15,2789,23.29,177,120,,,,,,
20.569743089999996,18,3070,23.63,169,130,,,,,,
20.76411986,18,3312,23.94,181,140,,,,,,
21.252224229999996,20,3538,24.4,175,150,,,,,,
20.55518653,20,3745,24.25,185,160,,,,,,
20.668019249999997,20,3922,24.17,193,170,,,,,,
18.88832893,22,4115,23.17,186,180,,,,,,
19.425653009999998,22,4325,23.1,195,190,,,,,,
18.702938269999997,24,4512,22.68,186,200,,,,,,
16.977629649999997,24,4715,21.38,194,210,,,,,,
17.13029077,24,4956,21.67,203,220,,,,,,
15.31905655,26,5178,21.08,197,230,,,,,,
14.923835009999998,26,5365,20.53,204,240,,,,,,
15.192386559999997,28,5595,20.57,199,250,,,,,,
15.691288330000003,28,5809,20.64,206,260,,,,,,
15.710108810000001,28,5997,20.75,212,270,,,,,,
15.58025432,29,6167,20.52,206,280,,,,,,
15.68742845,30,6382,20.57,212,290,,,,,,
15.559743329999998,32,6573,20.61,205,300,,,,,,
15.379967630000003,32,6764,20.49,210,310,,,,,,
15.149862370000001,32,6962,20.06,216,320,,,,,,
14.56058823,34,7143,19.65,208,330,,,,,,
14.640264830000001,34,7367,20.02,214,340,,,,,,
14.11382067,36,7563,19.68,209,350,,,,,,
13.94536404,36,7761,19.52,214,360,,,,,,
15.986498540000003,38,8070,20.73,211,370,,,,,,
16.17613515,38,8304,21.37,216,380,,,,,,
15.835163790000001,40,8514,21.32,212,390,,,,,,
18.18291945,40,8816,22.43,219,400,,,,,,
19.770233499999996,42,9081,23.17,215,410,,,,,,
19.37623961,42,9271,23.09,219,420,,,,,,
19.86263083,42,9459,23.16,223,430,,,,,,
21.747612189999998,44,9772,24.05,219,440,,,,,,
21.810998969999996,46,10001,24.38,214,450,,,,,,
