time/total_timesteps,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss
180,1873,10,0,18.0,11.1773415,,,,,,
388,2406,20,0,19.4,13.9657377,,,,,,
588,78,30,7,19.6,12.985922333333331,,,,,,
771,101,40,7,19.275,13.161194725000001,,,,,,
956,125,50,7,19.12,13.13769144,,,,,,
1183,129,60,9,19.716666666666665,15.168370916666667,,,,,,
1382,149,70,9,19.742857142857144,15.197402557142858,,,,,,
1568,143,80,10,19.6,15.2917441875,,,,,,
1797,163,90,10,19.966666666666665,15.879188022222221,,,,,,
2027,157,100,12,20.27,16.0751585,,,,,,
2222,171,110,12,20.42,16.22931232,,,,,,
2459,188,120,13,20.71,17.519117939999997,,,,,,
2680,181,130,14,20.92,18.01811909,,,,,,
2980,200,140,14,22.09,20.619542040000002,,,,,,
3253,197,150,16,22.97,21.931332950000005,,,,,,
3408,206,160,16,22.25,20.65102903,,,,,,
3611,198,170,18,22.29,20.777170700000006,,,,,,
3817,208,180,18,22.49,20.833871509999998,,,,,,
3999,218,190,18,22.02,20.319392059999995,,,,,,
4170,207,200,20,21.43,19.82330845,,,,,,
4385,216,210,20,21.63,20.278099649999998,,,,,,
4536,207,220,21,20.77,18.34506331,,,,,,
4801,218,230,22,21.21,19.619553210000003,,,,,,
5012,212,240,23,20.32,17.29395467,,,,,,
5282,222,250,23,20.29,17.52952459,,,,,,
5498,231,260,23,20.9,17.8857017,,,,,,
5703,225,270,25,20.92,17.65337887,,,,,,
5909,232,280,25,20.92,17.656852790000002,,,,,,
6105,227,290,26,21.06,17.516102250000003,,,,,,
6268,233,300,26,20.98,17.44440543,,,,,,
6554,228,310,28,21.69,18.88069779,,,,,,
6782,235,320,28,22.46,19.555219840000003,,,,,,
7034,231,330,30,22.33,18.67427281,,,,,,
7268,238,340,30,22.56,18.447605,,,,,,
7439,243,350,30,21.57,16.702513879999998,,,,,,
7655,239,360,31,21.57,16.72246193,,,,,,
7838,244,370,32,21.35,16.54301167,,,,,,
8006,238,380,33,20.97,15.924553330000004,,,,,,
8252,244,390,33,21.47,16.485036519999998,,,,,,
8444,250,400,33,21.76,16.822041279999997,,,,,,
8743,246,410,35,21.89,16.726162700000003,,,,,,
8919,251,420,35,21.37,16.24426955,,,,,,
9135,245,430,37,21.01,16.07553875,,,,,,
9302,249,440,37,20.34,16.08165442,,,,,,
9559,246,450,38,21.2,17.67339008,,,,,,
9740,250,460,38,20.85,17.25341105,,,,,,
10053,242,470,41,22.15,18.75376593,0.0003359818286283781,-0.08675383776426315,52,0.9829868674278259,-4.733295917510986,1.1342583894729614
10219,232,480,43,22.13,18.929741720000003,0.0003359818286283781,-0.3677491545677185,218,0.9296160340309143,-6.2635040283203125,0.5197771787643433
10556,197,490,53,23.04,20.61489924,0.0003359818286283781,-0.9207475185394287,555,0.8305637836456299,-9.111671447753906,0.9922477602958679
10993,183,500,59,25.49,26.156625179999995,0.0003359818286283781,-1.499790906906128,992,0.7202751040458679,-12.547748565673828,1.876157283782959
11393,166,510,68,26.5,29.86286599,0.0003359818286283781,-1.9646662473678589,1392,0.635689914226532,-16.1271915435791,1.263994812965393
11749,152,520,77,28.3,35.06548677,0.0003359818286283781,-2.0903725624084473,1748,0.5716288089752197,-19.087562561035156,2.5487682819366455
12532,115,530,108,33.97,49.2916405,0.0003359818286283781,-1.9695028066635132,2531,0.463095486164093,-27.214439392089844,9.160029411315918
13464,101,540,132,41.62,67.08732928,0.0003359818286283781,-2.3007900714874268,3463,0.36680135130882263,-39.233985900878906,6.454834938049316
14448,88,550,164,48.89,85.35330411,0.0003359818286283781,-2.0674679279327393,4447,0.2828961908817291,-49.935508728027344,14.531267166137695
15517,74,560,208,57.77,107.56684546999999,0.0003359818286283781,-2.3429572582244873,5516,0.21627353131771088,-62.75078582763672,21.68474769592285
16688,66,570,249,66.35,131.30956309,0.0003359818286283781,-1.5512887239456177,6687,0.16385787725448608,-73.01313781738281,27.77047348022461
18005,58,580,308,77.86,161.29703312,0.0003359818286283781,-0.8480506539344788,8004,0.1267785280942917,-84.81729125976562,24.31426429748535
19737,51,590,386,91.81,196.97959951,0.0003359818286283781,0.4257086217403412,9736,0.11756328493356705,-101.34442138671875,30.979516983032227
21265,46,600,459,102.72,221.3606228,0.0003359818286283781,1.2233303785324097,11264,0.12045036256313324,-110.69107055664062,43.23002624511719
22494,44,610,504,111.01,241.64964123,0.0003359818286283781,-0.08576633036136627,12493,0.13767650723457336,-119.54181671142578,29.172561645507812
23772,42,620,563,120.23,264.997833,0.0003359818286283781,-0.2894776165485382,13771,0.13533341884613037,-126.32359313964844,39.84037780761719
25069,40,630,619,125.37,281.41530754,0.0003359818286283781,-0.18592286109924316,15068,0.12872716784477234,-138.07679748535156,37.81877517700195
26207,39,640,660,127.43,288.36653949,0.0003359818286283781,-0.71800696849823,16206,0.12173791229724884,-138.4949951171875,53.62706756591797
27386,38,650,703,129.38,296.48773235,0.0003359818286283781,-0.3438887596130371,17385,0.11527764052152634,-147.33128356933594,27.737506866455078
28570,38,660,751,130.53,301.12232152,0.0003359818286283781,0.7784843444824219,18569,0.11229369044303894,-152.45266723632812,65.8108139038086
29658,37,670,789,129.7,298.11954489,0.0003359818286283781,-0.49400991201400757,19657,0.10897951573133469,-153.29055786132812,25.199581146240234
30932,37,680,829,129.27,295.99439906,0.0003359818286283781,-0.6967573761940002,20931,0.11175625771284103,-158.89138793945312,48.17675018310547
32113,36,690,883,123.76,283.0737099,0.0003359818286283781,0.31650984287261963,22112,0.1044040396809578,-159.43011474609375,55.97932815551758
33415,36,700,926,121.5,279.32839892999993,0.0003359818286283781,0.4157671332359314,23414,0.1089034304022789,-156.565185546875,60.52882766723633
34901,35,710,984,124.07,286.67479297999995,0.0003359818286283781,-0.10819195955991745,24900,0.11515174061059952,-161.1654815673828,19.691619873046875
36332,34,720,1040,125.6,294.64815948000006,0.0003359818286283781,-0.583356499671936,26331,0.12078020721673965,-151.3167724609375,39.23100280761719
37658,34,730,1095,125.89,300.19298464,0.0003359818286283781,-0.33356809616088867,27657,0.13344915211200714,-162.80252075195312,14.678342819213867
39008,33,740,1154,128.01,312.2319681,0.0003359818286283781,-1.232503056526184,29007,0.14708812534809113,-170.14114379882812,19.949495315551758
40453,33,750,1204,130.67,323.68812359000003,0.0003359818286283781,0.16144612431526184,30452,0.1411287933588028,-172.20147705078125,23.992450714111328
41891,33,760,1263,133.21,335.61867272,0.0003359818286283781,1.0763859748840332,31890,0.1471974104642868,-179.83578491210938,31.191326141357422
43194,32,770,1321,135.36,345.33175273,0.0003359818286283781,-0.4932093620300293,33193,0.14001262187957764,-177.5067901611328,36.66716003417969
44758,32,780,1384,138.26,358.73149312999993,0.0003359818286283781,0.2165662944316864,34757,0.1351923942565918,-176.30067443847656,34.91555404663086
46647,31,790,1476,145.34,383.5915678299999,0.0003359818286283781,0.28224262595176697,36646,0.13772329688072205,-179.09439086914062,114.54588317871094
48532,31,800,1551,151.17,398.93323964999996,0.0003359818286283781,-0.23477688431739807,38531,0.1272764950990677,-183.27711486816406,18.468996047973633
