time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/actor_loss
0,10,2472,19.1,191,12.917517900000002,,,,,,
0,20,2782,20.25,405,15.284642999999999,,,,,,
8,30,72,20.6,618,15.768304166666665,,,,,,
8,40,94,20.3,812,14.788447725000001,,,,,,
12,50,83,20.48,1024,15.27130678,,,,,,
12,60,102,21.15,1269,16.189697466666665,,,,,,
15,70,95,21.5,1505,17.199434685714284,,,,,,
15,80,111,22.0125,1761,18.143369725,,,,,,
15,90,122,21.533333333333335,1938,17.44336141111111,,,,,,
19,100,110,21.44,2144,17.432294619999997,,,,,,
19,110,121,21.73,2364,17.359242699999996,,,,,,
23,120,111,21.65,2570,17.36620575,,,,,,
23,130,122,22.17,2835,18.89342921,,,,,,
26,140,114,22.45,3057,19.41923997,,,,,,
26,150,121,22.24,3248,19.36504854,,,,,,
26,160,129,21.99,3468,19.06912085,,,,,,
30,170,120,21.6,3665,18.0437678,,,,,,
30,180,129,21.77,3938,17.819047140000002,,,,,,
33,190,123,22.72,4210,19.13784317,,,,,,
34,200,128,22.34,4378,18.44120668,,,,,,
37,210,122,22.36,4600,19.563197260000003,,,,,,
37,220,127,22.39,4809,18.74088584,,,,,,
37,230,132,21.57,4992,16.85599272,,,,,,
41,240,125,21.3,5187,16.44662719,,,,,,
41,250,130,21.54,5402,16.48197709,,,,,,
44,260,125,21.64,5632,16.38701127,,,,,,
44,270,129,21.67,5832,16.983471019999996,,,,,,
49,280,123,20.92,6030,15.917657249999996,,,,,,
49,290,126,19.8,6190,14.529705109999998,,,,,,
49,300,130,20.2,6398,14.837060919999997,,,,,,
52,310,125,19.85,6585,13.559993030000001,,,,,,
52,320,127,19.37,6746,13.66046253,,,,,,
56,330,123,20.14,7006,14.902749700000001,,,,,,
56,340,126,20.15,7202,15.21301907,,,,,,
56,350,130,19.96,7398,14.88393236,,,,,,
60,360,124,19.46,7578,14.616841619999997,,,,,,
60,370,127,19.25,7757,13.886614380000001,,,,,,
60,380,130,18.96,7926,13.85585606,,,,,,
65,390,126,20.47,8237,15.14278067,,,,,,
65,400,129,20.38,8436,15.41508452,,,,,,
68,410,125,20.38,8623,15.71034851,,,,,,
68,420,127,20.5,8796,15.790088759999998,,,,,,
73,430,123,20.68,9074,15.55368712,,,,,,
73,440,126,20.59,9261,15.40956961,,,,,,
77,450,123,21.6,9558,16.71999673,,,,,,
77,460,125,21.84,9762,16.596242239999995,,,,,,
82,470,121,22.56,10013,17.24248519,12,2.5976948738098145,-0.023676075041294098,0.00042813323987193956,0.9953014254570007,-3.5018014907836914
85,480,118,22.85,10211,17.689372589999998,210,0.5585155487060547,-0.44916224479675293,0.00042813323987193956,0.9143751859664917,-5.96625280380249
95,490,110,23.39,10576,19.53157564,575,0.9847651720046997,-1.1793593168258667,0.00042813323987193956,0.782913863658905,-8.674786567687988
101,500,107,25.35,10971,23.779181940000004,970,1.3396317958831787,-1.8729690313339233,0.00042813323987193956,0.6647651791572571,-11.793122291564941
110,510,102,27.65,11388,29.496942660000006,1387,0.8959236145019531,-2.5723443031311035,0.00042813323987193956,0.5629048943519592,-15.309371948242188
137,520,88,34.16,12212,46.56297660999999,2211,4.53951358795166,-2.7249059677124023,0.00042813323987193956,0.4162999987602234,-23.035358428955078
162,530,80,39.49,13023,61.893799720000004,3022,6.411142826080322,-2.8793282508850098,0.00042813323987193956,0.3186129331588745,-32.815914154052734
182,540,75,45.98,13859,78.94776451,3858,8.44549560546875,-3.0691351890563965,0.00042813323987193956,0.24350886046886444,-42.12262725830078
210,550,70,51.83,14741,95.08418621999999,4740,17.701004028320312,-3.6225242614746094,0.00042813323987193956,0.18831361830234528,-50.68339157104492
238,560,65,58.6,15622,113.24921792000004,5621,17.483760833740234,-2.596034049987793,0.00042813323987193956,0.1473044604063034,-60.11838150024414
270,570,61,65.41,16554,132.47431036999998,6553,15.324922561645508,-1.2992699146270752,0.00042813323987193956,0.11618592590093613,-68.14491271972656
305,580,57,73.85,17596,155.98602483,7595,9.032270431518555,-0.41578438878059387,0.00042813323987193956,0.10088063776493073,-77.11857604980469
343,590,54,81.6,18736,178.40076759000004,8735,14.145430564880371,0.19613388180732727,0.00042813323987193956,0.0987890213727951,-85.9294204711914
395,600,50,90.72,20043,204.31093256999998,10042,24.64205551147461,1.1858700513839722,0.00042813323987193956,0.09625037014484406,-97.82136535644531
438,610,48,98.61,21249,222.81455967000002,11248,32.78118896484375,-0.09164932370185852,0.00042813323987193956,0.08605743199586868,-102.45931243896484
498,620,45,104.69,22681,239.14049047999998,12680,27.703876495361328,-0.3952580690383911,0.00042813323987193956,0.09088890999555588,-108.99061584472656
557,630,43,110.65,24088,257.41762786000004,14087,19.425029754638672,0.0011197924613952637,0.00042813323987193956,0.10437927395105362,-115.72615051269531
600,640,42,114.41,25300,267.50763215,15299,51.17182540893555,-0.06605376303195953,0.00042813323987193956,0.10098172724246979,-122.81838989257812
697,650,38,123.08,27049,296.40505238,17048,17.389720916748047,-0.03719048202037811,0.00042813323987193956,0.10138858109712601,-131.3298797607422
761,660,37,130.36,28658,316.78589643,18657,31.068878173828125,-0.02638942003250122,0.00042813323987193956,0.1058841198682785,-140.33348083496094
824,670,36,136.88,30242,334.26873286999995,20241,24.312068939208984,-0.2409929484128952,0.00042813323987193956,0.08931565284729004,-138.9337615966797
879,680,36,140.81,31677,344.69316331000005,21676,20.33759307861328,0.4519036114215851,0.00042813323987193956,0.09916337579488754,-140.78897094726562
921,690,35,142.54,32990,353.61632742999996,22989,27.449954986572266,0.18878014385700226,0.00042813323987193956,0.09896625578403473,-138.3051300048828
977,700,35,142.01,34244,355.74823834999995,24243,14.915532112121582,0.508743166923523,0.00042813323987193956,0.10275333374738693,-144.75869750976562
1041,710,34,144.25,35674,371.3329463799999,25673,36.41773986816406,-0.657033383846283,0.00042813323987193956,0.1005810797214508,-148.641357421875
1111,720,33,146.86,37367,387.76050875999994,27366,45.51298141479492,0.31303951144218445,0.00042813323987193956,0.10071837157011032,-144.2681884765625
1194,730,32,151.11,39199,408.06579087,29198,20.643207550048828,0.12256249785423279,0.00042813323987193956,0.10306345671415329,-150.05465698242188
1257,740,32,155.5,40850,430.24426478000004,30849,15.65536880493164,0.30608415603637695,0.00042813323987193956,0.11253973096609116,-154.79891967773438
1347,750,31,158.68,42917,448.22838336000007,32916,20.05776023864746,0.04780237376689911,0.00042813323987193956,0.12305735796689987,-156.93646240234375
1487,760,30,170.56,45714,488.38563590000007,35713,16.48403549194336,0.13493099808692932,0.00042813323987193956,0.12707197666168213,-166.33441162109375
1550,770,30,171.31,47373,497.81280164000003,37372,28.17769432067871,0.37850502133369446,0.00042813323987193956,0.11996867507696152,-170.6785125732422
1669,780,29,178.48,49525,530.8804397499999,39524,22.835538864135742,0.1795729547739029,0.00042813323987193956,0.11123765259981155,-179.71640014648438
