time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss
0,16.6279404,18.5,185,2480,10,,,,,,
0,16.443145250000004,19.65,393,2872,20,,,,,,
7,19.939518899999996,21.466666666666665,644,88,30,,,,,,
7,21.7719873,22.925,917,124,40,,,,,,
9,20.02720086,21.74,1087,109,50,,,,,,
9,20.078563500000005,22.15,1329,133,60,,,,,,
12,19.68362612857143,22.785714285714285,1595,126,70,,,,,,
12,19.230775375,22.4875,1799,142,80,,,,,,
15,19.68928547777778,23.1,2079,136,90,,,,,,
15,19.03551689,22.8,2280,149,100,,,,,,
15,19.147989729999995,23.13,2498,162,110,,,,,,
17,20.70267056,23.64,2757,154,120,,,,,,
17,19.64846066,23.28,2972,166,130,,,,,,
20,18.838898369999995,22.74,3191,155,140,,,,,,
20,20.963747630000004,24.11,3498,169,150,,,,,,
23,21.02582269,24.4,3769,163,160,,,,,,
25,21.474656580000005,24.35,4030,157,170,,,,,,
25,21.691274879999995,24.74,4273,166,180,,,,,,
25,20.82352936,23.92,4471,173,190,,,,,,
28,21.142011059999994,24.03,4683,164,200,,,,,,
28,20.682631010000005,23.92,4890,170,210,,,,,,
31,19.47613955,23.33,5090,163,220,,,,,,
31,20.08908593,23.87,5359,171,230,,,,,,
33,20.18584033,24.0,5591,165,240,,,,,,
33,17.902834369999997,22.89,5787,171,250,,,,,,
36,17.86596898,22.4,6009,164,260,,,,,,
36,18.37998227,22.73,6303,172,270,,,,,,
39,19.12173177,23.04,6577,168,280,,,,,,
39,19.701025290000004,23.42,6813,173,290,,,,,,
41,19.63353189,23.39,7022,167,300,,,,,,
42,19.38170742,23.07,7197,171,310,,,,,,
42,18.73959558,22.78,7368,175,320,,,,,,
44,18.840676870000003,22.62,7621,170,330,,,,,,
44,17.98135191,22.12,7803,174,340,,,,,,
47,19.17379815,22.76,8063,171,350,,,,,,
47,18.83757441,22.76,8285,175,360,,,,,,
47,17.50405346,21.65,8468,179,370,,,,,,
49,16.303301310000002,20.75,8652,173,380,,,,,,
49,15.43630879,20.0,8813,176,390,,,,,,
52,15.579463790000002,19.98,9020,172,400,,,,,,
52,16.49555659,20.79,9276,176,410,,,,,,
54,17.36727649,21.59,9527,173,420,,,,,,
55,16.484470820000002,21.15,9736,176,430,,,,,,
55,16.73274141,21.24,9927,180,440,,,,,,
59,16.04143793,20.72,10135,170,450,-5.634706974029541,0.000545559478116852,-0.3649348020553589,0.9299841523170471,134,0.3208359181880951
63,16.535526930000003,21.43,10428,163,460,-7.570296287536621,0.000545559478116852,-1.164872646331787,0.792961835861206,427,0.593392014503479
74,22.92552048,24.66,10934,146,470,-11.7183837890625,0.000545559478116852,-2.273508310317993,0.6063673496246338,933,0.6025539040565491
83,29.02407185,26.89,11341,136,480,-14.178305625915527,0.000545559478116852,-2.8819515705108643,0.4947304427623749,1340,2.1996545791625977
