time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss
0,19.477891300000003,22.9,229,2075,10,,,,,,
0,16.915877950000002,21.3,426,2363,20,,,,,,
0,15.622651900000001,20.266666666666666,608,2402,30,,,,,,
0,15.016475600000001,19.6,784,2487,40,,,,,,
0,15.900254359999998,20.26,1013,2539,50,,,,,,
0,15.696172583333334,20.033333333333335,1202,2586,60,,,,,,
0,15.97247037142857,20.285714285714285,1420,2589,70,,,,,,
0,16.051732262500003,20.2625,1621,2589,80,,,,,,
0,16.367010011111113,20.755555555555556,1868,2661,90,,,,,,
0,17.45570394,21.59,2159,2623,100,,,,,,
0,17.46784559,21.55,2384,2663,110,,,,,,
0,17.85639908,21.84,2610,2646,120,,,,,,
1,17.89128029,21.6,2768,2668,130,,,,,,
1,17.87967167,21.72,2956,2688,140,,,,,,
1,18.43038933,21.77,3190,2719,150,,,,,,
1,18.93916462,22.15,3417,2745,160,,,,,,
1,18.3077591,21.67,3587,2747,170,,,,,,
1,18.499748,21.96,3817,2776,180,,,,,,
1,18.431961449999996,21.88,4056,2796,190,,,,,,
1,18.216649080000003,21.64,4323,2697,200,,,,,,
1,18.10764242,21.35,4519,2717,210,,,,,,
1,17.70940066,20.97,4707,2706,220,,,,,,
1,17.768493210000003,21.38,4906,2687,230,,,,,,
1,18.00100668,21.9,5146,2653,240,,,,,,
2,16.6257684,21.24,5314,2629,250,,,,,,
2,16.06056293,20.69,5486,2627,260,,,,,,
2,17.485340410000003,21.63,5750,2616,270,,,,,,
2,17.255418770000002,21.22,5939,2593,280,,,,,,
2,16.53979653,20.52,6108,2605,290,,,,,,
2,15.28560731,19.76,6299,2610,300,,,,,,
2,15.059758669999999,19.86,6505,2628,310,,,,,,
2,16.19872248,20.49,6756,2646,320,,,,,,
2,15.933618499999998,20.41,6947,2659,330,,,,,,
2,16.276955230000002,20.28,7174,2669,340,,,,,,
2,16.84102527,20.86,7400,2674,350,,,,,,
2,16.54864284,20.94,7580,2679,360,,,,,,
2,16.317960460000002,20.92,7842,2683,370,,,,,,
2,17.04111686,21.48,8087,2701,380,,,,,,
3,18.834782519999997,22.56,8364,2721,390,,,,,,
3,19.324237849999996,22.87,8586,2718,400,,,,,,
3,19.60096662,23.38,8843,2727,410,,,,,,
3,19.056419230000003,23.7,9126,2725,420,,,,,,
3,19.212636810000003,23.43,9290,2731,430,,,,,,
3,18.869006339999995,23.1,9484,2741,440,,,,,,
3,18.91305136,23.08,9708,2753,450,,,,,,
3,19.751655980000002,23.61,9941,2757,460,,,,,,
6,19.248353499999997,23.24,10166,1564,470,-5.69558048248291,0.000545559478116852,-0.452778160572052,0.9143343567848206,165,0.4139799475669861
14,23.29019259,25.83,10670,720,480,-9.153239250183105,0.000545559478116852,-1.797632098197937,0.696008563041687,669,0.9761064052581787
26,29.148393210000005,29.29,11293,433,490,-13.720366477966309,0.000545559478116852,-2.984304904937744,0.5044509768486023,1292,1.9624736309051514
37,39.95013948,33.87,11973,322,500,-18.298709869384766,0.000545559478116852,-2.917478322982788,0.36527055501937866,1972,7.667170524597168
53,58.27349369,41.15,12958,242,510,-28.782346725463867,0.000545559478116852,-3.298356056213379,0.2409297525882721,2957,4.180398941040039
74,81.24058224,49.88,14114,190,520,-38.275733947753906,0.000545559478116852,-2.213656425476074,0.15651388466358185,4113,13.521326065063477
95,107.14145921999997,60.6,15350,161,530,-50.9241828918457,0.000545559478116852,-1.318587303161621,0.11594697833061218,5349,11.92915153503418
116,134.10022848999998,71.66,16650,142,540,-63.4278678894043,0.000545559478116852,-0.4271572232246399,0.09670376032590866,6649,24.504718780517578
138,161.59052519,82.59,17967,129,550,-77.28386688232422,0.000545559478116852,0.4431781768798828,0.08927366882562637,7966,14.538532257080078
161,189.80019334999997,94.37,19378,119,560,-86.87142944335938,0.000545559478116852,0.28004932403564453,0.09358605742454529,9377,16.749603271484375
183,217.11744621000003,106.0,20766,113,570,-96.72198486328125,0.000545559478116852,-1.1672945022583008,0.10376673936843872,10765,8.479011535644531
204,236.33032228,113.8,22050,107,580,-104.05789947509766,0.000545559478116852,0.20288190245628357,0.10301189124584198,12049,13.281274795532227
231,261.32691313000004,125.15,23808,102,590,-111.84001922607422,0.000545559478116852,-0.8653766512870789,0.10456733405590057,13807,27.141454696655273
254,281.56808964000004,133.28,25301,99,600,-116.16853332519531,0.000545559478116852,0.23258936405181885,0.09087729454040527,15300,11.891605377197266
275,292.50236989,137.17,26675,96,610,-119.76652526855469,0.000545559478116852,-0.8443187475204468,0.08680231869220734,16674,6.173074722290039
299,299.58165589,139.18,28032,93,620,-122.09364318847656,0.000545559478116852,-0.22683078050613403,0.08204257488250732,18031,50.71337890625
322,305.17193512000006,140.31,29381,91,630,-122.00642395019531,0.000545559478116852,0.6473037004470825,0.0809464231133461,19380,9.17194652557373
346,309.06274315,140.56,30706,88,640,-130.0018310546875,0.000545559478116852,-0.4890452027320862,0.0803518295288086,20705,29.198945999145508
369,312.22736908,140.89,32056,86,650,-132.428955078125,0.000545559478116852,-0.8012524843215942,0.07884444296360016,22055,8.128063201904297
394,312.96082921,141.52,33530,84,660,-135.40859985351562,0.000545559478116852,0.088546521961689,0.07359309494495392,23529,8.116720199584961
415,311.40250612,139.69,34735,83,670,-134.81396484375,0.000545559478116852,-0.14945974946022034,0.06684582680463791,24734,11.394868850708008
438,316.29340242,139.46,35996,82,680,-136.57876586914062,0.000545559478116852,-0.651351273059845,0.07008334249258041,25995,17.75737953186035
461,311.02629603,133.94,37202,80,690,-139.96664428710938,0.000545559478116852,1.0351581573486328,0.062490228563547134,27201,14.961450576782227
486,308.91794577999997,132.57,38558,79,700,-134.71209716796875,0.000545559478116852,1.7015125751495361,0.064117930829525,28557,12.557024002075195
510,308.75712354999996,132.02,39877,78,710,-141.0023193359375,0.000545559478116852,-0.7338437438011169,0.07267793267965317,29876,7.296298027038574
534,308.74419014,132.16,41248,77,720,-137.4346923828125,0.000545559478116852,0.7454973459243774,0.06554001569747925,31247,11.735774993896484
552,296.88737326999996,128.72,42253,76,730,-134.6398468017578,0.000545559478116852,-0.035723790526390076,0.060879144817590714,32252,8.427690505981445
562,269.8598046,120.8,42786,76,740,-132.8806610107422,0.000545559478116852,0.4172421991825104,0.06550385802984238,32785,33.865596771240234
568,238.80804805,111.29,43185,75,750,-135.88912963867188,0.000545559478116852,-0.47726792097091675,0.06313164532184601,33184,24.587661743164062
575,209.01048825000007,100.68,43598,75,760,-135.8905029296875,0.000545559478116852,-0.2625313997268677,0.059021737426519394,33597,19.206207275390625
584,184.02374107,93.87,44122,75,770,-138.04400634765625,0.000545559478116852,1.7422525882720947,0.06098829209804535,34121,10.464621543884277
598,166.85735605,89.66,44962,75,780,-139.0767364501953,0.000545559478116852,0.010286450386047363,0.062371909618377686,34961,41.722312927246094
619,172.68490253000004,91.86,46388,74,790,-136.4607391357422,0.000545559478116852,0.23421546816825867,0.061533182859420776,36387,38.313194274902344
641,175.84514256,92.39,47797,74,800,-133.77337646484375,0.000545559478116852,-0.9813787937164307,0.06921540945768356,37796,13.433789253234863
663,179.79189726000004,93.63,49240,74,810,-135.63818359375,0.000545559478116852,-1.5140373706817627,0.05968208238482475,39239,5.1613311767578125
