time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss
260,0,10,26.0,21.046558,2681,,,,,,
494,0,20,24.7,19.6563674,2976,,,,,,
747,14,30,24.9,21.268857433333334,49,,,,,,
966,15,40,24.15,19.853084125000002,64,,,,,,
1158,25,50,23.16,19.12851806,46,,,,,,
1335,25,60,22.25,17.850699350000003,53,,,,,,
1561,35,70,22.3,17.280479071428573,44,,,,,,
1769,35,80,22.1125,16.334491425,50,,,,,,
2022,45,90,22.466666666666665,16.767156522222223,44,,,,,,
2238,45,100,22.38,16.322775359999998,48,,,,,,
2416,45,110,21.56,15.353088569999997,52,,,,,,
2687,56,120,21.93,16.28611789,47,,,,,,
2905,56,130,21.58,15.679333089999998,51,,,,,,
3108,67,140,21.42,15.337472159999997,45,,,,,,
3349,67,150,21.91,15.432068379999999,49,,,,,,
3617,79,160,22.82,17.049950940000002,45,,,,,,
3841,79,170,22.8,17.483576230000004,48,,,,,,
4024,92,180,22.55,17.953001529999998,43,,,,,,
4187,93,190,21.65,17.13766177,45,,,,,,
4417,93,200,21.79,17.785406439999996,47,,,,,,
4629,105,210,22.13,18.45258992,43,,,,,,
4910,105,220,22.23,19.03706155,46,,,,,,
5170,118,230,22.65,20.412529729999996,43,,,,,,
5478,118,240,23.7,22.808356429999993,46,,,,,,
5669,131,250,23.2,22.374988179999995,43,,,,,,
5911,131,260,22.94,21.64209039,44,,,,,,
6106,144,270,22.65,21.9258968,42,,,,,,
6317,145,280,22.93,22.11713286,43,,,,,,
6494,145,290,23.07,22.304598320000004,44,,,,,,
6730,158,300,23.13,22.190350440000003,42,,,,,,
6952,159,310,23.23,22.383676660000003,43,,,,,,
7176,172,320,22.66,21.196287580000003,41,,,,,,
7368,172,330,21.98,19.67582162,42,,,,,,
7586,185,340,21.08,17.636926510000002,40,,,,,,
7825,185,350,21.56,17.71058021,42,,,,,,
8002,197,360,20.91,17.075988889999998,40,,,,,,
8249,197,370,21.43,17.306151059999998,41,,,,,,
8512,209,380,21.95,18.15297969,40,,,,,,
8709,209,390,22.15,17.865089500000003,41,,,,,,
8948,209,400,22.18,18.75696676,42,,,,,,
9188,222,410,22.36,18.6334367,41,,,,,,
9449,222,420,22.73,18.48405191,42,,,,,,
9683,235,430,23.15,18.614292190000004,41,,,,,,
9896,235,440,23.1,18.95454694,42,,,,,,
10158,250,450,23.33,20.154024419999995,40,0.0006951927961775605,157,-0.5429417490959167,-5.646580219268799,0.8970885276794434,0.45006853342056274
10674,265,460,26.72,25.490552739999995,40,0.0006951927961775605,673,-2.202094793319702,-9.026128768920898,0.6292605400085449,0.7737594842910767
11129,275,470,28.8,29.845121669999997,40,0.0006951927961775605,1128,-3.4457573890686035,-12.479804992675781,0.4672974646091461,3.2777533531188965
11734,293,480,32.22,39.777247179999996,40,0.0006951927961775605,1733,-3.9128177165985107,-17.602197647094727,0.32658830285072327,0.8887090682983398
12633,326,490,39.24,59.560241799999986,38,0.0006951927961775605,2632,-3.4884300231933594,-27.277517318725586,0.20383715629577637,4.038383483886719
13649,362,500,47.01,81.44533106,37,0.0006951927961775605,3648,-1.9299167394638062,-37.19519805908203,0.13243773579597473,5.029170513153076
14713,401,510,55.25,105.47763643999998,36,0.0006951927961775605,4712,-1.7720272541046143,-52.27892303466797,0.1071954295039177,3.8754537105560303
15925,439,520,64.76,136.91403779,36,0.0006951927961775605,5924,-1.1028048992156982,-64.05970764160156,0.09608538448810577,6.016561508178711
17286,500,530,76.03,172.31035318000002,34,0.0006951927961775605,7285,0.3264082074165344,-78.50389099121094,0.10829252004623413,11.961963653564453
18506,554,540,86.1,202.18716885999999,33,0.0006951927961775605,8505,0.031049609184265137,-93.86434936523438,0.1151491031050682,12.898941993713379
19714,595,550,95.56,230.26613818,33,0.0006951927961775605,9713,-0.5692771673202515,-105.1038589477539,0.10908656567335129,25.015380859375
20865,636,560,101.91,251.85111222,32,0.0006951927961775605,10864,-0.7950085997581482,-115.263427734375,0.1254083663225174,41.201629638671875
22047,686,570,109.18,273.79091086000005,32,0.0006951927961775605,12046,-0.2640134394168854,-124.32838439941406,0.14208897948265076,21.100025177001953
23349,731,580,116.15,291.69160695000005,31,0.0006951927961775605,13348,0.20115908980369568,-128.74977111816406,0.11883704364299774,23.207849502563477
