time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss
179,0,10,17.9,14.2725033,2086,,,,,,
427,0,20,21.35,16.99173165,2195,,,,,,
652,0,30,21.733333333333334,17.956436900000003,2287,,,,,,
892,0,40,22.3,18.963594675000003,2348,,,,,,
1218,0,50,24.36,23.054469819999998,2388,,,,,,
1436,0,60,23.933333333333334,22.2837404,2343,,,,,,
1650,0,70,23.571428571428573,21.595094842857147,2376,,,,,,
1838,0,80,22.975,20.548415725,2348,,,,,,
2035,0,90,22.61111111111111,19.776438255555554,2406,,,,,,
2214,0,100,22.14,19.14539245,2412,,,,,,
2362,0,110,21.83,18.73048497,2415,,,,,,
2593,1,120,21.66,18.73080422,2438,,,,,,
2852,1,130,22.0,19.040220339999998,2354,,,,,,
3195,1,140,23.03,20.56424134,2377,,,,,,
3427,1,150,22.09,18.52955197,2397,,,,,,
3613,1,160,21.77,18.206794610000003,2429,,,,,,
3815,1,170,21.65,18.23351222,2358,,,,,,
4030,1,180,21.92,18.706207520000003,2316,,,,,,
4274,1,190,22.39,19.5610059,2339,,,,,,
4495,1,200,22.81,19.869094690000004,2358,,,,,,
4669,1,210,23.07,20.18710736,2341,,,,,,
4846,2,220,22.53,19.705311229999996,2348,,,,,,
5102,2,230,22.5,19.22711797,2328,,,,,,
5278,2,240,20.83,16.887328689999997,2304,,,,,,
5483,2,250,20.56,16.305134149999997,2299,,,,,,
5649,2,260,20.36,16.11066198,2303,,,,,,
5832,2,270,20.17,16.03547591,2305,,,,,,
6048,2,280,20.18,15.895710580000003,2303,,,,,,
6223,2,290,19.49,14.82990089,2306,,,,,,
6402,2,300,19.07,14.714956330000001,2315,,,,,,
6654,2,310,19.85,16.42430419,2305,,,,,,
6907,2,320,20.61,17.27762122,2318,,,,,,
7117,3,330,20.15,17.072010390000003,2311,,,,,,
7348,3,340,20.7,17.49574532,2296,,,,,,
7574,3,350,20.91,17.95393755,2295,,,,,,
7801,3,360,21.52,18.54557871,2307,,,,,,
8105,3,370,22.73,19.67436179,2320,,,,,,
8314,3,380,22.66,19.497507,2319,,,,,,
8534,3,390,23.11,20.08473885,2298,,,,,,
8721,3,400,23.19,19.953882379999996,2295,,,,,,
8928,3,410,22.74,18.69971596,2299,,,,,,
9158,4,420,22.51,17.989592520000002,2281,,,,,,
9341,4,430,22.24,17.741275270000003,2288,,,,,,
9535,4,440,21.87,17.41790833,2277,,,,,,
9737,4,450,21.63,17.17280092,2273,,,,,,
10015,4,460,22.14,18.531019669999996,2075,0.0006951927961775605,14,-0.04556913301348686,-4.572460651397705,0.9909923076629639,1.8813960552215576
10255,9,470,21.5,18.261082209999998,1124,0.0006951927961775605,254,-0.8870136737823486,-6.241587162017822,0.8385719656944275,0.5408013463020325
10608,15,480,22.94,19.63189323,687,0.0006951927961775605,607,-2.0630712509155273,-8.902156829833984,0.657515287399292,0.8278018832206726
11060,23,490,25.26,24.828678640000003,473,0.0006951927961775605,1059,-3.0576629638671875,-11.538663864135742,0.48774340748786926,1.3714611530303955
11415,30,500,26.94,29.38883338,377,0.0006951927961775605,1414,-3.4494409561157227,-14.508092880249023,0.39164844155311584,1.8638944625854492
12285,45,510,33.57,46.39236682000001,267,0.0006951927961775605,2284,-4.009944438934326,-22.2903995513916,0.2435927838087082,5.548759460449219
13213,63,520,40.55,64.47922677999999,207,0.0006951927961775605,3212,-2.1464970111846924,-32.13451385498047,0.1607578843832016,6.524157524108887
14136,80,530,47.95,83.58214557,174,0.0006951927961775605,4135,-1.768627405166626,-42.34540557861328,0.11568299680948257,15.04959774017334
15029,97,540,54.94,102.43122962000001,154,0.0006951927961775605,5028,0.4814601242542267,-52.051483154296875,0.10571768879890442,11.849957466125488
15989,115,550,62.52,123.07499938999999,138,0.0006951927961775605,5988,0.7624194025993347,-62.86531066894531,0.09245096892118454,9.4222412109375
16970,133,560,69.55,142.59964661,127,0.0006951927961775605,6969,-0.1337643712759018,-66.74088287353516,0.08828122913837433,12.829414367675781
18061,152,570,78.06,165.98359521000003,118,0.0006951927961775605,8060,0.3465832471847534,-80.74150085449219,0.09902939200401306,10.287435531616211
19280,174,580,86.72,192.12020081999998,110,0.0006951927961775605,9279,0.3924959897994995,-91.12242126464844,0.10578887164592743,22.209205627441406
20517,196,590,94.57,215.31173927999995,104,0.0006951927961775605,10516,-0.38458749651908875,-101.25204467773438,0.11773272603750229,12.482977867126465
21733,217,600,103.18,239.04935828,99,0.0006951927961775605,11732,-0.23901449143886566,-107.37947082519531,0.12136097252368927,21.391796112060547
22832,236,610,105.47,245.69502107000008,96,0.0006951927961775605,12831,0.15284615755081177,-117.13406372070312,0.1342085748910904,25.294273376464844
23833,254,620,106.2,248.88850729,93,0.0006951927961775605,13832,0.17510707676410675,-120.19994354248047,0.13294388353824615,26.34086799621582
24987,275,630,108.51,254.88545298999998,90,0.0006951927961775605,14986,-0.3499685823917389,-124.9161376953125,0.11967647820711136,23.660612106323242
26115,294,640,110.86,261.97676244999997,88,0.0006951927961775605,16114,-1.3776224851608276,-132.98388671875,0.11818815767765045,16.955154418945312
27279,312,650,112.9,268.78828790999995,87,0.0006951927961775605,17278,-0.11088603734970093,-136.0600128173828,0.1142164021730423,11.817170143127441
28473,330,660,115.03,275.61705929,86,0.0006951927961775605,18472,0.5906398296356201,-137.1190185546875,0.11726531386375427,21.283119201660156
29829,348,670,117.68,281.47074919000005,85,0.0006951927961775605,19828,-0.2696284055709839,-138.18035888671875,0.12112715095281601,15.576189994812012
31100,365,680,118.2,285.5412398,84,0.0006951927961775605,21099,0.12029159069061279,-135.9503173828125,0.11571996659040451,32.21257781982422
32374,383,690,118.57,288.17624712,84,0.0006951927961775605,22373,-0.7361799478530884,-141.51177978515625,0.10350624471902847,16.268165588378906
33598,400,700,118.65,289.56876022999995,83,0.0006951927961775605,23597,0.481281578540802,-148.29623413085938,0.09556284546852112,19.89470672607422
34900,417,710,120.68,298.06534616,83,0.0006951927961775605,24899,0.3540094196796417,-141.8491973876953,0.09202739596366882,10.53399658203125
36190,431,720,123.57,309.2195658,83,0.0006951927961775605,26189,-0.03171980381011963,-138.59744262695312,0.09122162312269211,13.3424072265625
37548,445,730,125.61,316.72087546,84,0.0006951927961775605,27547,0.7842270731925964,-139.71075439453125,0.0925782173871994,27.079700469970703
38950,460,740,128.35,322.44412058,84,0.0006951927961775605,28949,0.004952102899551392,-139.09515380859375,0.0979461595416069,7.24377965927124
40607,478,750,133.28,329.15055375,84,0.0006951927961775605,30606,0.19831562042236328,-145.53521728515625,0.09205704182386398,14.803537368774414
42074,493,760,136.01,331.14830721000004,85,0.0006951927961775605,32073,-0.18420225381851196,-131.89773559570312,0.09062518179416656,14.021672248840332
42880,502,770,130.51,315.26244402,85,0.0006951927961775605,32879,-0.27285051345825195,-142.482177734375,0.08586068451404572,20.500633239746094
43126,506,780,120.26,282.92917105,85,0.0006951927961775605,33125,0.6704260110855103,-142.0421600341797,0.08376245200634003,21.567852020263672
43315,508,790,109.41,250.27589195000004,85,0.0006951927961775605,33314,0.2740356922149658,-136.1122589111328,0.08435380458831787,17.40419578552246
43551,512,800,99.53,219.42589217000005,85,0.0006951927961775605,33550,-0.18060827255249023,-135.96240234375,0.08513888716697693,21.161149978637695
43770,515,810,88.7,185.59594474000002,84,0.0006951927961775605,33769,0.23226206004619598,-139.1884765625,0.08293374627828598,12.043025970458984
43996,518,820,78.06,151.63349997,84,0.0006951927961775605,33995,0.4764878749847412,-140.91175842285156,0.07631266862154007,13.207396507263184
44218,521,830,66.7,117.79223412999998,84,0.0006951927961775605,34217,-0.015725918114185333,-137.2908172607422,0.0752873495221138,26.395374298095703
44449,525,840,54.99,84.82253700000001,84,0.0006951927961775605,34448,-0.15674802660942078,-139.11611938476562,0.07636936753988266,14.62285041809082
44684,528,850,40.77,49.33549712,84,0.0006951927961775605,34683,0.4730258285999298,-132.35397338867188,0.08297710120677948,12.74506950378418
44944,531,860,28.7,18.07056938,84,0.0006951927961775605,34943,0.4434051513671875,-127.59054565429688,0.09381753206253052,27.696311950683594
45247,535,870,23.67,2.76439257,84,0.0006951927961775605,35246,0.7029472589492798,-136.96463012695312,0.10475260764360428,26.874841690063477
46682,550,880,35.56,21.750913949999997,84,0.0006951927961775605,36681,-0.06576651334762573,-142.77163696289062,0.0945969969034195,15.661092758178711
48138,567,890,48.23,57.58730759000001,84,0.0006951927961775605,38137,0.8145557045936584,-141.21371459960938,0.10006823390722275,15.708953857421875
49540,586,900,59.89,92.95537261999998,84,0.0006951927961775605,39539,-0.6566329598426819,-147.1607666015625,0.08797533065080643,7.919179916381836
