#{"t_start": 1692381689.9262722, "env_id": "CustomHopper-target-v0"}
r,l,t
15.906579,28,0.166237
26.121954,27,0.179026
8.448292,10,0.182282
28.313146,24,0.19332
13.210151,18,0.203485
12.366059,18,0.211593
7.31788,10,0.219666
7.775738,14,0.225194
11.663331,27,0.233847
8.904843,20,0.243727
12.863462,15,0.251036
13.075354,16,0.2591
46.681114,36,0.272331
41.142116,34,0.283757
7.219976,9,0.289073
8.660697,15,0.295042
11.471894,18,0.301189
25.151196,30,0.313405
14.832474,16,0.319292
72.098347,51,0.335421
21.873018,34,0.347856
6.609846,15,0.35377
14.0703,21,0.360458
14.422374,17,0.367262
10.374117,13,0.371829
10.36565,16,0.376941
10.612978,12,0.381267
23.573036,23,0.388186
39.457714,45,0.400514
8.692891,11,0.404466
13.077883,34,0.416299
19.873997,26,0.424575
33.83202,29,0.433509
10.832483,17,0.438787
14.989122,17,0.444129
15.572666,16,0.463675
7.699251,22,0.470407
23.126101,28,0.478542
7.870672,19,0.484417
14.589149,16,0.516338
53.178261,38,0.529016
7.081797,13,0.533705
23.09235,31,0.547424
24.956303,26,0.55494
9.02478,15,0.559363
79.153048,63,0.575702
9.74032,15,0.587867
22.231744,22,0.594436
9.556549,11,0.598156
13.447424,14,0.603743
12.215265,17,0.645081
15.616042,23,0.663672
28.212152,26,0.683725
10.050262,16,0.688421
8.011267,12,0.702902
11.903231,17,0.70805
18.57491,25,0.715604
8.192402,16,0.720998
39.649947,31,0.729816
16.001954,26,0.737812
11.647677,15,0.757958
14.310591,25,0.765101
81.849824,53,0.786647
10.459624,11,0.790432
26.38527,27,0.804438
11.418616,16,0.809081
17.256357,19,0.819694
15.93489,23,0.826104
7.61134,12,0.830548
44.09968,34,0.840183
17.005558,26,0.848828
26.580735,28,0.856557
29.64749,31,0.871174
65.692554,49,0.886503
12.445381,16,0.898451
45.920895,61,0.916188
11.910795,14,0.920466
5.89059,13,0.927265
27.158632,29,0.936171
9.961824,13,0.93987
11.581567,13,0.944504
11.898251,15,0.949569
9.603583,20,0.95556
21.399933,30,0.963568
14.381556,15,0.968721
7.099294,15,0.973268
16.528952,31,0.991704
58.684424,45,1.015025
16.504115,21,1.022463
16.923555,39,1.036022
11.797656,18,1.04265
40.651057,34,1.052516
9.767379,12,1.056453
7.99036,17,1.061384
28.369668,28,1.069333
15.796939,33,1.10911
35.050021,37,1.122715
10.327041,14,1.127736
54.078777,40,1.138376
38.127196,27,1.146045
8.480988,14,1.151345
14.248271,27,1.169304
18.153474,18,1.174551
19.144559,32,1.183455
29.38909,25,1.192536
27.57127,37,1.202458
27.816554,32,1.215699
33.158964,29,1.223576
23.206981,21,1.230199
7.950309,12,1.234438
9.373243,12,1.238514
94.615049,67,1.255774
13.146167,17,1.260912
10.573495,13,1.265141
19.226213,22,1.295197
30.888634,27,1.303913
16.370294,18,1.309626
14.611899,17,1.314604
13.359802,19,1.322295
4.636168,9,1.325983
12.616298,21,1.332799
43.721828,42,1.34585
86.394956,68,1.366688
19.079633,18,1.388155
14.703396,24,1.44331
90.734567,54,1.461861
8.848661,10,1.46513
20.744926,28,1.473131
7.131918,35,1.482395
13.539688,18,1.488179
22.758772,25,1.548048
10.987427,12,1.552442
15.04732,20,1.559188
23.176125,26,1.566935
17.985761,32,1.575889
8.007323,13,1.580085
13.351235,17,1.605164
17.582247,20,1.6111
8.591691,14,1.616669
50.803866,65,1.634357
21.477523,20,1.641382
20.855552,21,1.647277
8.997029,14,1.651323
22.817798,26,1.658823
23.923825,31,1.666875
78.63658,68,1.694968
14.556432,21,1.705224
9.513558,23,1.712086
13.805163,36,1.722832
20.91993,21,1.728875
12.155703,14,1.734323
17.833257,22,1.742892
18.733721,23,1.751099
11.776979,15,1.755595
10.858834,22,1.764404
18.149446,20,1.786712
34.972378,26,1.793466
18.454014,24,1.800314
26.238889,26,1.807472
9.836969,15,1.811781
8.775174,11,1.82023
13.557027,27,1.827529
5.911275,14,1.831993
7.493006,19,1.838103
11.399076,21,1.849465
10.744794,32,1.858005
17.324639,25,1.865632
20.629654,27,1.876297
13.946593,19,1.882319
11.070866,14,1.886361
23.850898,30,1.896747
16.354125,17,1.902179
8.713421,16,1.906941
12.1315,13,1.916265
11.641182,30,1.923968
57.471033,51,1.93746
9.126687,22,1.944169
14.950268,17,1.94884
21.610033,27,1.956105
10.156667,38,1.966354
