time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,train/critic_loss
223,16.712913199999996,0,22.3,2757,10,,,,,,
459,20.54590955,0,22.95,3099,20,,,,,,
633,18.379077600000002,10,21.1,60,30,,,,,,
799,16.870548550000002,10,19.975,75,40,,,,,,
1033,17.203822680000002,15,20.66,66,50,,,,,,
1253,16.375098333333334,15,20.883333333333333,80,60,,,,,,
1499,16.45348205714286,15,21.414285714285715,95,70,,,,,,
1721,16.7700160875,20,21.5125,82,80,,,,,,
1935,16.6908702,20,21.5,92,90,,,,,,
2188,17.591810560000003,27,21.88,80,100,,,,,,
2389,17.40560138,27,21.66,87,110,,,,,,
2566,16.32039025,32,21.07,78,120,,,,,,
2838,17.6989404,32,22.05,86,130,,,,,,
3049,17.884012419999998,38,22.5,78,140,,,,,,
3254,17.89698461,38,22.21,83,150,,,,,,
3487,18.505316539999995,38,22.34,89,160,,,,,,
3673,18.346407730000006,43,21.74,83,170,,,,,,
3946,18.65229069,44,22.25,89,180,,,,,,
4155,18.60817493,49,22.2,84,190,,,,,,
4345,17.36532259,49,21.57,88,200,,,,,,
4522,17.42974966,54,21.33,83,210,,,,,,
4756,18.038233560000002,54,21.9,87,220,,,,,,
5016,18.05066104,60,21.78,83,230,,,,,,
5224,18.036359559999998,60,21.75,86,240,,,,,,
5423,17.56788607,60,21.69,89,250,,,,,,
5599,16.89123056,65,21.12,85,260,,,,,,
5827,17.38245384,65,21.54,88,270,,,,,,
6044,16.28320006,71,20.98,84,280,,,,,,
6338,17.440022470000002,71,21.83,88,290,,,,,,
6599,18.531001649999997,77,22.54,85,300,,,,,,
6794,18.47706903,77,22.72,87,310,,,,,,
7015,17.890730089999998,82,22.59,84,320,,,,,,
7234,17.08791184,82,22.18,87,330,,,,,,
7396,16.520017409999994,82,21.72,89,340,,,,,,
7612,16.72574121,88,21.89,86,350,,,,,,
7869,17.89686414,88,22.7,89,360,,,,,,
8070,17.483944819999998,95,22.43,84,370,,,,,,
8263,17.86001802,95,22.19,86,380,,,,,,
8449,16.18222296,95,21.11,88,390,,,,,,
8644,15.21295564,100,20.45,86,400,,,,,,
8916,15.851411030000001,100,21.22,88,410,,,,,,
9180,16.40784274,106,21.65,86,420,,,,,,
9437,16.17829666,106,22.03,88,430,,,,,,
9642,17.047236069999997,112,22.46,85,440,,,,,,
9831,16.733277150000003,112,22.19,87,450,,,,,,
10067,16.246062209999998,119,21.98,83,460,-5.1930131912231445,0.0011288378916846883,0.9291800856590271,-0.3696952760219574,66,0.3022302985191345
10240,15.830364429999998,124,21.7,82,470,-5.934556007385254,0.0011288378916846883,0.7643053531646729,-1.3472414016723633,239,0.4177338182926178
10688,20.28913904,136,24.25,78,480,-8.18283462524414,0.0011288378916846883,0.46563291549682617,-3.487661361694336,687,0.3753093183040619
11109,25.778278810000007,147,26.6,75,490,-10.869058609008789,0.0011288378916846883,0.30355343222618103,-4.689405918121338,1108,0.5625677108764648
11420,29.956827390000004,152,27.76,74,500,-12.697576522827148,0.0011288378916846883,0.23012354969978333,-4.145608901977539,1419,2.484375476837158
12039,40.26716344,179,31.23,67,510,-18.7319278717041,0.0011288378916846883,0.1490384042263031,-4.329869747161865,2038,3.301913261413574
13145,64.01840784,221,39.65,59,520,-29.93655776977539,0.0011288378916846883,0.08670217543840408,0.9986006021499634,3144,4.543574333190918
14559,97.21024825,280,51.22,51,530,-45.01774597167969,0.0011288378916846883,0.09177099913358688,-0.513891875743866,4558,15.481086730957031
15682,123.82639352999999,318,60.4,49,540,-58.427547454833984,0.0011288378916846883,0.09082584828138351,1.339292049407959,5681,10.382791519165039
16599,143.87569241,351,67.68,47,550,-64.90348815917969,0.0011288378916846883,0.08458245545625687,0.17233934998512268,6598,16.904478073120117
17789,170.20699101999995,397,77.22,44,560,-74.6032943725586,0.0011288378916846883,0.09179480373859406,-0.4965752065181732,7788,11.55020809173584
19164,200.24192303000004,457,89.24,41,570,-87.66067504882812,0.0011288378916846883,0.08899446576833725,0.20609036087989807,9163,12.450450897216797
20412,221.45366858,503,97.24,40,580,-97.10490417480469,0.0011288378916846883,0.09721668809652328,0.15468817949295044,10411,28.038387298583984
21987,252.57356014999996,571,108.78,38,590,-109.41691589355469,0.0011288378916846883,0.12287652492523193,0.42937129735946655,11986,17.151391983032227
