time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,train/critic_loss
196,14.002797300000001,0,19.6,2004,10,,,,,,
436,19.66123015,0,21.8,2298,20,,,,,,
643,18.442550900000004,0,21.433333333333334,2475,30,,,,,,
867,17.868496775,0,21.675,2338,40,,,,,,
1115,19.32404894,0,22.3,2436,50,,,,,,
1324,18.910497983333332,0,22.066666666666666,2238,60,,,,,,
1559,19.65148211428571,0,22.271428571428572,2247,70,,,,,,
1839,20.347727525,0,22.9875,2317,80,,,,,,
2083,20.138038133333335,0,23.144444444444446,2340,90,,,,,,
2343,20.64379526,0,23.43,2343,100,,,,,,
2590,21.334720129999997,1,23.94,2380,110,,,,,,
2811,21.070763470000003,1,23.75,2383,120,,,,,,
3129,22.64540294,1,24.86,2331,130,,,,,,
3373,22.913687170000003,1,25.06,2266,140,,,,,,
3654,22.754095310000004,1,25.39,2308,150,,,,,,
3861,22.859922889999996,1,25.37,2318,160,,,,,,
4070,21.658705239999996,1,25.11,2338,170,,,,,,
4331,20.99661884,1,24.92,2378,180,,,,,,
4602,21.960200079999996,1,25.19,2349,190,,,,,,
4798,20.847157999999993,2,24.55,2371,200,,,,,,
5087,20.809372649999997,2,24.97,2414,210,,,,,,
5295,20.401496199999997,2,24.84,2443,220,,,,,,
5558,20.057683750000002,2,24.29,2451,230,,,,,,
5766,19.75036045,2,23.93,2451,240,,,,,,
5998,19.22270099,2,23.44,2453,250,,,,,,
6215,19.24921455,2,23.54,2466,260,,,,,,
6425,19.650654550000002,2,23.55,2487,270,,,,,,
6621,19.0563365,2,22.9,2496,280,,,,,,
7018,20.10137276,2,24.16,2525,290,,,,,,
7244,20.04546421,2,24.46,2529,300,,,,,,
7411,19.24567798,2,23.24,2541,310,,,,,,
7575,18.72682243,3,22.8,2517,320,,,,,,
7786,17.49839713,3,22.28,2527,330,,,,,,
8031,17.87474972,3,22.65,2550,340,,,,,,
8330,19.04913827,3,23.32,2574,350,,,,,,
8544,18.671028449999998,3,23.29,2569,360,,,,,,
8721,18.321781440000006,3,22.96,2551,370,,,,,,
8937,18.80681288,3,23.16,2554,380,,,,,,
9144,16.45554977,3,21.26,2565,390,,,,,,
9344,16.707066570000006,3,21.0,2555,400,,,,,,
9541,17.17761439,3,21.3,2566,410,,,,,,
9784,17.17979387,3,22.09,2511,420,,,,,,
10024,18.11812711,4,22.38,2222,430,-4.2050018310546875,0.0011288378916846883,0.9754700064659119,-0.12431637197732925,23,1.0680997371673584
10197,17.353367419999998,7,21.66,1300,440,-5.620429515838623,0.0011288378916846883,0.8022730946540833,-1.09916353225708,196,0.22894351184368134
10771,21.371491550000002,18,24.41,582,450,-8.750045776367188,0.0011288378916846883,0.4245850145816803,-4.021615028381348,770,0.4800184369087219
