rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
22.1,0,10,221,2463,13.2322093,,,,,,
18.9,0,20,378,2709,11.421778049999999,,,,,,
20.033333333333335,7,30,601,82,16.406592733333333,,,,,,
20.125,7,40,805,109,15.623435975000001,,,,,,
20.32,9,50,1016,107,16.319776100000002,,,,,,
20.983333333333334,9,60,1259,132,16.61909866666667,,,,,,
20.542857142857144,9,70,1438,149,15.871488242857147,,,,,,
20.925,11,80,1674,143,16.3037802875,,,,,,
20.433333333333334,11,90,1839,157,15.631082155555555,,,,,,
20.19,13,100,2019,148,15.3666599,,,,,,
20.27,13,110,2248,164,16.36128455,,,,,,
20.72,13,120,2450,178,16.62283519,,,,,,
20.81,15,130,2682,168,16.33143658,,,,,,
20.79,16,140,2884,180,16.68943027,,,,,,
20.98,18,150,3114,171,16.82004414,,,,,,
20.66,18,160,3325,182,16.818854,,,,,,
21.55,20,170,3593,178,19.087144030000005,,,,,,
21.33,20,180,3807,188,18.927630269999998,,,,,,
22.09,22,190,4048,181,19.65165384,,,,,,
22.17,22,200,4236,189,19.89686787,,,,,,
22.12,22,210,4460,198,19.3402737,,,,,,
22.33,24,220,4683,189,19.824493390000004,,,,,,
21.62,24,230,4844,195,18.62190968,,,,,,
21.82,27,240,5066,183,18.55945949,,,,,,
22.03,27,250,5317,191,19.03567961,,,,,,
21.82,29,260,5507,183,18.69917827,,,,,,
21.47,30,270,5740,191,17.40495894,,,,,,
21.25,30,280,5932,197,17.22553445,,,,,,
21.08,32,290,6156,188,17.251338460000003,,,,,,
21.12,32,300,6348,193,17.442611010000004,,,,,,
20.85,35,310,6545,186,17.187405610000003,,,,,,
20.41,35,320,6724,190,16.83418291,,,,,,
20.87,35,330,6931,196,17.57001565,,,,,,
20.15,37,340,7081,187,16.825465610000002,,,,,,
19.95,37,350,7312,193,16.5644732,,,,,,
20.18,39,360,7525,188,16.635674140000003,,,,,,
19.39,39,370,7679,192,15.62521487,,,,,,
19.73,39,380,7905,197,15.77886826,,,,,,
19.12,41,390,8068,192,15.229893950000001,,,,,,
