rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/ent_coef_loss
10.807104200000001,2656,15.4,154,10,0,,,,,,
15.82478,2721,20.15,403,20,0,,,,,,
14.927771866666665,2763,19.1,573,30,0,,,,,,
14.197562625,2799,19.15,766,40,0,,,,,,
15.824386519999997,2893,20.64,1032,50,0,,,,,,
15.637345816666668,2960,20.533333333333335,1232,60,0,,,,,,
16.7315627,2941,21.142857142857142,1480,70,0,,,,,,
16.322412812499998,2783,20.7375,1659,80,0,,,,,,
16.208846866666665,2779,20.41111111111111,1837,90,0,,,,,,
15.887797579999999,2741,20.17,2017,100,0,,,,,,
16.002356919999997,2736,20.23,2177,110,0,,,,,,
15.434808470000002,2710,19.85,2388,120,0,,,,,,
15.40312709,2685,19.95,2568,130,0,,,,,,
16.045175229999998,2712,20.16,2782,140,1,,,,,,
15.1895132,2683,19.54,2986,150,1,,,,,,
16.47560303,2740,20.01,3233,160,1,,,,,,
16.316351170000004,2778,20.02,3482,170,1,,,,,,
16.310657860000003,2750,20.08,3667,180,1,,,,,,
16.6400517,2765,20.66,3903,190,1,,,,,,
16.999163770000003,2790,20.98,4115,200,1,,,,,,
17.26071677,2809,21.43,4320,210,1,,,,,,
18.25965069,2792,21.55,4543,220,1,,,,,,
18.497590029999998,2802,21.31,4699,230,1,,,,,,
18.302847059999998,2755,21.49,4931,240,1,,,,,,
19.368679789999998,2746,22.11,5197,250,1,,,,,,
18.219335309999998,2758,21.7,5403,260,1,,,,,,
17.728459660000002,2764,21.6,5642,270,2,,,,,,
17.920866730000004,2782,21.79,5846,280,2,,,,,,
17.536150409999998,2795,21.47,6050,290,2,,,,,,
17.719185069999998,2797,21.55,6270,300,2,,,,,,
17.68910407,2802,21.56,6476,310,2,,,,,,
17.600669,2815,21.91,6734,320,2,,,,,,
17.73741196,2819,22.19,6918,330,2,,,,,,
17.304253369999998,2821,21.58,7089,340,2,,,,,,
16.26322089,2832,20.88,7285,350,2,,,,,,
15.992551639999997,2837,20.64,7467,360,2,,,,,,
15.765840050000003,2791,20.12,7654,370,2,,,,,,
15.792219030000002,2794,20.14,7860,380,2,,,,,,
16.33765446,2740,20.53,8103,390,2,,,,,,
15.717095379999998,2729,19.88,8258,400,3,,,,,,
16.95382234,2745,20.51,8527,410,3,,,,,,
17.11248865,2718,20.58,8792,420,3,,,,,,
16.349379550000002,2719,20.26,8944,430,3,,,,,,
16.56796414,2717,20.17,9106,440,3,,,,,,
17.079023369999998,2712,20.61,9346,450,3,,,,,,
17.24314628,2706,20.65,9532,460,3,,,,,,
17.32442622,2713,20.97,9751,470,3,,,,,,
17.53001559,2717,20.79,9939,480,3,,,,,,
20.36132123,1199,21.92,10295,490,8,294,0.002335721469090121,-5.302599906921387,0.5049571990966797,0.37812769412994385,-3.4200937747955322
25.74929382,646,25.25,10783,500,16,782,0.002335721469090121,-7.033752918243408,0.17718994617462158,0.20124006271362305,-5.431303977966309
35.01652001,440,28.44,11371,510,25,1370,0.002335721469090121,-11.445722579956055,0.07397729903459549,0.45135730504989624,-4.457470893859863
50.696783030000006,313,34.21,12213,520,38,2212,0.002335721469090121,-17.59123992919922,0.04403209313750267,1.201500654220581,-0.48388057947158813
67.45717787,247,41.26,13070,530,52,3069,0.002335721469090121,-25.488584518432617,0.046136047691106796,2.1458818912506104,0.14429114758968353
89.39924740000002,200,49.49,14055,540,69,4054,0.002335721469090121,-34.86510467529297,0.059757087379693985,2.438775062561035,0.43633711338043213
110.87961258,173,56.64,15010,550,86,5009,0.002335721469090121,-43.53890609741211,0.06700052320957184,4.975470542907715,0.5376303195953369
140.50747714,151,66.39,16171,560,106,6170,0.002335721469090121,-56.725582122802734,0.08936725556850433,3.7045955657958984,-0.6180614233016968
177.67588271999998,132,79.84,17735,570,134,7734,0.002335721469090121,-73.09549713134766,0.08993314206600189,18.262588500976562,-0.9062055349349976
212.97918055999997,120,93.02,19241,580,159,9240,0.002335721469090121,-85.15869140625,0.0886884331703186,9.38576889038086,0.32145676016807556
237.91116808000004,113,100.87,20382,590,179,10381,0.002335721469090121,-94.27688598632812,0.10645046085119247,10.613933563232422,0.6039570569992065
257.16864111999996,108,106.37,21420,600,197,11419,0.002335721469090121,-99.32491302490234,0.1346374899148941,12.705266952514648,-0.33104172348976135
282.11134468999995,102,114.04,22775,610,221,12774,0.002335721469090121,-118.99282836914062,0.13998553156852722,12.718090057373047,-0.5689051151275635
