rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/actor_loss
15.1595323,1419,0,10,20.0,200,,,,,,
14.48805055,1514,0,20,20.5,410,,,,,,
15.0269754,48,12,30,20.266666666666666,608,,,,,,
15.503686949999999,62,12,40,19.875,795,,,,,,
15.72038,72,14,50,20.24,1012,,,,,,
15.906700233333336,85,14,60,20.183333333333334,1211,,,,,,
18.138034785714286,96,15,70,21.5,1505,,,,,,
17.531702025,106,15,80,20.875,1670,,,,,,
18.528781455555553,122,15,90,21.544444444444444,1939,,,,,,
18.775753429999998,128,17,100,21.94,2194,,,,,,
18.66426774,140,17,110,22.07,2407,,,,,,
18.967852739999998,144,18,120,22.16,2626,,,,,,
18.784794599999998,154,18,130,22.08,2816,,,,,,
18.869865789999995,155,19,140,22.2,3015,,,,,,
19.362022929999995,167,19,150,22.37,3249,,,,,,
20.57112186,173,20,160,23.57,3568,,,,,,
19.15203658,184,20,170,23.12,3817,,,,,,
19.74606709,185,21,180,23.63,4033,,,,,,
19.58193712,196,21,190,23.38,4277,,,,,,
19.19303635,205,21,200,22.97,4491,,,,,,
18.98939354,202,23,210,22.56,4663,,,,,,
19.05739105,210,23,220,22.38,4864,,,,,,
19.721220329999998,209,24,230,22.95,5111,,,,,,
19.498069209999997,215,24,240,22.55,5270,,,,,,
18.742765780000003,222,24,250,22.31,5480,,,,,,
17.5900545,220,25,260,21.15,5683,,,,,,
17.49462327,227,25,270,20.79,5896,,,,,,
17.47749386,226,27,280,20.82,6115,,,,,,
16.039471980000002,231,27,290,20.07,6284,,,,,,
16.440765120000002,231,28,300,20.16,6507,,,,,,
16.774825570000004,237,28,310,20.28,6691,,,,,,
15.976395100000001,242,28,320,19.88,6852,,,,,,
15.631348619999999,241,29,330,19.81,7092,,,,,,
15.680762179999999,248,29,340,20.34,7304,,,,,,
15.739168149999998,246,30,350,20.31,7511,,,,,,
15.301459999999997,253,30,360,20.36,7719,,,,,,
16.01788045,260,30,370,20.74,7970,,,,,,
16.63009684,258,31,380,20.86,8201,,,,,,
16.81826662,263,31,390,20.84,8368,,,,,,
16.23892112,262,32,400,21.23,8630,,,,,,
16.33386424,267,32,410,21.25,8816,,,,,,
16.680435040000003,265,33,420,21.55,9007,,,,,,
16.666007560000004,270,34,430,21.2,9212,,,,,,
16.973528790000003,276,34,440,21.51,9455,,,,,,
16.815147839999998,274,35,450,21.41,9652,,,,,,
18.73721648,281,35,460,21.98,9917,,,,,,
19.6320708,250,40,470,22.0,10170,-2.5367932319641113,169,0.12801235914230347,0.605922281742096,0.002976351441631319,-4.871883392333984
21.33653754,228,45,480,22.83,10484,-5.766936302185059,483,0.22806039452552795,0.24505481123924255,0.002976351441631319,-5.283877372741699
33.59381261,166,67,490,28.15,11183,-3.5059568881988525,1182,0.6573289632797241,0.07003305107355118,0.002976351441631319,-9.793438911437988
48.411081349999996,137,86,500,33.33,11963,1.1110868453979492,1962,1.3019944429397583,0.054845839738845825,0.002976351441631319,-18.04888153076172
66.41150893,111,115,510,40.56,12872,-1.3971600532531738,2871,4.657714366912842,0.060948695987463,0.002976351441631319,-25.586055755615234
