rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/actor_loss
18.0772844,2160,0,10,19.2,192,,,,,,
23.34415895,2427,0,20,23.45,469,,,,,,
24.721091033333334,2675,0,30,25.0,750,,,,,,
22.023093425000003,2778,0,40,24.1,964,,,,,,
21.224940220000004,2717,0,50,23.88,1194,,,,,,
21.147874749999996,2647,0,60,24.016666666666666,1441,,,,,,
20.235463914285717,2666,0,70,23.34285714285714,1634,,,,,,
19.7982187875,2683,0,80,22.9125,1833,,,,,,
18.991548711111108,2710,0,90,22.744444444444444,2047,,,,,,
18.98231153,2749,0,100,22.6,2260,,,,,,
18.56152594,2747,0,110,22.29,2421,,,,,,
17.43116289,2748,0,120,21.8,2649,,,,,,
16.44151654,2778,1,130,21.29,2879,,,,,,
16.835989700000003,2765,1,140,21.46,3110,,,,,,
16.787825570000003,2729,1,150,21.42,3336,,,,,,
17.56664599,2777,1,160,21.97,3638,,,,,,
17.45606596,2765,1,170,21.71,3805,,,,,,
17.12739771,2756,1,180,21.53,3986,,,,,,
18.72400648,2768,1,190,22.33,4280,,,,,,
19.670062629999997,2790,1,200,22.8,4540,,,,,,
20.13874328,2789,1,210,23.22,4743,,,,,,
19.86796473,2794,1,220,22.96,4945,,,,,,
19.626719249999997,2814,1,230,22.67,5146,,,,,,
19.416248069999998,2815,1,240,22.36,5346,,,,,,
19.24103357,2791,1,250,22.38,5574,,,,,,
18.76283077,2801,2,260,21.71,5809,,,,,,
18.853027089999998,2792,2,270,21.98,6003,,,,,,
19.042480700000002,2785,2,280,22.05,6191,,,,,,
17.87355626,2800,2,290,21.27,6407,,,,,,
16.52008381,2801,2,300,20.72,6612,,,,,,
17.61318115,2822,2,310,21.44,6887,,,,,,
17.70517389,2834,2,320,21.5,7095,,,,,,
17.731277679999998,2847,2,330,21.33,7279,,,,,,
18.00731308,2854,2,340,21.79,7525,,,,,,
17.71167941,2865,2,350,21.33,7707,,,,,,
18.336352090000002,2870,2,360,21.61,7970,,,,,,
18.799086580000004,2882,2,370,21.92,8195,,,,,,
18.779063029999996,2893,2,380,22.06,8397,,,,,,
19.345926669999997,2903,2,390,22.29,8636,,,,,,
21.852374089999998,2918,3,400,23.51,8963,,,,,,
21.105960100000008,2932,3,410,22.92,9179,,,,,,
21.042969689999996,2933,3,420,23.06,9401,,,,,,
23.338910799999997,2951,3,430,24.66,9745,,,,,,
24.386812,2882,3,440,24.77,10002,0.0,1,7.710859298706055,1.0,0.002976351441631319,-2.895742654800415
30.244882660000002,888,11,450,28.56,10563,-6.20362663269043,562,0.4437248408794403,0.19726841151714325,0.002976351441631319,-5.775075912475586
34.21062651,598,18,460,29.81,10951,-5.763452529907227,950,0.21286731958389282,0.08907689154148102,0.002976351441631319,-8.222960472106934
50.878643499999995,368,32,470,36.75,11870,-0.7511230707168579,1869,2.3095693588256836,0.048296406865119934,0.002976351441631319,-16.188589096069336
68.46132263999999,275,46,480,43.92,12789,-0.11744672060012817,2788,3.800760269165039,0.05351573973894119,0.002976351441631319,-24.46258544921875
86.47083422,221,62,490,51.55,13791,0.38455235958099365,3790,2.7357773780822754,0.06638415157794952,0.002976351441631319,-35.03950500488281
107.31127378,188,78,500,59.45,14908,-0.8353350758552551,4907,5.250886917114258,0.059265315532684326,0.002976351441631319,-43.09556579589844
132.43489216,166,96,510,69.01,16080,-0.4184245467185974,6079,3.6868231296539307,0.05582514405250549,0.002976351441631319,-54.32396697998047
156.76442932,149,114,520,78.3,17231,-0.03262469172477722,7230,7.105544567108154,0.05948023498058319,0.002976351441631319,-61.45013427734375
177.69441922000001,139,131,530,85.89,18334,0.6238942742347717,8333,5.460367202758789,0.05571242794394493,0.002976351441631319,-69.88497924804688
202.68966962000005,130,149,540,94.95,19497,1.2161906957626343,9496,9.838659286499023,0.06177147105336189,0.002976351441631319,-80.36387634277344
224.27083488,123,166,550,100.98,20661,0.8556219339370728,10660,2.4528355598449707,0.07743970304727554,0.002976351441631319,-88.97163391113281
248.34947847,118,184,560,109.65,21916,-0.7758187055587769,11915,9.421794891357422,0.08141040802001953,0.002976351441631319,-98.917724609375
260.25501344,114,202,570,112.93,23163,0.04412802308797836,13162,10.3522310256958,0.09106284379959106,0.002976351441631319,-106.60188293457031
263.00509178,111,216,580,113.27,24116,0.26802998781204224,14115,15.866086959838867,0.0940321683883667,0.002976351441631319,-113.63957214355469
264.01362062000004,108,231,590,112.66,25057,1.1702792644500732,15056,15.364026069641113,0.07436675578355789,0.002976351441631319,-116.1943359375
268.143239,104,251,600,113.78,26286,-0.03820416331291199,16285,7.459730625152588,0.06897948682308197,0.002976351441631319,-123.82034301757812
272.54980723999995,101,273,610,115.53,27633,-0.5593072175979614,17632,9.507633209228516,0.07659748941659927,0.002976351441631319,-128.5496063232422
280.01949217000004,97,297,620,117.8,29011,-0.14438889920711517,19010,7.260288238525391,0.08332425355911255,0.002976351441631319,-130.39801025390625
285.58455382000005,94,321,630,119.75,30309,2.24349308013916,20308,14.2113037109375,0.07258675992488861,0.002976351441631319,-128.85610961914062
288.06711545,92,343,640,121.17,31614,-0.30362528562545776,21613,29.4160099029541,0.07456912100315094,0.002976351441631319,-133.9647216796875
289.16774744,89,366,650,122.86,32947,-0.4771255552768707,22946,10.884456634521484,0.07030157744884491,0.002976351441631319,-133.14602661132812
286.70842977,88,387,660,122.3,34146,-0.8344589471817017,24145,7.61374568939209,0.0771004855632782,0.002976351441631319,-141.75772094726562
284.68673356000005,86,409,670,122.85,35448,-1.0904791355133057,25447,10.468029022216797,0.07389582693576813,0.002976351441631319,-140.85647583007812
292.49579534,85,432,680,126.71,36787,1.687713623046875,26786,23.645109176635742,0.054301667958498,0.002976351441631319,-144.8929443359375
295.40834247999993,84,449,690,126.9,37747,-1.278534173965454,27746,7.969071388244629,0.0545191615819931,0.002976351441631319,-142.9472198486328
300.59765166,82,471,700,127.81,39067,0.7568269371986389,29066,13.546636581420898,0.059871021658182144,0.002976351441631319,-131.02975463867188
304.3254352199999,81,496,710,128.07,40440,-0.07742029428482056,30439,10.498954772949219,0.06535054743289948,0.002976351441631319,-138.132080078125
300.66958708000004,80,517,720,126.36,41647,-1.1671154499053955,31646,14.926250457763672,0.07386741042137146,0.002976351441631319,-144.95542907714844
270.78254189,80,522,730,116.16,41925,-0.7473121881484985,31924,19.2191162109375,0.09021306782960892,0.002976351441631319,-138.72366333007812
241.17125491999997,80,528,740,106.68,42282,-0.44801047444343567,32281,16.522409439086914,0.07652238011360168,0.002976351441631319,-144.75442504882812
212.30604398,79,535,750,97.34,42681,-0.7208815813064575,32680,30.70176124572754,0.08637027442455292,0.002976351441631319,-146.96102905273438
184.86630159000003,79,542,760,89.39,43085,-0.14239153265953064,33084,20.869863510131836,0.07415325194597244,0.002976351441631319,-143.47238159179688
189.16900736999997,77,598,770,109.03,46351,-0.8230433464050293,36350,7.729252815246582,0.06881295889616013,0.002976351441631319,-147.29330444335938
