time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/actor_loss
10,0,10.407568,1918,153,15.3,,,,,,
20,0,22.327333199999998,2339,436,21.8,,,,,,
30,6,21.034737733333333,96,650,21.666666666666668,,,,,,
40,6,19.537589224999998,126,857,21.425,,,,,,
50,9,20.21296624,119,1123,22.46,,,,,,
60,9,18.919575033333327,142,1349,22.483333333333334,,,,,,
70,12,18.706178985714285,130,1576,22.514285714285716,,,,,,
80,12,18.5457198625,148,1801,22.5125,,,,,,
90,14,18.562027399999998,137,2036,22.622222222222224,,,,,,
100,14,18.64884797,152,2275,22.75,,,,,,
110,14,18.90658649,166,2492,23.39,,,,,,
120,17,16.52012425,153,2662,22.26,,,,,,
130,17,16.40793383,163,2862,22.12,,,,,,
140,20,16.758718849999998,154,3111,22.54,,,,,,
150,20,15.755513059999998,162,3296,21.73,,,,,,
160,20,15.69967302,171,3485,21.36,,,,,,
170,22,16.08258817,164,3774,21.98,,,,,,
180,22,15.542335700000002,172,3955,21.54,,,,,,
190,25,15.36010579,162,4155,21.19,,,,,,
200,25,17.08182719,174,4468,21.93,,,,,,
210,28,16.98667113,165,4644,21.52,,,,,,
220,28,17.41410137,172,4859,21.97,,,,,,
230,30,16.81690198,162,5031,21.69,,,,,,
240,30,16.743595730000003,169,5252,21.41,,,,,,
250,33,18.069771690000003,164,5526,22.3,,,,,,
260,33,18.970587849999998,171,5780,22.95,,,,,,
270,33,18.255960979999998,177,5991,22.17,,,,,,
280,36,18.36100424,170,6176,22.21,,,,,,
290,36,17.503129639999997,174,6328,21.73,,,,,,
300,39,15.040862029999998,166,6503,20.35,,,,,,
310,39,15.22421224,171,6735,20.91,,,,,,
320,39,15.669863770000001,176,6938,20.79,,,,,,
330,41,16.121454200000002,169,7138,21.07,,,,,,
340,42,15.40105596,173,7309,20.57,,,,,,
350,42,13.926992929999999,177,7496,19.7,,,,,,
360,45,13.12871414,169,7665,18.85,,,,,,
370,45,14.965222610000001,175,7944,19.53,,,,,,
380,48,14.976528329999997,168,8118,19.42,,,,,,
390,48,16.00885907,173,8323,19.95,,,,,,
400,50,16.138175680000003,166,8505,20.02,,,,,,
410,51,16.447420179999998,170,8711,19.76,,,,,,
420,51,15.70400856,174,8899,19.61,,,,,,
430,54,15.75364735,168,9104,19.66,,,,,,
440,54,16.50885727,172,9331,20.22,,,,,,
450,56,16.835642129999997,167,9526,20.3,,,,,,
460,56,17.982576620000003,171,9777,21.12,,,,,,
470,57,16.716829110000003,175,9997,20.53,,,,,,
480,64,18.18533682,160,10297,21.79,296,0.00379269019073225,0.3279326856136322,0.23413704335689545,-5.450201988220215,-4.229385852813721
490,74,25.344881179999998,144,10788,24.65,787,0.00379269019073225,0.07924026995897293,0.37448251247406006,-3.2507314682006836,-6.722630500793457
500,87,35.83333633,129,11389,28.84,1388,0.00379269019073225,0.05165553838014603,0.6247100830078125,-1.2251031398773193,-11.903359413146973
510,113,51.34125381999999,107,12214,35.03,2213,0.00379269019073225,0.04522843658924103,0.9065264463424683,0.618714451789856,-19.777313232421875
520,141,68.81521212999998,92,13047,41.48,3046,0.00379269019073225,0.052074071019887924,2.217071533203125,-0.9708104729652405,-28.98480224609375
530,162,86.70098071000002,85,13933,48.29,3932,0.00379269019073225,0.04577126353979111,3.576561450958252,-2.1403491497039795,-36.486968994140625
540,194,108.00324962999998,77,14962,56.31,4961,0.00379269019073225,0.04311526566743851,1.839975357055664,-0.26279667019844055,-43.668453216552734
550,241,134.92109154000002,66,16177,66.51,6176,0.00379269019073225,0.058009348809719086,8.709309577941895,-0.3123936355113983,-54.59844970703125
560,271,155.38428459,63,17186,74.09,7185,0.00379269019073225,0.06450526416301727,4.766941547393799,-0.4505816400051117,-61.97589111328125
570,307,178.36306574,59,18276,82.79,8275,0.00379269019073225,0.07115085422992706,5.754965782165527,0.8075697422027588,-72.21895599365234
580,344,203.52744592,56,19429,91.32,9428,0.00379269019073225,0.06464634835720062,7.590914726257324,-0.09117430448532104,-83.3684310913086
590,373,220.09876907999998,54,20421,96.33,10420,0.00379269019073225,0.07246048748493195,18.134294509887695,0.3923320472240448,-91.34063720703125
600,422,240.21295355,51,21592,102.03,11591,0.00379269019073225,0.07814200967550278,21.54906463623047,-0.2371135652065277,-101.29888153076172
610,463,257.20758069999994,49,22852,106.38,12851,0.00379269019073225,0.07814009487628937,11.64206600189209,-0.476748526096344,-108.41690063476562
620,500,263.37964439,47,23858,108.11,13857,0.00379269019073225,0.0983206257224083,26.849491119384766,0.9333551526069641,-109.33866119384766
630,540,272.54825044999995,46,24952,110.19,14951,0.00379269019073225,0.1106056198477745,26.931964874267578,-0.8228397369384766,-121.21682739257812
640,592,283.17200308,44,26156,111.94,16155,0.00379269019073225,0.10381928086280823,13.850340843200684,-1.4918732643127441,-130.38331604003906
650,627,284.06731345000003,43,27243,110.66,17242,0.00379269019073225,0.09426765888929367,15.025838851928711,-0.5014042854309082,-139.66824340820312
660,673,297.35947866,42,28545,113.59,18544,0.00379269019073225,0.1046086773276329,15.305099487304688,1.5804990530014038,-140.63311767578125
670,733,312.36343942999997,40,30001,117.25,20000,0.00379269019073225,0.10843810439109802,15.177641868591309,-1.1224716901779175,-149.48455810546875
680,777,322.73741952999995,40,31457,120.28,21456,0.00379269019073225,0.0931006371974945,48.88622283935547,-0.11960974335670471,-153.8492889404297
690,862,356.89653923000003,38,33412,129.91,23411,0.00379269019073225,0.10871483385562897,49.64929962158203,1.1307108402252197,-151.53598022460938
700,928,375.08789175,37,34984,133.92,24983,0.00379269019073225,0.11043921858072281,65.40178680419922,0.10104978084564209,-167.1432647705078
710,1013,394.61871310000004,36,36718,138.66,26717,0.00379269019073225,0.0950714722275734,18.427188873291016,0.27732354402542114,-163.32794189453125
720,1102,429.29878475000004,35,38658,148.0,28657,0.00379269019073225,0.07423871010541916,13.976606369018555,0.5084023475646973,-170.4519805908203
730,1213,464.67199772,33,40785,158.33,30784,0.00379269019073225,0.10042545199394226,32.907596588134766,-0.6289641261100769,-180.65333557128906
740,1389,523.07676436,31,43673,175.17,33672,0.00379269019073225,0.10277771204710007,29.990886688232422,0.4017605185508728,-179.44793701171875
750,1516,569.05452054,30,46081,188.38,36080,0.00379269019073225,0.08845403045415878,33.54035568237305,-0.18890218436717987,-175.00900268554688
760,1636,620.4415058,29,48927,203.82,38926,0.00379269019073225,0.10370691120624542,12.381767272949219,-1.110393762588501,-184.6511993408203
