time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/n_updates,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/learning_rate
2091,217,21.7,0,10,13.268441999999999,,,,,,
77,504,25.2,6,20,19.4403009,,,,,,
112,734,24.466666666666665,6,30,18.747526166666663,,,,,,
140,931,23.275,6,40,18.3545308,,,,,,
117,1101,22.02,9,50,17.39676914,,,,,,
136,1288,21.466666666666665,9,60,16.83858775,,,,,,
133,1623,23.185714285714287,12,70,20.2949627,,,,,,
159,1957,24.4625,12,80,22.342586762499998,,,,,,
148,2197,24.41111111111111,14,90,22.124193055555555,,,,,,
161,2393,23.93,14,100,21.653096319999996,,,,,,
147,2593,23.76,17,110,22.286646580000003,,,,,,
161,2841,23.37,17,120,21.352139859999998,,,,,,
150,3040,23.06,20,130,21.31014192,,,,,,
161,3276,23.45,20,140,21.68465228,,,,,,
169,3451,23.5,20,150,21.64325878,,,,,,
159,3679,23.91,23,160,22.513860860000005,,,,,,
169,3928,23.05,23,170,20.712793889999997,,,,,,
162,4162,22.05,25,180,19.414822650000005,,,,,,
171,4430,22.33,25,190,20.05194322,,,,,,
162,4639,22.46,28,200,19.48134542,,,,,,
170,4875,22.82,28,210,19.67923613,,,,,,
162,5055,22.14,31,220,19.361654169999998,,,,,,
168,5266,22.26,31,230,19.013167690000003,,,,,,
173,5448,21.72,31,240,18.059426050000003,,,,,,
166,5683,22.32,34,250,18.482985550000002,,,,,,
173,5911,22.32,34,260,18.30191261,,,,,,
167,6175,22.47,36,270,18.655059629999997,,,,,,
172,6348,21.86,36,280,17.725659209999996,,,,,,
164,6542,21.12,39,290,16.49624139,,,,,,
169,6749,21.1,39,300,17.079190199999996,,,,,,
173,6925,20.5,39,310,16.184867840000003,,,,,,
164,7136,20.81,43,320,16.64823962,,,,,,
169,7337,20.71,43,330,16.80585246,,,,,,
161,7544,20.96,46,340,17.13231957,,,,,,
166,7811,21.28,46,350,18.35117049,,,,,,
169,7973,20.62,46,360,17.446190490000003,,,,,,
162,8166,19.91,50,370,15.92144695,,,,,,
166,8394,20.46,50,380,16.29467658,,,,,,
160,8586,20.44,53,390,16.519666330000003,,,,,,
163,8798,20.49,53,400,16.210460209999997,,,,,,
167,8994,20.69,53,410,16.191338319999996,,,,,,
161,9240,21.04,57,420,16.52889286,,,,,,
165,9469,21.32,57,430,16.5490797,,,,,,
160,9641,20.97,60,440,16.31601234,,,,,,
163,9842,20.31,60,450,15.19617929,,,,,,
154,10053,20.8,65,460,15.57337508,0.1413174569606781,52,0.7805317640304565,-4.576194763183594,-1.247889757156372,0.004832930238571752
147,10352,21.86,70,470,17.81402242,0.15367627143859863,351,0.19019518792629242,-4.1549201011657715,-7.433801651000977,0.004832930238571752
134,10812,24.18,80,480,24.803632349999997,0.25068432092666626,811,0.05126001685857773,-6.992066860198975,-5.590849876403809,0.004832930238571752
105,11651,30.65,110,490,40.66651138,1.1767826080322266,1650,0.04496239870786667,-13.314717292785645,0.8774142265319824,0.004832930238571752
89,12561,37.63,140,500,58.655609890000015,5.633986473083496,2560,0.05505284667015076,-21.84508514404297,2.199096202850342,0.004832930238571752
82,13438,44.44,163,510,75.3589085,1.30307137966156,3437,0.06495793163776398,-30.849319458007812,-0.8622932434082031,0.004832930238571752
72,14447,52.07,198,520,94.93582762999999,2.9244892597198486,4446,0.04849362000823021,-38.36244201660156,0.563167929649353,0.004832930238571752
