rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/actor_loss
22.7,227,2049,0,16.7013324,10,,,,,,
21.6,432,2281,0,18.644575499999995,20,,,,,,
21.3,639,112,5,16.566230833333332,30,,,,,,
20.3,812,141,5,15.996949425,40,,,,,,
19.9,995,170,5,14.74701922,50,,,,,,
19.866666666666667,1192,157,7,14.730111566666666,60,,,,,,
20.285714285714285,1420,185,7,15.027865157142855,70,,,,,,
20.1625,1613,171,9,14.8306671,80,,,,,,
20.377777777777776,1834,194,9,14.795162055555556,90,,,,,,
20.47,2047,186,10,15.36387178,100,,,,,,
20.78,2305,207,11,16.33023909,110,,,,,,
21.55,2587,201,12,17.63160164,120,,,,,,
21.31,2770,215,12,17.60162959,130,,,,,,
21.16,2928,226,12,17.287024199999998,140,,,,,,
21.55,3150,216,14,17.790888560000003,150,,,,,,
21.53,3345,229,14,17.804672089999997,160,,,,,,
20.85,3505,215,16,17.340327470000002,170,,,,,,
20.93,3706,226,16,17.462852249999997,180,,,,,,
20.95,3929,238,16,17.929181800000002,190,,,,,,
21.19,4166,230,18,17.335697080000003,200,,,,,,
20.64,4369,240,18,16.282058090000003,210,,,,,,
20.13,4600,232,19,14.765502179999999,220,,,,,,
20.12,4782,241,19,14.759613310000004,230,,,,,,
20.6,4988,250,19,15.00497349,240,,,,,,
21.25,5275,246,21,15.32648073,250,,,,,,
21.22,5467,254,21,15.4784229,260,,,,,,
22.13,5718,246,23,16.839591180000003,270,,,,,,
21.91,5897,253,23,16.410546450000002,280,,,,,,
21.97,6126,244,25,17.110040210000005,290,,,,,,
21.65,6331,251,25,16.903654040000003,300,,,,,,
22.69,6638,246,26,18.414186790000002,310,,,,,,
22.98,6898,255,26,18.62076082,320,,,,,,
23.38,7120,247,28,19.12125153,330,,,,,,
24.56,7444,258,28,20.725473500000003,340,,,,,,
23.42,7617,250,30,20.13347096,350,,,,,,
23.43,7810,256,30,19.93115628,360,,,,,,
22.74,7992,261,30,18.49609825,370,,,,,,
23.71,8268,256,32,19.77502195,380,,,,,,
23.25,8451,262,32,18.532514979999995,390,,,,,,
22.9,8621,253,33,18.60191196,400,,,,,,
21.9,8828,259,34,17.627990779999998,410,,,,,,
21.27,9025,250,36,17.286390339999997,420,,,,,,
20.93,9213,255,36,16.78323457,430,,,,,,
20.01,9445,261,36,16.097939840000002,440,,,,,,
20.21,9638,254,37,16.20844149,450,,,,,,
20.08,9818,258,37,16.36185077,460,,,,,,
20.68,10060,247,40,17.9260507,470,0.00615848211066026,0.18386919796466827,-1.816909670829773,0.6980068683624268,59,-4.230186939239502
21.81,10449,226,46,21.057526399999997,480,0.00615848211066026,0.11886044591665268,-6.632349014282227,0.08148744702339172,448,-4.496593475341797
23.25,10776,205,52,25.921777080000002,490,0.00615848211066026,0.29130420088768005,2.716310501098633,0.03941643238067627,775,-6.709785461425781
30.3,11651,140,83,43.30703392,500,0.00615848211066026,0.8920619487762451,0.19248107075691223,0.04554854333400726,1650,-13.502706527709961
39.7,12798,98,129,70.00260831,510,0.00615848211066026,3.748006820678711,-0.14235325157642365,0.05596935376524925,2797,-24.884483337402344
49.11,13936,81,170,96.63661782999998,520,0.00615848211066026,3.953479528427124,-0.46217799186706543,0.06740804016590118,3935,-37.87861633300781
63.77,15590,61,251,138.64477087999998,530,0.00615848211066026,6.976017951965332,1.046578049659729,0.05074087157845497,5589,-52.123531341552734
73.5,16795,58,289,166.95121282999997,540,0.00615848211066026,20.040245056152344,0.8185149431228638,0.0555415041744709,6794,-63.718727111816406
83.39,17977,53,333,197.85912341,550,0.00615848211066026,8.042337417602539,1.7742407321929932,0.06031139940023422,7976,-72.33421325683594
93.47,19165,48,391,228.32721045,560,0.00615848211066026,12.388652801513672,1.7797495126724243,0.07252071797847748,9164,-81.81005859375
103.19,20379,47,428,256.95721529,570,0.00615848211066026,14.097698211669922,0.6660760641098022,0.06923643499612808,10378,-90.94917297363281
111.12,21561,44,479,284.08984803,580,0.00615848211066026,21.68260955810547,-1.0887765884399414,0.0835573822259903,11560,-96.08419799804688
116.8,22456,45,497,299.08465444000007,590,0.00615848211066026,30.393918991088867,-0.6465296149253845,0.10299573093652725,12455,-105.7183837890625
117.51,23402,44,530,302.46907565,600,0.00615848211066026,38.519989013671875,-1.4014596939086914,0.10767842829227448,13401,-109.48577880859375
111.25,23923,44,542,283.20820102,610,0.00615848211066026,24.38932228088379,0.7630235552787781,0.09931210428476334,13922,-111.22209167480469
116.32,25568,40,630,294.39866276,620,0.00615848211066026,35.13520812988281,0.7520864605903625,0.13233210146427155,15567,-119.25079345703125
118.31,27421,38,708,301.88468066999997,630,0.00615848211066026,18.616912841796875,-0.3681375980377197,0.15634478628635406,17420,-133.490478515625
121.87,28982,37,777,316.26585692000003,640,0.00615848211066026,32.57273864746094,-0.5267965793609619,0.14063440263271332,18981,-144.64633178710938
119.73,29950,36,811,308.41648931,650,0.00615848211066026,30.60599136352539,-0.9923096299171448,0.16108371317386627,19949,-150.32537841796875
116.53,30818,36,846,296.73606990999997,660,0.00615848211066026,25.19193458557129,0.13905411958694458,0.14555224776268005,20817,-150.35250854492188
114.84,31863,36,878,292.25987416000004,670,0.00615848211066026,103.97038269042969,0.3250785171985626,0.11923585832118988,21862,-151.06637573242188
116.58,33219,35,938,297.43031126999995,680,0.00615848211066026,26.348094940185547,-1.6070985794067383,0.1096709594130516,23218,-148.9373321533203
122.41,34697,34,1002,320.82631856999996,690,0.00615848211066026,46.50826644897461,0.25845277309417725,0.11673043668270111,24696,-153.27310180664062
