rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/actor_loss
26.7,267,2309,0,25.4120715,10,,,,,,
23.45,469,1638,0,20.1924263,20,,,,,,
22.633333333333333,679,1853,0,18.778148066666667,30,,,,,,
22.275,891,1740,0,18.3609769,40,,,,,,
21.98,1099,1776,0,18.61000952,50,,,,,,
20.916666666666668,1255,1779,0,17.60055423333333,60,,,,,,
20.728571428571428,1451,1884,0,17.12992044285714,70,,,,,,
20.45,1636,1928,0,16.612214712500002,80,,,,,,
21.344444444444445,1921,2013,0,17.96075501111111,90,,,,,,
21.01,2101,2031,1,17.471159020000005,100,,,,,,
20.31,2298,2021,1,16.437792539999997,110,,,,,,
20.79,2548,2063,1,17.25386188,120,,,,,,
20.63,2742,2013,1,17.085519059999996,130,,,,,,
20.39,2930,2008,1,17.401679209999998,140,,,,,,
21.02,3201,2065,1,17.48552106,150,,,,,,
21.9,3445,2097,1,18.15456008,160,,,,,,
23.0,3751,2156,1,19.96093993,170,,,,,,
23.59,3995,2195,1,20.66539994,180,,,,,,
23.1,4231,2240,1,19.41516402,190,,,,,,
23.33,4434,2269,1,19.740944780000003,200,,,,,,
23.74,4672,2290,2,20.22649019,210,,,,,,
23.26,4874,2317,2,19.46530804,220,,,,,,
23.87,5129,2325,2,19.85548135,230,,,,,,
23.78,5308,2346,2,19.022491090000003,240,,,,,,
22.52,5453,2364,2,18.23997868,250,,,,,,
22.89,5734,2404,2,18.60533276,260,,,,,,
22.56,6007,2415,2,18.048130070000003,270,,,,,,
21.93,6188,2430,2,17.30152778,280,,,,,,
21.64,6395,2449,2,17.053552330000002,290,,,,,,
22.83,6717,2462,2,18.02200323,300,,,,,,
23.07,6979,2438,2,19.04470885,310,,,,,,
23.02,7176,2443,2,19.042212680000002,320,,,,,,
23.04,7433,2468,3,19.716158659999998,330,,,,,,
23.29,7637,2478,3,20.05361323,340,,,,,,
24.18,7871,2488,3,21.28695545,350,,,,,,
24.27,8161,2485,3,21.242099290000006,360,,,,,,
24.06,8413,2489,3,20.739773070000002,370,,,,,,
24.1,8598,2473,3,20.93501459,380,,,,,,
24.2,8815,2473,3,21.633066989999996,390,,,,,,
23.53,9070,2472,3,20.731346119999998,400,,,,,,
22.79,9258,2469,3,19.294718529999997,410,,,,,,
22.69,9445,2474,3,19.227510220000003,420,,,,,,
22.82,9715,2486,3,19.313202750000002,430,,,,,,
22.37,9874,2479,3,18.920194570000003,440,,,,,,
21.81,10052,2016,4,17.876145870000002,450,0.00615848211066026,0.19040663540363312,-1.5637855529785156,0.7332327961921692,51,-4.4837446212768555
23.11,10472,875,11,20.67667031,460,0.00615848211066026,0.2637426555156708,-8.934328079223633,0.06788016110658646,471,-4.475555419921875
23.13,10726,660,16,22.82788779,470,0.00615848211066026,0.14340895414352417,-2.90765380859375,0.03307401388883591,725,-5.8759660720825195
25.95,11193,458,24,30.489588819999998,480,0.00615848211066026,0.18746529519557953,2.259392261505127,0.02932743728160858,1192,-8.74070930480957
33.18,12133,305,39,48.059348160000006,490,0.00615848211066026,0.7080339193344116,-0.6423343420028687,0.03342299535870552,2132,-16.09766960144043
39.51,13021,239,54,65.5299076,500,0.00615848211066026,1.106137990951538,2.3617568016052246,0.040952593088150024,3020,-25.406217575073242
41.07,13365,220,60,70.29194952,510,0.00615848211066026,3.7840700149536133,-1.184779167175293,0.03347055986523628,3364,-27.70591163635254
48.3,14275,188,75,88.93551802999998,520,0.00615848211066026,5.501987934112549,0.3370022475719452,0.041682206094264984,4274,-34.95732498168945
