#{"t_start": 1692387673.208942, "env_id": "CustomHopper-source-v0"}
r,l,t
8.25443,28,5.036328
9.860011,15,5.040949
6.800786,14,5.046595
12.077136,17,5.051981
99.246145,75,5.071175
10.246879,12,5.075453
9.624246,15,5.080668
21.109167,22,5.08816
40.739128,36,5.097945
5.479118,10,5.101662
36.218971,45,5.11551
14.668381,19,5.122262
30.592869,39,5.133118
10.342434,13,5.137209
18.804695,22,5.143553
15.042924,22,5.149519
11.495822,16,5.155027
17.586841,19,5.160944
12.807154,16,5.165725
14.657081,41,5.177372
12.289785,18,15.148726
7.291818,11,15.153025
15.141311,18,15.15823
15.110946,24,15.165147
12.927012,22,15.173673
37.767777,44,15.184726
8.118605,13,15.191412
16.491202,19,15.196348
15.485215,23,15.202511
8.567598,13,15.210751
15.352142,16,15.21589
23.148466,31,15.223946
7.235135,15,15.228049
21.679102,36,15.238141
8.930311,16,15.242582
16.162863,16,15.246991
54.494996,40,15.256996
8.148488,13,15.260843
8.454668,13,15.264828
20.695046,21,15.271138
12.792888,20,15.277391
6.332231,16,15.281962
9.152747,15,15.286143
16.121134,23,15.293368
12.713425,20,21.456095
13.985495,16,21.461075
11.034668,13,21.465572
11.914155,23,21.475544
8.940269,19,21.486153
12.40911,24,21.49226
19.253192,19,21.499711
13.865821,18,21.506275
11.124194,25,21.513078
28.222559,28,21.520045
10.056405,21,21.525568
9.924563,14,21.530349
7.331065,11,21.537619
24.66758,22,21.543904
6.704019,10,21.547025
12.170783,34,21.562569
9.820048,13,21.566706
10.704604,20,21.571954
20.418189,26,21.580983
73.736029,48,21.592284
22.929983,28,21.599834
42.695291,32,21.60807
38.897637,47,27.609401
12.889687,17,27.614275
10.288036,12,27.618316
10.568492,17,27.623004
38.945931,37,27.633765
7.488868,16,27.656191
62.186027,56,27.670952
51.444843,33,27.679465
8.543331,17,27.684124
10.300864,14,27.688049
13.753236,20,27.693227
19.701062,23,27.700011
38.805471,47,27.711733
23.78667,24,27.717912
8.231608,18,27.723587
29.040469,26,27.730008
9.968244,15,27.734598
10.526657,24,27.740841
5.728913,14,27.744672
22.336502,20,27.750097
23.4869,29,33.646267
6.235402,10,33.652083
92.492127,67,33.69122
6.549668,13,33.694973
5.814775,13,33.704021
6.043434,11,33.707675
8.058381,18,33.714948
9.009375,14,33.719007
8.133577,10,33.722278
7.990966,22,33.731258
6.719904,33,33.740058
6.648579,12,33.743732
31.696363,26,33.750341
10.583161,19,33.755418
7.425894,11,33.760929
93.722673,55,33.774178
18.166942,18,33.779937
18.498161,32,33.788277
8.534082,12,33.792213
14.685904,19,33.798223
31.00497,32,33.806437
16.885052,19,33.811922
10.934983,13,33.816182
6.688969,17,33.821222
15.107362,15,39.662725
41.659961,39,39.672748
49.859934,38,39.684772
9.110205,11,39.687865
11.817891,18,39.692896
17.576608,24,39.699084
26.528933,24,39.70561
41.690144,42,39.71883
31.01569,37,39.72834
8.877133,15,39.734356
19.472418,31,39.744418
13.155848,34,39.75311
13.616151,20,39.758703
12.831812,15,39.762928
25.214092,31,39.77835
11.051663,19,39.783409
7.735037,14,39.787408
12.812258,16,39.791826
13.558806,16,39.796234
6.473592,13,39.800446
8.263585,25,39.808161
6.682499,14,45.698403
9.071617,14,45.7026
10.17386,13,45.70665
12.621858,21,45.712142
11.313743,14,45.715808
10.233199,12,45.719677
7.441352,10,45.722756
4.503409,24,45.72889
7.40868,12,45.737733
10.597686,14,45.742836
11.685949,26,45.750517
14.245147,17,45.755757
10.243216,12,45.760351
6.755096,11,45.764565
32.001762,30,45.772655
15.792418,26,45.783338
7.119125,23,45.789238
14.303832,25,45.805869
14.141639,21,45.811702
9.943528,16,45.820037
8.502482,13,45.823574
11.080206,15,45.827436
122.892663,85,45.851337
16.049336,21,45.857175
15.753903,35,52.283209
8.138488,11,52.286923
7.089864,19,52.292136
4.058987,14,52.296141
16.762018,19,52.301172
26.388654,24,52.312428
26.145763,23,52.318412
13.095259,15,52.323455
19.578388,29,52.330927
7.36622,10,52.334014
5.53461,17,52.343783
7.274219,16,52.348155
34.688426,35,52.35686
6.773933,9,52.359982
8.082387,10,52.362971
10.518826,14,52.367513
24.017477,23,52.373518
5.994503,13,52.385607
7.679927,25,52.394302
10.098014,15,52.399457
29.013752,23,52.406321
14.436161,24,52.415114
5.435986,11,52.418778
10.927845,21,52.424634
8.829863,16,52.43206
7.727805,11,52.439599
26.499166,25,52.446623
16.746838,24,59.130689
11.034484,22,59.137039
8.232627,14,59.141598
16.653992,18,59.146477
12.863261,15,59.151443
27.858747,33,59.160083
39.31859,34,59.168386
4.817062,9,59.171272
19.513384,34,59.180639
30.124791,32,59.188268
13.703692,16,59.192857
5.185277,11,59.196127
37.020196,26,59.20339
10.895681,13,59.207234
8.789097,18,59.212088
2.993807,20,59.217426
11.0441,20,59.223261
6.939681,11,59.22657
12.772343,15,59.231281
11.438189,21,59.238437
18.413724,26,59.245048
6.156571,11,59.248345
15.379134,17,59.253913
8.415048,11,59.257202
19.115599,18,59.262605
4.968984,31,65.925864
6.767397,16,65.931806
6.295881,9,65.936297
18.112303,21,65.9433
7.796416,12,65.947521
45.364519,35,65.955869
4.863934,9,65.959041
8.082301,12,65.96441
8.179719,18,65.969704
11.324484,14,65.973585
8.901676,15,65.977463
15.796896,18,65.985158
9.186361,13,65.990858
8.479625,17,65.996548
31.071523,33,66.005137
13.939013,20,66.010679
10.036203,13,66.01722
9.878876,14,66.026243
8.912633,17,66.030778
9.775799,13,66.034309
16.055996,20,66.041921
15.355625,17,66.051526
11.711621,19,66.057306
12.18962,21,66.063779
8.394578,24,66.069952
11.946462,17,66.074884
10.808636,24,66.08102
4.95175,12,66.084815
23.496036,27,72.866323
8.929565,12,72.873536
18.464932,19,72.8787
9.31763,12,72.886653
26.822069,33,72.89533
12.155505,14,72.899788
16.780568,17,72.906461
62.446758,37,72.915612
9.143672,13,72.922216
16.696128,18,72.926969
10.405482,13,72.930879
22.12752,21,72.937115
11.263815,17,72.942347
5.461818,10,72.946515
65.992819,55,72.962391
7.693333,10,72.966786
9.504503,16,72.971535
9.036935,15,72.981505
6.416937,16,72.986486
11.384456,12,72.990138
12.18039,21,72.995449
20.672506,36,73.00577
6.570773,25,73.012032
11.996763,15,73.016031
15.273027,18,73.021053
10.812687,20,79.454204
12.720228,14,79.45952
26.448302,31,79.468395
11.376558,15,79.472487
7.603683,10,79.475572
15.787507,18,79.482303
28.913315,30,79.489966
33.749911,26,79.497158
27.585763,24,79.503509
23.173217,30,79.511986
7.81938,19,79.518432
9.529551,12,79.522181
22.418967,24,79.533334
15.353506,19,79.538607
28.356094,28,79.545857
24.112373,43,79.556322
25.082178,21,79.561818
16.249316,16,79.56612
7.02415,10,79.569082
5.262629,9,79.572283
19.699531,21,79.581095
13.999083,26,79.587777
13.350509,18,79.59298
11.34557,18,79.598341
13.151424,15,86.338167
37.838463,39,86.349366
17.24487,19,86.360488
15.954076,21,86.373065
10.799936,14,86.3813
8.832625,13,86.385729
15.903539,15,86.392732
6.083538,12,86.39604
8.590626,11,86.399443
15.619373,18,86.404789
5.635221,8,86.407538
10.310171,14,86.411276
20.072877,28,86.421177
19.445305,19,86.42603
14.038479,19,86.431091
11.776575,16,86.438865
28.08051,34,86.449424
15.159678,23,86.455176
7.191917,9,86.458282
10.140799,25,86.46535
27.434672,36,86.474545
27.015782,25,86.488446
43.126113,50,86.50496
7.653289,12,86.511986
6.394605,10,86.514849
8.974695,15,95.215955
13.828926,19,95.233203
17.681199,19,95.246023
20.20969,22,95.25296
76.681988,51,95.265604
8.577095,13,95.27017
138.981013,78,95.292917
9.153362,13,95.302232
8.857776,27,95.310878
15.019962,19,95.316074
10.692084,13,95.320191
17.010548,24,95.328017
13.388722,16,95.333537
8.679639,13,95.338127
28.020808,26,95.344929
8.355344,12,95.348496
21.768114,20,95.353649
5.939638,15,95.357652
34.580188,28,95.365158
5.08286,10,95.371763
12.419493,19,95.376894
8.295311,12,95.385373
28.96165,24,102.609102
3.5805,26,102.617694
7.274898,12,102.621973
14.0571,21,102.631081
8.312069,11,102.63468
15.803065,33,102.642788
65.062483,60,102.658577
37.200119,30,102.669736
6.980379,12,102.673242
12.224469,13,102.680853
23.609261,20,102.686223
12.540555,14,102.690897
8.193208,28,102.698645
11.724402,16,102.703126
5.582032,14,102.707983
55.876439,46,102.720736
4.13399,10,102.724097
4.971014,10,102.727266
15.465376,21,102.735183
155.776409,83,102.772065
40.681355,44,110.771169
26.056257,30,110.780417
33.798514,29,110.787452
7.271788,12,110.792547
11.836202,12,110.796877
8.56246,14,110.800908
19.800271,27,110.80956
5.014104,8,110.813627
8.368746,20,110.822055
38.195515,31,110.831245
26.388727,35,110.841152
6.753534,16,110.850425
11.216576,18,110.859854
31.83503,37,110.874947
15.737108,17,110.880387
6.013762,18,110.885433
11.21558,15,110.889581
8.317367,14,110.893518
12.27493,35,110.903407
10.052814,26,110.918205
47.765788,53,110.931336
136.285304,85,118.04989
7.685001,10,118.052963
12.90653,16,118.057417
10.473897,19,118.062952
3.821152,12,118.075318
11.089835,20,118.080931
9.26257,18,118.086102
11.940632,17,118.091209
7.161401,11,118.097496
8.696173,16,118.102098
8.201737,14,118.113603
7.559687,10,118.117502
8.063815,13,118.122273
19.494213,21,118.12816
14.411314,18,118.133309
15.565628,18,118.138487
25.486027,23,118.145106
160.295154,134,118.178771
11.533689,23,118.193857
17.596041,25,125.19644
10.159561,16,125.201606
25.054512,22,125.207716
22.930911,23,125.213742
39.79542,38,125.224223
14.10669,14,125.228186
10.334787,13,125.231878
11.979245,16,125.242041
11.268256,21,125.251488
5.431413,19,125.270175
14.15161,21,125.276112
9.581302,16,125.281754
17.522678,37,125.298456
11.793172,18,125.304646
8.652775,12,125.308119
8.029268,14,125.313571
21.896585,29,125.320825
21.965695,36,125.330697
29.649239,48,125.342169
9.376788,18,125.353548
29.31509,25,125.360227
7.756263,13,125.367611
7.121498,11,125.370984
6.556771,11,132.282988
7.810327,12,132.287322
21.436731,34,132.296099
5.166761,28,132.303987
11.29569,14,132.307934
31.447197,40,132.318593
12.37208,13,132.323049
9.260835,11,132.326113
13.551488,23,132.332388
8.832622,32,132.354348
14.458523,15,132.358699
51.626132,43,132.383196
20.619934,22,132.391732
160.340148,97,132.414142
17.74589,17,132.421994
7.294815,11,132.428245
18.708695,18,132.442439
12.840913,16,132.446972
19.424257,18,132.451696
11.913918,17,132.456527
15.31656,20,139.460912
12.643295,19,139.46635
23.233256,27,139.473219
14.579063,16,139.477565
13.802067,19,139.483739
7.82675,12,139.4876
17.111419,18,139.493542
26.619299,45,139.505879
14.197262,21,139.513027
12.047451,16,139.517311
10.132862,14,139.52191
26.846854,29,139.529676
7.420575,10,139.532976
8.861024,12,139.536213
10.163656,16,139.540618
29.529467,43,139.551242
21.824975,26,139.558323
7.347576,12,139.562351
6.789563,12,139.565608
9.764883,15,139.569638
14.191904,15,139.573863
6.194082,18,139.578677
146.587017,84,146.447374
32.881389,42,147.009548
50.393603,37,147.479919
15.98175,26,147.831065
17.874799,30,148.228005
61.213529,46,148.804205
97.286132,55,149.545198
48.930583,28,149.913996
47.14468,27,150.29622
62.010771,70,151.22088
46.870653,26,151.554449
46.860946,27,151.917416
38.166779,21,152.190926
47.70934,26,152.551801
45.33143,25,152.883963
69.191884,35,155.118546
165.937122,82,156.238776
105.82943,55,156.972262
104.990922,53,157.681525
149.461991,75,158.6757
143.311169,73,159.643707
156.986671,79,160.686331
151.362212,76,166.276492
148.043881,75,167.380899
99.855209,51,168.127837
132.14566,69,169.095828
138.04891,71,170.104308
135.470497,70,171.028627
72.375286,37,171.467762
114.569045,61,172.266641
81.839983,42,172.803184
146.422339,75,176.342218
186.879086,93,177.525878
174.323029,91,178.730217
155.954152,82,179.997287
185.302527,93,181.380955
166.453131,82,188.733886
173.87439,89,189.852624
179.295089,88,190.993757
190.028407,93,192.194657
180.208419,89,193.321748
181.798389,90,194.488109
145.662723,74,201.663564
166.113181,82,202.777637
185.83599,92,203.885913
186.523503,92,205.035897
175.576591,85,206.154623
183.685642,90,207.291749
190.14968,91,214.721908
181.425875,88,216.096165
191.316739,93,217.434868
187.645655,88,218.676331
178.398526,86,219.844827
188.023094,84,226.998126
182.546714,91,228.254601
36.719382,24,228.607948
187.327343,92,230.066863
208.605447,90,231.440896
193.132194,88,232.840446
151.094738,74,233.937162
206.480649,91,241.355646
188.859686,90,242.595138
199.809236,89,243.730679
188.205486,84,244.884037
197.347764,93,246.196727
193.368733,91,254.248383
193.273481,89,255.385645
204.382939,91,256.598898
192.715529,87,257.786904
196.942364,88,258.939821
201.334225,96,260.139367
191.389971,88,268.09492
205.726074,90,269.232775
199.221939,88,270.289028
164.066267,80,271.274118
203.039632,89,272.374793
179.903123,87,273.445203
165.05226,81,280.439646
203.443602,91,281.638025
210.225756,92,282.940692
197.105877,92,284.177841
181.617337,88,285.424521
