time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/n_updates,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/learning_rate
2839,244,22.3437046,24.4,10,0,,,,,,
3078,496,20.282710899999998,24.8,20,0,,,,,,
68,701,18.49484956666667,23.366666666666667,30,10,,,,,,
89,918,18.4786676,22.95,40,10,,,,,,
67,1107,17.090856520000003,22.14,50,16,,,,,,
79,1309,16.631050116666668,21.816666666666666,60,16,,,,,,
69,1569,17.86872861428572,22.414285714285715,70,22,,,,,,
81,1856,19.072091325000002,23.2,80,22,,,,,,
72,2092,19.337375511111112,23.244444444444444,90,28,,,,,,
78,2270,18.41062311,22.7,100,28,,,,,,
86,2498,18.44172895,22.54,110,28,,,,,,
79,2761,19.151995839999998,22.65,120,34,,,,,,
85,2970,19.019299919999998,22.69,130,34,,,,,,
76,3129,18.05342577,22.11,140,40,,,,,,
81,3334,18.26832325,22.27,150,40,,,,,,
75,3582,19.037836189999997,22.73,160,47,,,,,,
79,3770,18.057634819999997,22.01,170,47,,,,,,
83,3955,16.57759533,20.99,180,47,,,,,,
76,4160,16.149156150000003,20.68,190,54,,,,,,
80,4361,16.604268060000003,20.91,200,54,,,,,,
74,4536,15.436020460000002,20.38,210,60,,,,,,
77,4703,14.27966794,19.42,220,60,,,,,,
80,4886,14.27262031,19.16,230,61,,,,,,
74,5087,14.748695070000002,19.58,240,67,,,,,,
78,5302,15.704577220000001,19.68,250,67,,,,,,
80,5486,14.6091587,19.04,260,68,,,,,,
76,5704,15.041591820000002,19.34,270,74,,,,,,
79,5905,15.38414972,19.5,280,74,,,,,,
75,6109,15.288784869999999,19.49,290,81,,,,,,
76,6269,15.10144485,19.08,300,81,,,,,,
72,6508,15.81593675,19.72,310,90,,,,,,
75,6782,17.63668161,20.79,320,90,,,,,,
77,6965,17.83696601,20.79,330,90,,,,,,
73,7206,18.439028970000003,21.19,340,97,,,,,,
75,7398,17.657495580000003,20.96,350,97,,,,,,
72,7677,19.721860410000005,21.91,360,105,,,,,,
74,7913,19.419629990000004,22.09,370,105,,,,,,
72,8189,20.420383779999998,22.84,380,113,,,,,,
74,8467,21.5475744,23.58,390,113,,,,,,
72,8678,22.020408479999993,24.09,400,120,,,,,,
74,8928,21.695425249999992,24.2,410,120,,,,,,
71,9134,19.871425459999998,23.52,420,127,,,,,,
73,9418,21.479996590000006,24.53,430,127,,,,,,
71,9600,21.027608590000003,23.94,440,134,,,,,,
73,9824,21.113699819999997,24.26,450,134,,,,,,
70,10111,21.061606180000002,24.34,460,142,110,0.4221159815788269,0.1811821162700653,-4.354618072509766,-3.758904457092285,0.007847599703514606
70,10467,24.522807009999998,25.54,470,147,466,0.044149573892354965,0.10919305682182312,-6.219161033630371,-4.1614789962768555,0.007847599703514606
68,11095,34.3144389,29.06,480,162,1094,0.03743039071559906,0.6435798406600952,3.1524505615234375,-8.345649719238281,0.007847599703514606
67,11755,44.38437785,32.88,490,173,1754,0.03868488967418671,1.6221928596496582,1.5607925653457642,-13.099784851074219,0.007847599703514606
63,12617,59.88369081,39.39,500,197,2616,0.04986098036170006,0.621990442276001,0.46754592657089233,-21.333566665649414,0.007847599703514606
60,13506,76.88276639,45.78,510,221,3505,0.06278850883245468,2.1792919635772705,-1.0674725770950317,-31.02037239074707,0.007847599703514606
59,14319,92.93774398,51.85,520,239,4318,0.0508195199072361,3.0419888496398926,3.105358600616455,-36.79328155517578,0.007847599703514606
57,15220,109.53374950000001,58.02,530,265,5219,0.04839816316962242,2.963427782058716,0.7645358443260193,-43.55048370361328,0.007847599703514606
55,16099,126.92369152,64.99,540,289,6098,0.0439615398645401,3.904249429702759,0.49595189094543457,-51.02943801879883,0.007847599703514606
53,17205,151.01555506,73.81,550,318,7204,0.0549473874270916,10.549118041992188,0.2439316362142563,-55.38630676269531,0.007847599703514606
51,18137,166.83949927999998,80.26,560,350,8136,0.049341075122356415,11.668630599975586,0.49967604875564575,-64.3941650390625,0.007847599703514606
51,18870,172.99878434000001,84.03,570,368,8869,0.11940799653530121,6.602355003356934,-0.06914599984884262,-71.41708374023438,0.007847599703514606
48,20316,190.04955497999995,92.21,580,415,10315,0.18401971459388733,42.86061096191406,-0.06621071696281433,-94.16465759277344,0.007847599703514606
47,21543,205.91011183999998,97.88,590,456,11542,0.16922108829021454,47.71508026123047,-0.6788526773452759,-111.70059204101562,0.007847599703514606
46,22630,212.93084667,100.13,600,486,12629,0.1402001827955246,19.608257293701172,0.0458223819732666,-124.24486541748047,0.007847599703514606
45,23799,221.43711401999994,102.93,610,518,13798,0.14369091391563416,24.392242431640625,-1.4808969497680664,-134.695556640625,0.007847599703514606
45,24956,231.07865304999999,106.37,620,547,14955,0.10750461369752884,47.49394607543945,0.6617939472198486,-138.26412963867188,0.007847599703514606
45,25949,235.18878179000004,107.29,630,575,15948,0.09384625405073166,15.856529235839844,-0.09725585579872131,-141.93679809570312,0.007847599703514606
44,26973,241.46493039999993,108.74,640,604,16972,0.10132814943790436,50.210662841796875,-0.544638454914093,-150.1688995361328,0.007847599703514606
43,28094,242.80028796000002,108.89,650,644,18093,0.08540912717580795,17.36957550048828,-1.0265474319458008,-139.36415100097656,0.007847599703514606
42,29803,270.47510501,116.66,660,697,19802,0.09567728638648987,30.64192771911621,-0.13211095333099365,-151.2741241455078,0.007847599703514606
42,30924,284.78093315999996,120.54,670,729,20923,0.1221664622426033,32.58015441894531,0.21518109738826752,-145.71412658691406,0.007847599703514606
41,32408,290.92119773999997,120.92,680,783,22407,0.13092197477817535,48.82952117919922,0.34175562858581543,-163.19610595703125,0.007847599703514606
40,33646,292.14373183,121.03,690,830,23645,0.14034245908260345,37.49336624145508,-0.7743624448776245,-157.70635986328125,0.007847599703514606
40,34927,299.07377325,122.97,700,866,24926,0.10245581716299057,30.733888626098633,1.0091841220855713,-164.58493041992188,0.007847599703514606
39,36268,303.98537541999997,124.69,710,911,26267,0.11178100854158401,30.49687957763672,0.6187994480133057,-158.65036010742188,0.007847599703514606
39,37472,305.43565149,125.16,720,938,27471,0.07979531586170197,19.484575271606445,1.8233295679092407,-155.7047119140625,0.007847599703514606
39,38585,306.94114013,126.36,730,976,28584,0.09643373638391495,21.18061065673828,0.09208262711763382,-153.87460327148438,0.007847599703514606
39,39633,306.02944419,126.6,740,1004,29632,0.10229272395372391,24.545639038085938,-1.099545955657959,-158.5720977783203,0.007847599703514606
39,40935,310.12202539000003,128.41,750,1037,30934,0.0824640765786171,29.88616371154785,-1.712060570716858,-148.57781982421875,0.007847599703514606
39,41957,286.31927807,121.54,760,1067,31956,0.08390539139509201,25.2747802734375,-1.6839194297790527,-143.13070678710938,0.007847599703514606
38,43453,296.85620972999993,125.29,770,1131,33452,0.06908523291349411,19.44904136657715,1.8727115392684937,-145.4617919921875,0.007847599703514606
37,44890,295.66610349999996,124.82,780,1203,34889,0.08089703321456909,28.9468936920166,0.17376695573329926,-140.7628631591797,0.007847599703514606
36,46920,306.0080865,132.74,790,1286,36919,0.08573451638221741,19.849021911621094,-1.1971266269683838,-147.2618408203125,0.007847599703514606
35,48589,311.86851071,136.62,800,1363,38588,0.06187472119927406,19.33061981201172,0.35902437567710876,-142.51437377929688,0.007847599703514606
