time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/n_updates,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/learning_rate
2513,204,17.7156387,20.4,10,0,,,,,,
2759,428,18.78109285,21.4,20,0,,,,,,
3010,660,19.283468099999997,22.0,30,0,,,,,,
3100,850,17.72337965,21.25,40,0,,,,,,
3127,1051,16.507429539999997,21.02,50,0,,,,,,
3224,1375,18.919439033333333,22.916666666666668,60,0,,,,,,
3253,1566,18.309490085714287,22.37142857142857,70,0,,,,,,
3294,1781,18.0073775875,22.2625,80,0,,,,,,
3307,2037,19.043597966666667,22.633333333333333,90,0,,,,,,
3293,2202,18.492299170000003,22.02,100,0,,,,,,
3291,2404,18.403728880000003,22.0,110,0,,,,,,
3241,2655,18.514941880000002,22.27,120,0,,,,,,
3225,2875,18.01760507,22.15,130,0,,,,,,
3238,3114,18.33216645,22.64,140,0,,,,,,
3228,3291,18.53555256,22.4,150,1,,,,,,
3239,3456,16.554164170000004,20.81,160,1,,,,,,
3236,3687,17.058627630000004,21.21,170,1,,,,,,
3260,3947,18.11706606,21.66,180,1,,,,,,
3259,4139,16.9162553,21.02,190,1,,,,,,
3270,4447,18.005670770000002,22.45,200,1,,,,,,
3281,4626,17.49207938,22.22,210,1,,,,,,
3279,4816,16.633382419999997,21.61,220,1,,,,,,
3277,5015,16.583686339999996,21.4,230,1,,,,,,
3278,5234,17.01883548,21.2,240,1,,,,,,
3284,5458,17.338453020000003,21.67,250,1,,,,,,
3269,5684,18.272328910000002,22.28,260,1,,,,,,
3261,5907,18.049471780000005,22.2,270,1,,,,,,
3274,6133,17.561337260000002,21.86,280,1,,,,,,
3275,6335,17.88628371,21.96,290,1,,,,,,
3277,6553,17.65799772,21.06,300,1,,,,,,
3275,6788,17.78872651,21.62,310,2,,,,,,
3257,6977,17.821012119999995,21.61,320,2,,,,,,
3254,7181,17.81429442,21.66,330,2,,,,,,
3230,7346,16.890700770000002,21.12,340,2,,,,,,
