rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate
18.7,14.6765726,0,10,187,2755,,,,,,
18.35,14.962836349999998,0,20,367,3010,,,,,,
18.366666666666667,14.507101200000001,6,30,551,89,,,,,,
19.925,15.2108502,6,40,797,127,,,,,,
20.88,15.731704400000002,8,50,1044,123,,,,,,
20.45,14.803421650000002,8,60,1227,143,,,,,,
20.857142857142858,15.249447099999998,8,70,1460,169,,,,,,
20.575,14.9183359375,10,80,1646,157,,,,,,
20.511111111111113,15.185113011111113,10,90,1846,175,,,,,,
20.94,16.32038435,12,100,2094,170,,,,,,
21.3,16.23894736,12,110,2317,187,,,,,,
22.08,17.23845457,14,120,2575,180,,,,,,
22.1,17.333019399999998,14,130,2761,192,,,,,,
21.17,16.78860324,14,140,2914,202,,,,,,
20.74,16.43748374,16,150,3118,192,,,,,,
21.79,17.87252685,16,160,3406,208,,,,,,
21.46,17.63154903,18,170,3606,198,,,,,,
21.76,17.785389090000002,18,180,3822,210,,,,,,
21.69,17.1513524,20,190,4015,200,,,,,,
21.03,15.733292670000003,20,200,4197,209,,,,,,
20.9,15.60020506,20,210,4407,219,,,,,,
21.07,16.37838557,21,220,4682,213,,,,,,
20.87,16.30938135,22,230,4848,220,,,,,,
21.94,17.531696750000002,23,240,5108,215,,,,,,
21.85,17.39159841,23,250,5303,223,,,,,,
20.6,16.138482089999997,23,260,5466,229,,,,,,
20.41,15.92463659,25,270,5647,222,,,,,,
19.99,15.655363919999997,25,280,5821,228,,,,,,
20.46,16.4873906,27,290,6061,223,,,,,,
20.09,16.15844917,27,300,6206,228,,,,,,
20.57,17.272463360000003,27,310,6464,236,,,,,,
19.97,15.368023449999999,29,320,6679,230,,,,,,
20.68,16.249827010000004,29,330,6916,237,,,,,,
20.49,15.59842552,30,340,7157,232,,,,,,
20.5,16.14794187,30,350,7353,238,,,,,,
20.5,16.09421072,32,360,7516,230,,,,,,
20.57,16.253080249999996,32,370,7704,235,,,,,,
21.23,17.305277250000003,32,380,7944,242,,,,,,
20.4,16.65111339,34,390,8101,235,,,,,,
21.07,16.90348016,34,400,8313,241,,,,,,
20.52,16.097927040000002,36,410,8516,236,,,,,,
20.44,16.154407199999998,36,420,8723,241,,,,,,
20.28,15.939078389999999,36,430,8944,247,,,,,,
19.73,15.343499290000002,37,440,9130,240,,,,,,
19.83,15.369974459999998,38,450,9336,245,,,,,,
20.79,17.160265690000003,39,460,9595,241,,,,,,
20.75,16.99906352,39,470,9779,245,,,,,,
20.54,17.277638319999998,39,480,9998,250,,,,,,
22.62,21.632706919999997,46,490,10363,222,0.10401809960603714,-8.60184383392334,362,0.039189573377370834,-3.163382053375244,0.01
23.65,26.257940800000007,52,500,10678,202,0.11509639769792557,3.225609302520752,677,0.02267923206090927,-5.186114311218262,0.01
25.65,32.53374736,59,510,11081,186,0.7927252054214478,3.6572933197021484,1080,0.031246207654476166,-7.5254974365234375,0.01
30.57,45.080142069999994,75,520,11780,155,0.408174991607666,0.45602989196777344,1779,0.044615425169467926,-13.202260971069336,0.01
36.89,60.626688900000005,98,530,12633,127,3.741338014602661,-0.0651053935289383,2632,0.038179513067007065,-20.0817813873291,0.01
45.04,80.57191862,125,540,13634,108,4.23026180267334,3.1347594261169434,3633,0.05304756388068199,-30.20445442199707,0.01
56.51,107.96049678,165,550,14987,90,4.651642799377441,-2.4718739986419678,4986,0.05173228308558464,-45.477745056152344,0.01
64.3,125.75995713,208,560,16025,76,6.4216718673706055,0.1585056483745575,6024,0.05400366708636284,-52.02235794067383,0.01
