rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate
22.3,18.1066363,0,10,223,2721,,,,,,
21.75,18.442760300000003,0,20,435,2884,,,,,,
21.4,17.2213719,0,30,642,2822,,,,,,
23.2,18.085037975,0,40,928,2994,,,,,,
23.2,17.8042696,0,50,1160,3032,,,,,,
22.65,17.500889783333335,0,60,1359,3001,,,,,,
22.457142857142856,17.2518264,0,70,1572,2993,,,,,,
22.275,17.0441978375,0,80,1782,3034,,,,,,
22.1,17.014119522222224,0,90,1989,3055,,,,,,
21.96,16.6987294,0,100,2196,2826,,,,,,
21.83,16.65876823,0,110,2406,2636,,,,,,
21.97,17.08330234,0,120,2632,2641,,,,,,
22.38,17.86668091,1,130,2880,2557,,,,,,
21.55,17.356661000000003,1,140,3083,2593,,,,,,
21.16,17.344708949999998,1,150,3276,2607,,,,,,
21.57,17.52919542,1,160,3516,2628,,,,,,
21.95,18.01151256,1,170,3767,2643,,,,,,
22.28,19.281014390000003,1,180,4010,2559,,,,,,
22.01,19.014596129999997,1,190,4190,2562,,,,,,
22.46,19.53354465,1,200,4442,2576,,,,,,
22.53,19.39270016,1,210,4659,2609,,,,,,
22.24,18.49745909,1,220,4856,2613,,,,,,
21.82,18.15832091,1,230,5062,2566,,,,,,
21.53,18.05791785,2,240,5236,2586,,,,,,
21.66,17.79766627,2,250,5442,2601,,,,,,
21.07,17.42187342,2,260,5623,2610,,,,,,
20.64,17.100107259999998,2,270,5831,2627,,,,,,
20.54,15.97350481,2,280,6064,2625,,,,,,
20.61,15.945846329999997,2,290,6251,2628,,,,,,
20.26,15.873288490000002,2,300,6468,2643,,,,,,
20.66,16.59629334,2,310,6725,2662,,,,,,
21.01,16.789002970000002,2,320,6957,2684,,,,,,
21.02,16.61059256,2,330,7164,2700,,,,,,
21.04,16.40403929,2,340,7340,2699,,,,,,
21.26,17.107670929999998,2,350,7568,2716,,,,,,
21.56,17.51797091,2,360,7779,2708,,,,,,
21.29,17.07461776,2,370,7960,2707,,,,,,
21.33,17.66615435,3,380,8197,2720,,,,,,
21.61,18.162600640000004,3,390,8412,2721,,,,,,
21.34,17.76327215,3,400,8602,2733,,,,,,
