#{"t_start": 1687004315.9622293, "env_id": "CustomHopper-source-v0"}
r,l,t
12.844588,12,5.17309
11.764234,11,5.180757
12.898801,12,5.188781
13.025009,12,5.197021
12.941964,12,5.206385
11.812834,11,5.215612
11.742473,11,5.223171
13.040007,12,5.231619
12.848546,12,5.239273
11.802602,11,5.24764
13.067252,12,5.255324
11.558078,11,5.262521
12.929335,12,5.270435
11.82922,11,5.277648
11.788565,11,5.285055
12.964588,12,5.293057
12.956624,12,5.300701
11.719795,11,5.307662
11.787656,11,5.314685
11.663521,11,5.321614
11.596177,11,5.328809
11.792029,11,5.342713
11.781082,11,5.352125
11.817849,11,5.359997
13.036959,12,5.367651
11.667516,11,5.374827
12.980954,12,5.38331
12.912913,12,5.391416
11.505941,11,5.39916
12.908698,12,5.407412
11.777561,11,5.415015
12.822563,12,5.423274
12.989787,12,5.431715
12.983736,12,5.441917
12.927831,12,5.449985
11.669239,11,5.457414
12.995629,12,5.46538
11.740076,11,5.472666
12.926538,12,5.480993
11.675081,11,5.488216
11.797987,11,5.495701
11.83348,11,5.503052
11.705717,11,5.510487
11.845668,11,5.518053
11.816289,11,5.525841
11.743249,11,5.538435
11.873626,11,5.545742
11.576223,11,5.553351
11.792611,11,5.56077
11.827746,11,5.568093
