#{"t_start": 1684148211.3765845, "env_id": "CustomHopper-source-v0"}
r,l,t
23.438098,25,0.072756
10.259981,17,0.076053
8.138351,12,0.078825
10.386113,16,0.082513
11.080215,15,0.087257
24.499518,44,0.512222
13.700579,23,0.775023
13.531263,18,0.981631
8.925616,12,1.107969
9.183338,16,1.294843
9.906825,16,1.452
5.745662,8,1.542022
9.824732,19,1.738266
23.369712,23,1.976044
8.46443,11,2.095962
6.557905,11,2.201804
22.876722,22,2.430003
10.408456,16,2.596064
67.122819,77,3.473208
58.010809,34,3.918319
55.389865,37,4.314948
29.460431,30,4.66064
60.657258,55,5.245052
11.563797,30,5.563193
19.646729,22,5.837082
10.223146,17,6.011753
37.748909,41,6.442286
210.57634,132,7.772057
88.315377,67,8.484858
54.491828,38,8.925349
86.242466,57,9.577883
187.18121,83,10.572262
238.77288,139,12.153727
172.001427,77,13.056722
54.622434,32,13.447654
201.460405,87,14.426751
206.903826,93,15.48495
62.679914,36,15.926221
54.659332,32,16.327181
199.769358,86,17.398254
52.955644,31,17.766613
55.083948,32,18.145775
196.745123,84,19.260546
201.452124,87,20.296734
196.869807,84,21.268516
