,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,14.6260806,2023-05-18 15:12:33.650744,2023-05-18 15:12:34.575897,0 days 00:00:00.925153,16,1000000,0.9,0.0001730941486374191,10000,-1.0708817477852346,big,0.05,512,COMPLETE
1,1,41.8328652,2023-05-18 15:12:33.651790,2023-05-18 15:13:10.343968,0 days 00:00:36.692178,2048,1000000,0.9999,0.01214214687023108,0,-1.8166670382159866,small,0.001,8,PRUNED
2,2,16.7166402,2023-05-18 15:12:33.659271,2023-05-18 15:12:34.688644,0 days 00:00:01.029373,2048,1000000,0.999,0.01373955725697421,10000,0.9298796284742084,big,0.001,16,COMPLETE
3,3,102.59107759999999,2023-05-18 15:12:33.686191,2023-05-18 15:13:08.246405,0 days 00:00:34.560214,128,1000000,0.9,0.0056035928427753704,0,0.9895645597600744,medium,0.02,8,COMPLETE
4,4,53.823401000000004,2023-05-18 15:12:34.576806,2023-05-18 15:12:59.196589,0 days 00:00:24.619783,16,1000000,0.98,0.0010841776072311228,0,-3.021303332215161,medium,0.08,512,COMPLETE
5,5,127.13645460000002,2023-05-18 15:12:34.691301,2023-05-18 15:12:56.568633,0 days 00:00:21.877332,512,1000000,0.98,0.023534215825363983,0,-2.565894939266734,small,0.001,8,COMPLETE
6,6,220.23986760000003,2023-05-18 15:12:56.569712,2023-05-18 15:12:58.303832,0 days 00:00:01.734120,1024,1000000,0.999,0.8838767173307279,1000,-3.226516904550392,big,0.005,32,COMPLETE
7,7,13.674250999999998,2023-05-18 15:12:58.305891,2023-05-18 15:12:58.864181,0 days 00:00:00.558290,64,10000,0.995,0.00011961498866136074,10000,-1.588256783457128,small,0.001,512,COMPLETE
8,8,65.1948816,2023-05-18 15:12:58.865220,2023-05-18 15:13:00.456501,0 days 00:00:01.591281,16,100000,0.9999,1.2077905042869785e-05,20000,-3.6196471316529952,small,0.005,4,COMPLETE
9,9,59.263912600000005,2023-05-18 15:12:59.197876,2023-05-18 15:13:01.305375,0 days 00:00:02.107499,256,10000,0.98,0.5192648050229821,20000,-3.1958914956639113,medium,0.05,256,COMPLETE
10,10,19.8891234,2023-05-18 15:13:00.458138,2023-05-18 15:13:01.544397,0 days 00:00:01.086259,1024,100000,0.9999,0.00011808183450118403,1000,-3.0671567293352284,medium,0.01,4,COMPLETE
11,11,,2023-05-18 15:13:01.306788,2023-05-18 15:13:08.042777,0 days 00:00:06.735989,32,1000000,0.995,0.5163747442275123,0,-3.6782068480224974,big,0.05,4,PRUNED
12,12,17.673516999999997,2023-05-18 15:13:01.545273,2023-05-18 15:13:02.169360,0 days 00:00:00.624087,32,10000,0.99,1.6794543814071186e-05,20000,0.8339279483318247,big,0.01,1,COMPLETE
13,13,68.83968399999999,2023-05-18 15:13:02.170520,2023-05-18 15:13:03.078539,0 days 00:00:00.908019,1024,1000000,0.999,0.11533710646373203,10000,-3.113916146682209,big,0.005,128,COMPLETE
14,14,26.6666504,2023-05-18 15:13:03.079793,2023-05-18 15:13:03.890098,0 days 00:00:00.810305,512,1000000,0.99,0.06568638173678822,1000,-2.8306698755592534,big,0.005,32,PRUNED
15,15,,2023-05-18 15:13:03.891783,2023-05-18 15:13:09.426885,0 days 00:00:05.535102,16,1000000,0.98,0.34813165573329036,0,-2.895367025691522,small,0.001,256,PRUNED
16,16,36.858484399999995,2023-05-18 15:13:08.045728,2023-05-18 15:13:32.239588,0 days 00:00:24.193860,512,10000,0.98,0.03291915839685613,0,-2.315691386093951,small,0.01,8,PRUNED
17,17,38.9536206,2023-05-18 15:13:08.247515,2023-05-18 15:13:33.564546,0 days 00:00:25.317031,512,10000,0.95,0.09134002017738427,0,-3.4070482287205692,small,0.001,8,PRUNED
18,18,61.32990500000001,2023-05-18 15:13:09.430783,2023-05-18 15:13:35.840924,0 days 00:00:26.410141,512,1000000,0.95,0.006406748506826667,0,-1.907731930466079,small,0.001,256,COMPLETE
19,19,18.276637,2023-05-18 15:13:10.347003,2023-05-18 15:13:11.411266,0 days 00:00:01.064263,256,1000000,0.999,0.49247502799649484,1000,-2.862464159660232,big,0.005,256,PRUNED
20,20,75.6521848,2023-05-18 15:13:11.412211,2023-05-18 15:13:36.807210,0 days 00:00:25.394999,512,1000000,0.98,0.000671450293131731,0,-3.8056768905584963,small,0.001,512,COMPLETE
21,21,40.0955466,2023-05-18 15:13:32.240414,2023-05-18 15:13:32.833561,0 days 00:00:00.593147,512,1000000,0.98,0.018805556473195803,10000,-0.3929606087096582,small,0.001,8,PRUNED
22,22,40.257149,2023-05-18 15:13:32.834586,2023-05-18 15:13:33.764388,0 days 00:00:00.929802,1024,1000000,0.98,0.18806270973043615,1000,-3.7220127414202757,big,0.005,4,PRUNED
23,23,5.530279999999999,2023-05-18 15:13:33.570243,2023-05-18 15:15:09.254208,0 days 00:01:35.683965,2048,1000000,0.98,0.10063117385931722,0,-3.77834876832743,medium,0.001,8,PRUNED
24,24,57.48667880000001,2023-05-18 15:13:33.768246,2023-05-18 15:13:51.278660,0 days 00:00:17.510414,128,100000,0.9,0.0011104208542149095,0,0.8087940386833066,medium,0.02,256,PRUNED
25,25,10.951411,2023-05-18 15:13:35.842440,2023-05-18 15:13:36.356576,0 days 00:00:00.514136,1024,1000000,0.999,0.050592813561445585,1000,-2.0282944852488005,big,0.001,32,PRUNED
26,26,,2023-05-18 15:13:36.358361,2023-05-18 15:13:46.181328,0 days 00:00:09.822967,128,1000000,0.9,0.40754657939426014,0,-0.23660249861798333,medium,0.01,8,PRUNED
27,27,62.949862599999996,2023-05-18 15:13:36.808652,2023-05-18 15:14:10.660003,0 days 00:00:33.851351,128,1000000,0.9,0.04337740213366403,0,-0.45839123668689563,big,0.02,8,COMPLETE
28,28,17.796432799999998,2023-05-18 15:13:46.185756,2023-05-18 15:13:46.795487,0 days 00:00:00.609731,128,1000000,0.9,0.038977727090212404,20000,0.22157980090254825,medium,0.02,512,PRUNED
29,29,,2023-05-18 15:13:46.796341,2023-05-18 15:13:50.175561,0 days 00:00:03.379220,512,1000000,0.98,0.9546563010998257,0,-3.208026724304835,small,0.08,8,PRUNED
30,30,76.9704226,2023-05-18 15:13:50.177597,2023-05-18 15:13:51.954601,0 days 00:00:01.777004,64,1000000,0.95,0.3931174557426822,1000,-3.9959044277210163,big,0.005,32,COMPLETE
31,31,27.777956800000005,2023-05-18 15:13:51.282490,2023-05-18 15:13:52.329799,0 days 00:00:01.047309,1024,1000000,0.9,0.03931595815276006,1000,-3.6148823736277125,big,0.01,32,PRUNED
32,32,38.58306879999999,2023-05-18 15:13:51.956690,2023-05-18 15:15:34.546770,0 days 00:01:42.590080,2048,1000000,0.995,0.0012230665150005315,0,0.5723274852182236,medium,0.02,16,PRUNED
33,33,328.8889276,2023-05-18 15:13:52.333838,2023-05-18 15:14:26.974375,0 days 00:00:34.640537,128,1000000,0.9,0.001117225173113383,0,0.6194912496990597,big,0.08,16,COMPLETE
34,34,113.90569339999999,2023-05-18 15:14:10.665294,2023-05-18 15:14:11.646359,0 days 00:00:00.981065,64,10000,0.95,0.12344926455409215,1000,-3.8123381569175985,big,0.005,32,COMPLETE
35,35,202.3456198,2023-05-18 15:14:11.648095,2023-05-18 15:14:13.336364,0 days 00:00:01.688269,64,10000,0.9999,0.05734430309212649,1000,-2.513611112438398,big,0.005,32,COMPLETE
36,36,38.6297152,2023-05-18 15:14:13.337799,2023-05-18 15:14:14.158793,0 days 00:00:00.820994,64,10000,0.9999,0.21860456499469588,1000,-2.2095520765058607,big,0.005,1,PRUNED
37,37,16.7728024,2023-05-18 15:14:14.160661,2023-05-18 15:14:14.646612,0 days 00:00:00.485951,32,1000000,0.999,0.435636294328688,1000,-2.6736274747649404,small,0.005,32,PRUNED
38,38,84.6941096,2023-05-18 15:14:14.649019,2023-05-18 15:14:15.374799,0 days 00:00:00.725780,256,10000,0.95,0.1974000519762377,1000,-3.435356399037924,small,0.005,32,COMPLETE
39,39,13.8139406,2023-05-18 15:14:15.377016,2023-05-18 15:14:16.297378,0 days 00:00:00.920362,1024,10000,0.999,0.04454845693823342,1000,-3.922462112027539,big,0.05,32,PRUNED
40,40,11.8120632,2023-05-18 15:14:16.298643,2023-05-18 15:14:17.101300,0 days 00:00:00.802657,64,10000,0.9,0.0026044287857013167,1000,-2.830379282095768,big,0.005,32,PRUNED
41,41,42.3549402,2023-05-18 15:14:17.103853,2023-05-18 15:14:18.071838,0 days 00:00:00.967985,64,10000,0.99,0.13098610748345085,1000,-3.6518848069185723,big,0.005,32,PRUNED
42,42,210.58216720000001,2023-05-18 15:14:18.074609,2023-05-18 15:14:18.954011,0 days 00:00:00.879402,64,10000,0.95,0.09874715053000799,1000,-3.6089098168632794,small,0.02,64,COMPLETE
43,43,96.830219,2023-05-18 15:14:18.955369,2023-05-18 15:14:56.449900,0 days 00:00:37.494531,2048,10000,0.95,0.055435373386800414,0,-3.1881250349073955,small,0.02,64,COMPLETE
44,44,205.3304908,2023-05-18 15:14:26.975334,2023-05-18 15:16:55.629209,0 days 00:02:28.653875,2048,1000000,0.9,0.0005626711048587222,0,-0.012943147661770849,big,0.08,16,COMPLETE
45,45,90.9761374,2023-05-18 15:14:56.451035,2023-05-18 15:15:25.956172,0 days 00:00:29.505137,128,1000000,0.99,0.00046217991514056804,0,0.6090563445099483,big,0.01,16,COMPLETE
46,46,16.6848576,2023-05-18 15:15:09.255279,2023-05-18 15:15:09.816195,0 days 00:00:00.560916,64,10000,0.99,0.07918463562532148,1000,-3.6102687054057876,small,0.02,64,PRUNED
47,47,152.8501252,2023-05-18 15:15:09.818484,2023-05-18 15:16:34.443780,0 days 00:01:24.625296,1024,1000000,0.9,0.002060769834844025,0,-0.6265145771295164,big,0.08,16,COMPLETE
48,48,8.427105800000001,2023-05-18 15:15:25.958439,2023-05-18 15:15:26.831099,0 days 00:00:00.872660,1024,1000000,0.9,0.000862838759302738,0,0.40241212021325345,big,0.08,512,PRUNED
49,49,65.824278,2023-05-18 15:15:26.833464,2023-05-18 15:15:57.313867,0 days 00:00:30.480403,128,1000000,0.9,0.0011922362828763386,0,-0.33411985842275516,big,0.005,16,PRUNED
50,50,14.7625092,2023-05-18 15:15:34.548918,2023-05-18 15:15:35.216923,0 days 00:00:00.668005,64,100000,0.9999,0.007843960652905711,1000,-0.6316285729786473,big,0.005,32,PRUNED
51,51,89.12516819999999,2023-05-18 15:15:35.219011,2023-05-18 15:16:08.387497,0 days 00:00:33.168486,128,1000000,0.9,0.00024401461357875635,0,0.2476036194999795,big,0.08,128,COMPLETE
52,52,20.7074936,2023-05-18 15:15:57.315256,2023-05-18 15:15:58.020763,0 days 00:00:00.705507,128,1000000,0.9,0.0006638576581291663,10000,0.8936046333388319,big,0.08,16,PRUNED
53,53,3.0227682000000002,2023-05-18 15:15:58.022553,2023-05-18 15:18:30.252097,0 days 00:02:32.229544,2048,1000000,0.95,0.010047232335328506,0,0.7948947773100541,big,0.08,16,PRUNED
54,54,52.1520962,2023-05-18 15:16:08.390917,2023-05-18 15:16:08.972453,0 days 00:00:00.581536,64,10000,0.95,0.10385630643379695,1000,-3.6275611191610055,medium,0.05,64,PRUNED
55,55,47.4089392,2023-05-18 15:16:08.973819,2023-05-18 15:16:09.727318,0 days 00:00:00.753499,512,10000,0.95,0.022543499343531732,1000,-3.7446079495899802,big,0.005,128,PRUNED
56,56,19.665730200000002,2023-05-18 15:16:09.729474,2023-05-18 15:16:23.482792,0 days 00:00:13.753318,512,1000000,0.98,0.006150113984707671,0,-2.4146515782303117,small,0.001,8,PRUNED
57,57,174.78377700000001,2023-05-18 15:16:23.483993,2023-05-18 15:16:24.734924,0 days 00:00:01.250931,64,10000,0.95,0.04956557385961654,20000,-3.7520711292937636,big,0.001,32,COMPLETE
58,58,11.390065,2023-05-18 15:16:24.736209,2023-05-18 15:16:25.150260,0 days 00:00:00.414051,64,10000,0.95,0.18746574553254577,1000,-3.9364973909278165,small,0.02,8,PRUNED
59,59,13.285558799999999,2023-05-18 15:16:25.151217,2023-05-18 15:16:25.494723,0 days 00:00:00.343506,16,1000000,0.999,0.8463706813274231,1000,-2.8555644072721647,big,0.005,32,PRUNED
60,60,28.933203600000002,2023-05-18 15:16:25.495444,2023-05-18 15:16:26.070600,0 days 00:00:00.575156,64,10000,0.98,0.23512041817668897,20000,-3.1196215088453814,big,0.001,16,PRUNED
61,61,25.144358399999998,2023-05-18 15:16:26.072490,2023-05-18 15:16:26.631743,0 days 00:00:00.559253,64,10000,0.995,0.01992862003735268,20000,-2.9135250630484375,big,0.02,32,PRUNED
62,62,43.101702,2023-05-18 15:16:26.633229,2023-05-18 15:16:27.185959,0 days 00:00:00.552730,64,100000,0.95,0.029058021070971128,1000,-3.8895606575648753,small,0.02,64,PRUNED
63,63,29.2578256,2023-05-18 15:16:27.187058,2023-05-18 15:16:27.812791,0 days 00:00:00.625733,64,10000,0.9,0.19658488135151317,20000,-3.7680213017442266,big,0.001,32,PRUNED
64,64,85.6285198,2023-05-18 15:16:27.816816,2023-05-18 15:16:28.342066,0 days 00:00:00.525250,64,10000,0.95,0.15971216400353544,10000,-3.659348171617062,small,0.01,64,COMPLETE
65,65,19.252055,2023-05-18 15:16:28.344775,2023-05-18 15:16:28.820586,0 days 00:00:00.475811,64,10000,0.95,0.009243826007921683,20000,-3.74889984749703,big,0.005,32,PRUNED
66,66,21.1229226,2023-05-18 15:16:28.822026,2023-05-18 15:16:29.524328,0 days 00:00:00.702302,128,10000,0.95,0.048263556861696005,1000,-3.4661594543022742,big,0.02,32,PRUNED
67,67,22.5403596,2023-05-18 15:16:29.525430,2023-05-18 15:16:30.122427,0 days 00:00:00.596997,64,10000,0.9999,0.26634891514685843,1000,-1.850565890491163,big,0.05,32,PRUNED
68,68,60.621696,2023-05-18 15:16:30.124611,2023-05-18 15:16:30.867888,0 days 00:00:00.743277,1024,1000000,0.9999,0.11169550531672423,1000,-2.3467148079221345,big,0.005,32,PRUNED
69,69,111.9574292,2023-05-18 15:16:30.868819,2023-05-18 15:16:31.768774,0 days 00:00:00.899955,64,10000,0.95,0.0083331103432791,20000,-3.5505937998412898,big,0.001,32,COMPLETE
70,70,10.689159800000002,2023-05-18 15:16:31.770395,2023-05-18 15:16:32.353760,0 days 00:00:00.583365,64,10000,0.95,0.05014027808898705,1000,-3.82767346415593,big,0.08,8,PRUNED
71,71,47.1080046,2023-05-18 15:16:32.354652,2023-05-18 15:16:32.840844,0 days 00:00:00.486192,16,10000,0.95,0.17200460664322006,20000,-3.6316640426669258,small,0.02,64,PRUNED
72,72,,2023-05-18 15:16:32.841752,2023-05-18 15:16:42.932692,0 days 00:00:10.090940,1024,1000000,0.999,0.9993710380430837,0,-3.2494149726055004,medium,0.005,32,PRUNED
