,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,77.274083,2023-05-18 16:50:20.177972,2023-05-18 16:51:18.678173,0 days 00:00:58.500201,256,10000,0.95,0.002592628666813629,0,0.5689354399723889,medium,0.08,32,COMPLETE
1,1,152.54747400000002,2023-05-18 16:50:20.179082,2023-05-18 16:50:22.825696,0 days 00:00:02.646614,2048,1000000,0.9999,0.3753143028722636,1000,-1.691033571090843,small,0.02,512,COMPLETE
2,2,34.783894,2023-05-18 16:50:20.195198,2023-05-18 16:50:22.058503,0 days 00:00:01.863305,32,10000,0.9,0.08192304995376866,20000,-0.88828706081688,big,0.02,32,COMPLETE
3,3,97.7055622,2023-05-18 16:50:20.203440,2023-05-18 16:50:22.411090,0 days 00:00:02.207650,256,1000000,0.99,0.0063301972808268315,20000,0.915990916742011,small,0.05,256,COMPLETE
4,4,63.11240780000001,2023-05-18 16:50:22.061433,2023-05-18 16:51:01.879236,0 days 00:00:39.817803,32,100000,0.9,0.00031682935620997934,0,0.4438995920439597,medium,0.08,16,COMPLETE
5,5,18.102538199999998,2023-05-18 16:50:22.412429,2023-05-18 16:50:23.114571,0 days 00:00:00.702142,16,1000000,0.99,1.946916325651977e-05,1000,-1.3874758904111886,small,0.01,16,COMPLETE
6,6,40.480986400000006,2023-05-18 16:50:22.836538,2023-05-18 16:50:51.128910,0 days 00:00:28.292372,64,100000,0.999,0.1165869474268685,0,0.9068975009458038,small,0.01,64,COMPLETE
7,7,11.567569,2023-05-18 16:50:23.118299,2023-05-18 16:50:23.879021,0 days 00:00:00.760722,1024,1000000,0.9999,9.863860506640864e-05,10000,0.4793142987402419,medium,0.08,32,COMPLETE
8,8,,2023-05-18 16:50:23.881121,2023-05-18 16:50:38.168592,0 days 00:00:14.287471,64,10000,0.9999,0.21407238928620087,0,-1.926849401729613,small,0.001,32,PRUNED
9,9,12.392883999999999,2023-05-18 16:50:38.170956,2023-05-18 16:50:38.806388,0 days 00:00:00.635432,32,1000000,0.9999,0.003953151450896363,20000,-3.204021065717096,small,0.08,16,COMPLETE
10,10,22.9480736,2023-05-18 16:50:38.807952,2023-05-18 16:50:39.705158,0 days 00:00:00.897206,256,10000,0.98,9.35154816986494e-05,10000,-1.5215809941071665,small,0.02,128,COMPLETE
11,11,214.9583228,2023-05-18 16:50:39.708148,2023-05-18 16:50:41.345206,0 days 00:00:01.637058,16,1000000,0.9,0.008786411964673937,1000,0.20580477074293668,small,0.005,4,COMPLETE
12,12,24.324498400000003,2023-05-18 16:50:41.346398,2023-05-18 16:50:42.162585,0 days 00:00:00.816187,2048,1000000,0.9999,0.003298834208764469,10000,-2.147643800821998,small,0.01,512,COMPLETE
13,13,126.94133439999999,2023-05-18 16:50:42.163617,2023-05-18 16:50:44.068559,0 days 00:00:01.904942,2048,1000000,0.9,6.148577608633421e-05,1000,0.8512285466435531,big,0.005,4,COMPLETE
14,14,15.813718,2023-05-18 16:50:44.069618,2023-05-18 16:50:44.648856,0 days 00:00:00.579238,2048,1000000,0.9,0.10462008550408669,1000,-1.7227106797333671,small,0.02,32,PRUNED
15,15,11.3351744,2023-05-18 16:50:44.650750,2023-05-18 16:50:45.477421,0 days 00:00:00.826671,16,10000,0.9999,0.007788687676234555,1000,0.32208354014192264,small,0.005,4,PRUNED
16,16,16.399527799999998,2023-05-18 16:50:45.481866,2023-05-18 16:50:46.801023,0 days 00:00:01.319157,16,1000000,0.9,0.7023824000704589,1000,-0.3519615734460614,small,0.02,4,PRUNED
17,17,15.788843199999999,2023-05-18 16:50:46.802512,2023-05-18 16:50:47.449483,0 days 00:00:00.646971,64,1000000,0.995,0.2905999165412593,1000,-1.9467933808069073,small,0.02,512,PRUNED
18,18,20.8719316,2023-05-18 16:50:47.450754,2023-05-18 16:50:48.391482,0 days 00:00:00.940728,16,1000000,0.999,0.0083999702945684,1000,0.7501582164252649,small,0.001,4,PRUNED
19,19,15.331868199999999,2023-05-18 16:50:48.394422,2023-05-18 16:50:49.113692,0 days 00:00:00.719270,128,1000000,0.9999,0.09941300693701038,1000,-3.0314625193843487,small,0.02,4,PRUNED
20,20,16.9754576,2023-05-18 16:50:49.117761,2023-05-18 16:50:49.907689,0 days 00:00:00.789928,64,1000000,0.9,0.00042095591093956237,1000,0.42838304228806356,small,0.08,4,PRUNED
21,21,66.886691,2023-05-18 16:50:49.910463,2023-05-18 16:51:20.056346,0 days 00:00:30.145883,16,1000000,0.9,0.031137191499273256,0,0.9681573946788533,small,0.005,16,COMPLETE
