#{"t_start": 1692034948.9950688, "env_id": "CustomHopper-source-v0"}
r,l,t
8.126329,11,2.224441
11.575124,13,2.23431
16.473893,21,2.252125
14.684527,17,2.266567
9.084436,12,2.277218
14.491247,15,2.290895
8.075557,11,2.300733
23.63564,27,3.798834
16.198808,19,4.139395
7.532697,10,4.268584
17.188962,17,4.496021
22.834822,36,5.015944
14.1856,14,5.242264
8.029973,35,5.810679
7.736546,11,5.95541
17.61442,18,6.208824
14.312783,17,6.462636
19.459191,18,6.742553
71.670477,49,7.452397
4.525876,31,7.953762
21.795499,39,8.469298
16.435713,24,8.781133
93.990273,54,9.489365
63.70226,35,10.021821
12.933918,29,10.486878
6.89702,20,10.807011
75.990404,51,11.65488
72.215478,46,12.371249
52.659863,31,12.857044
54.142124,33,13.370986
84.615064,50,14.106717
149.315586,70,15.081398
66.270356,53,15.846742
78.79275,43,16.487931
64.443857,38,16.943692
98.081478,52,17.597681
45.393469,26,17.917002
52.335355,30,18.286483
52.231131,30,18.652126
59.454735,34,19.068363
20.358963,17,19.275244
49.372945,29,19.641285
65.131257,37,20.089928
59.579564,34,20.51469
56.807739,32,20.951263
103.113997,54,21.657662
60.439849,35,22.096211
59.7988,39,22.588477
106.429549,53,23.25451
81.507947,43,23.79614
106.323858,54,24.488232
141.982129,67,25.341473
58.789265,34,25.817431
72.305097,38,26.375175
109.570602,57,27.112955
145.801913,68,28.350051
104.931277,55,29.053643
170.875212,76,30.139654
169.179148,76,31.373899
96.661808,52,32.30126
99.930667,54,33.033222
187.772335,82,34.451367
185.875582,82,36.112657
187.970656,83,37.407693
193.313583,84,38.713601
193.954085,84,40.479685
191.895061,83,42.296746
186.082136,81,43.783292
212.749116,90,45.440304
212.222244,90,46.798113
212.833059,90,48.021332
214.768903,91,49.174862
202.728585,87,50.56147
212.449163,90,51.67399
215.476276,91,52.818335
205.994995,88,53.936891
213.031367,90,55.079128
212.128748,90,56.196916
215.224785,91,57.324289
204.038483,87,58.481122
210.369608,89,59.651899
205.45138,88,60.799206
217.192358,92,61.98898
210.033763,89,63.111557
218.038169,92,64.297547
222.256982,94,65.675433
188.157369,82,66.70033
215.053447,91,67.915905
202.618444,87,69.082846
205.820518,88,70.230934
211.015147,89,71.43385
212.120554,90,72.725918
146.84382,73,73.745504
166.672729,79,74.803894
199.879396,88,76.022985
204.365465,87,77.397367
201.089429,86,78.728057
201.025948,86,79.823459
198.29794,85,81.002402
213.033265,90,82.128675
221.458539,93,83.369354
203.127665,87,84.450537
199.814469,86,85.500403
213.668189,90,86.583136
211.209722,89,87.672647
201.783899,86,88.910059
196.916523,85,89.967415
19.623256,21,90.23752
214.929818,91,91.374324
13.252072,18,91.688645
263.258048,154,93.582095
268.325588,146,95.37355
209.289445,89,96.464494
248.903195,127,98.052853
261.98586,142,99.862645
211.465206,89,100.962608
116.059415,104,102.25375
223.915459,102,103.53087
213.615052,90,104.643877
217.964834,92,105.792444
213.199507,90,107.207561
216.206264,104,108.940643
216.426718,91,110.38416
216.138652,91,111.871074
220.387072,93,113.436523
216.449019,91,114.993462
213.509919,90,116.53653
215.95037,91,118.118568
213.579656,90,119.615451
247.854327,121,121.567254
215.785414,91,123.070154
215.8217,91,124.629766
216.106238,91,126.2144
216.081625,91,127.760303
217.871215,92,129.23908
213.270259,90,130.685131
215.554737,91,132.150444
213.82664,90,133.676055
215.192769,91,135.266125
215.600905,91,136.808386
217.773975,92,138.337916
216.169344,91,139.760559
215.738403,91,141.171053
217.819211,92,142.703699
215.122894,91,144.09983
209.795064,89,145.522587
215.631832,91,147.237302
