#{"t_start": 1692035356.2370932, "env_id": "CustomHopper-target-v0"}
r,l,t
25.170024,29,0.812708
11.370881,15,0.823989
36.694917,28,0.842945
14.722973,15,0.855864
13.967858,20,0.98515
15.522336,24,1.414006
37.723887,38,2.112738
57.107527,48,2.919915
56.124672,54,3.826403
12.029777,32,4.380302
12.62315,17,4.683525
16.703517,22,5.073927
13.557989,16,5.345862
10.353546,29,5.853802
122.672329,120,7.788159
29.847683,33,8.334145
21.552378,24,8.741888
24.387961,22,9.079675
94.101765,69,10.227361
51.885633,34,10.795553
104.658504,69,11.959282
16.786052,45,12.739339
128.400575,77,14.083084
80.983821,61,15.181748
137.347305,112,17.203592
72.94268,46,18.0123
101.329217,64,19.128734
106.193759,75,20.419002
72.699679,43,21.195055
73.13886,42,21.935931
131.960657,68,23.091214
109.047746,59,24.124444
56.637988,34,24.710388
186.228658,84,26.08323
160.257299,76,27.397939
161.93562,76,28.719566
131.440435,68,29.679323
183.17403,83,30.828726
208.527807,91,32.081313
166.458865,80,33.192144
183.850859,83,34.340727
136.915429,72,35.29763
188.718179,85,36.470195
196.7308,87,37.664518
179.921054,83,38.781976
185.790926,84,39.927276
191.165512,85,41.124621
193.367649,86,42.292404
214.925038,93,43.517181
213.928796,93,44.758667
211.709216,92,45.982094
219.143842,95,47.266056
214.652747,93,48.53246
216.413243,94,49.83498
212.670716,92,51.065406
214.281921,93,52.302178
214.83132,93,53.559304
215.664898,94,54.857202
204.397674,91,56.083057
214.643953,93,57.32823
215.204222,93,58.618259
213.028858,92,60.060601
207.453733,96,61.625711
206.320468,96,63.124889
210.306142,101,64.841373
212.399362,91,66.343571
214.797391,92,67.81882
207.604216,90,69.30102
215.495204,96,70.97317
216.62202,93,72.588521
214.012106,92,74.087453
209.762914,91,75.634344
217.447227,94,76.984399
213.643753,92,78.483639
216.096761,93,80.087939
214.420075,93,81.58873
204.999332,90,82.945654
214.807882,93,84.525978
213.029171,92,86.082881
209.899877,91,87.404526
215.739023,93,88.961158
215.008719,93,90.205308
222.526057,96,91.46926
213.28841,92,92.714095
214.464172,93,93.93943
215.654242,93,95.19142
212.969948,92,96.42607
212.704217,92,97.639236
215.054619,93,98.890553
212.220674,92,100.120207
207.590368,90,101.322964
184.049009,83,102.431103
228.009809,98,103.746186
213.706969,92,104.966161
219.368012,94,106.238461
222.876391,96,107.510479
218.833048,94,108.760993
230.435953,102,110.103805
174.749697,82,111.192887
158.852147,78,112.222747
215.264732,94,113.469085
219.289158,96,114.744005
159.814612,77,115.743453
154.541215,76,116.746664
178.737696,85,117.856816
214.725167,93,119.077782
212.715206,92,120.321466
215.050269,94,121.586611
182.002007,91,122.862019
232.105427,105,124.281137
221.270421,100,125.643293
173.544161,81,126.745239
237.495832,110,128.217762
228.941633,105,129.652339
213.376735,93,130.90181
217.352663,94,132.130746
207.286491,90,133.356405
232.50026,104,134.75318
217.453159,94,135.998516
222.038191,96,137.284153
218.329888,94,138.590626
218.623781,94,139.823424
217.787477,94,141.115084
218.119814,94,142.430444
219.010356,95,143.694676
218.146742,94,144.943467
