train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss,time/total_timesteps,time/fps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/learning_rate
0.8659698963165283,-6.218932151794434,0.2481437623500824,-0.7193892002105713,303,84,30.3,202,28.043485200000003,3,10,0.000707954
0.6637855172157288,-8.942780494689941,0.32273781299591064,-1.9684475660324097,689,68,34.45,588,33.906040149999995,10,20,0.000679776
0.4490532875061035,-15.21535587310791,1.2991622686386108,-3.2328827381134033,1323,62,44.1,1222,52.420041833333336,21,30,0.000633494
0.3092699348926544,-22.244359970092773,1.3943159580230713,-4.0880560874938965,2042,63,51.05,1941,76.706759,32,40,0.000581007
0.21244776248931885,-30.375947952270508,2.6103427410125732,-4.500864028930664,2893,65,57.86,2792,99.07169204000002,43,50,0.000518884
0.1517515629529953,-40.01728057861328,2.151075601577759,-3.246166706085205,3823,67,63.71666666666667,3722,118.19990220000001,56,60,0.00045099399999999997
0.11826048791408539,-47.92045593261719,2.2486867904663086,-3.004725933074951,4763,66,68.04285714285714,4662,131.5889392571429,71,70,0.000382374
0.09827044606208801,-54.8370246887207,4.125617027282715,-2.4520702362060547,5684,65,71.05,5583,141.741810575,86,80,0.00031514099999999996
0.08528579026460648,-61.802001953125,2.699209213256836,-0.8596153259277344,6613,66,73.47777777777777,6512,149.8774991888889,99,90,0.000247324
0.07841760665178299,-67.78672790527344,2.5826773643493652,-1.8151237964630127,7522,67,75.22,7421,155.4744633,111,100,0.000180967
0.07453195005655289,-70.79694366455078,14.424871444702148,-0.6961686015129089,8425,68,81.22,8324,172.51256966999998,123,110,0.00011504799999999997
0.07295101135969162,-78.0020751953125,4.343890190124512,-1.327488899230957,9392,68,87.03,9291,190.24830562,136,120,4.4456999999999964e-05
