#{"t_start": 1691936038.7196372, "env_id": "CustomHopper-source-v0"}
r,l,t
9.078347,14,78.727173
20.169774,22,78.755966
19.430398,25,78.788931
9.917677,16,78.811188
75.678693,50,82.164232
10.343519,18,82.582206
7.941079,13,82.864226
6.868946,11,83.10604
32.150998,35,83.894767
16.731552,27,84.498613
25.46793,22,84.993081
5.524622,18,85.462062
5.449562,13,86.081016
12.74607,28,86.745261
65.815181,40,87.692348
6.214625,19,88.150838
7.58724,10,88.377799
16.00328,25,88.944947
42.021412,37,89.794801
7.69385,10,89.999977
4.938936,20,90.523177
106.522529,62,91.92995
177.686698,121,94.866702
250.119272,207,99.452482
40.363568,26,100.187904
115.941973,61,102.296499
204.535253,99,104.848083
146.74583,77,106.520582
107.295091,54,107.647853
206.115948,89,109.552471
190.040848,82,111.291497
199.992261,92,113.363812
185.756296,82,115.20443
179.512713,83,116.940444
212.806357,91,118.804747
183.655754,84,120.518098
176.311473,81,122.243952
181.962995,80,123.999092
182.566635,84,125.810914
104.762996,55,126.99919
180.265891,86,128.860914
183.342915,82,130.677705
183.171654,88,132.701211
178.57046,87,134.717876
173.755379,86,136.852072
175.937188,84,139.076883
180.541152,87,141.376514
181.188983,86,143.687681
173.927976,87,145.978477
180.559425,81,148.14243
179.532159,82,150.317838
182.457962,84,152.547162
169.984807,83,154.750444
167.140522,82,156.917043
163.349671,81,159.057602
148.097745,73,161.029642
159.196617,78,163.053813
160.047823,78,165.089106
166.367003,81,167.144868
178.933711,85,169.196848
172.205638,82,171.114712
196.303832,91,173.25324
140.146483,72,174.914195
186.561995,88,176.99708
154.210082,75,178.758056
223.277485,97,181.193102
251.156936,106,184.079927
246.48512,102,186.460347
250.991346,104,188.964055
239.151257,99,191.380923
235.285977,97,193.701888
225.359316,93,195.971345
217.33517,91,198.225599
227.703213,94,200.514718
174.962641,85,202.5211
210.587579,89,204.638567
215.475098,90,206.77105
207.23187,88,208.884408
204.565764,86,210.947943
230.559667,95,213.258782
193.795628,88,215.36218
203.363708,89,217.914273
209.393299,88,220.077725
203.408914,90,222.421413
206.885729,91,224.689551
208.63572,88,226.765145
208.225539,87,228.880071
198.331263,88,230.994424
201.555777,86,233.391856
201.419215,85,235.418275
213.266242,93,237.547883
192.024172,88,239.643925
184.712858,87,241.714414
211.26254,92,243.899427
182.329501,85,245.839692
205.511699,92,248.158573
162.335609,78,249.978889
162.052934,77,251.619061
177.662935,82,253.431811
239.429145,97,255.582413
196.825944,87,257.5825
183.970431,85,259.594452
166.856397,78,261.469707
226.671133,98,263.728661
209.968637,93,265.770894
173.291843,79,267.539481
232.855446,96,269.705807
242.627103,99,272.035691
219.78966,93,274.179984
226.888945,95,276.376356
247.233538,100,278.705371
172.974901,81,280.606397
212.749138,97,282.934314
211.715257,92,285.046206
160.482126,78,286.825308
203.568615,93,288.816662
223.585254,94,290.873406
207.690474,96,293.114849
210.642993,96,295.33147
257.468341,104,297.830575
240.448508,96,300.012275
243.946104,100,302.352719
243.87207,100,304.475067
217.508153,94,306.557637
229.609385,98,308.679379
186.824772,87,310.574482
218.591414,99,312.678566
245.204849,100,314.887766
232.049148,102,317.047893
210.195236,96,319.059491
251.03392,101,321.205748
223.997545,93,323.237409
199.181039,91,325.155723
68.664397,37,325.928033
220.99877,100,328.036454
231.250321,99,330.131137
251.915304,100,332.251793
273.264869,111,334.579084
261.432607,104,336.819913
263.51162,105,339.090981
264.475532,108,341.479522
274.274927,107,343.764158
284.817954,111,346.1318
271.759585,107,348.531704
279.055016,109,350.893848
282.982071,110,353.415745
288.177261,113,355.840399
233.977584,97,358.028385
235.919383,97,360.236152
249.66322,105,362.604809
298.67579,116,365.170285
295.403774,114,367.726606
298.597851,118,370.375684
310.004013,129,373.289973
298.162556,118,376.041183
282.86674,111,378.744614
298.306471,117,381.718982
305.047633,122,384.83673
295.569109,116,387.801726
291.237793,116,390.790157
291.728754,117,393.913758
298.432623,121,396.948047
307.686167,124,400.145467
281.962958,118,403.232759
298.312946,120,406.333039
290.897885,116,409.159723
293.055962,120,412.048445
296.663678,125,415.069755
307.522429,122,418.006637
187.261203,95,420.266058
286.869364,127,423.258597
272.259582,117,425.973097
309.126159,124,428.914268
299.214824,121,431.896775
238.309076,105,434.384892
267.888646,131,437.583883
287.956225,113,440.385265
299.634174,121,443.513769
271.399649,125,446.628349
299.134937,123,449.694044
286.799538,117,452.781285
267.821141,113,455.700057
282.194466,126,458.844491
267.64549,127,462.108988
279.418716,115,464.957639
293.931076,119,467.736091
261.116558,118,470.478384
180.942888,88,472.381883
287.926548,118,474.997959
252.614034,112,477.561487
290.627731,117,480.15513
297.308441,119,482.829005
313.559178,125,485.689488
266.539467,115,488.172567
300.837204,120,490.815053
312.069375,125,493.59345
312.642649,125,496.276743
316.682901,127,499.254024
291.3179,119,502.07948
329.978365,129,505.171424
267.579084,116,508.221965
315.507105,130,511.262222
307.95868,126,514.165934
299.696494,121,517.174675
321.379338,130,520.275928
306.340503,131,523.340594
320.718714,130,526.454769
295.713521,123,529.130067
321.074456,130,532.078905
300.49439,124,534.788278
311.974784,127,537.560959
292.846866,119,540.219441
319.864733,128,543.051528
318.145432,129,545.957407
305.985423,124,548.699907
303.889083,121,551.316953
292.955937,121,554.021402
299.161137,124,556.925335
320.667082,130,559.83929
298.155526,122,562.514254
287.776702,115,565.167585
303.605984,122,568.160594
309.02034,124,570.992223
300.069116,122,573.614761
294.957116,118,576.324442
