#{"t_start": 1692030353.8180203, "env_id": "CustomHopper-target-v0"}
r,l,t
23.309052,23,0.084271
18.284861,26,0.096425
11.056684,37,0.106575
10.829463,18,0.16401
18.568588,22,0.469857
9.581124,16,0.666558
6.974089,9,0.782189
12.840647,31,1.114921
16.583264,25,1.379908
17.909723,21,1.61298
10.90709,19,1.820918
21.250403,20,2.034962
27.800216,31,2.38483
42.116133,30,2.724719
16.725445,20,2.940703
22.482077,20,3.166686
35.030704,55,3.817479
8.006343,12,3.985579
62.387523,74,5.066967
30.696363,40,5.507304
91.391612,72,6.280206
21.405681,34,6.629847
118.848755,83,7.497257
103.349234,60,8.191345
154.479833,84,9.29855
75.700686,47,9.80301
83.614514,57,10.428578
87.729184,51,10.994877
67.194294,38,11.463349
80.553049,45,11.976458
111.466253,59,12.677397
92.534526,54,13.304159
97.53718,56,13.963175
94.771784,53,14.587808
109.612774,60,15.263053
213.188314,101,16.417532
182.705516,86,17.445788
208.485716,92,18.512902
204.822542,98,19.66374
200.412782,99,20.815779
151.379232,77,21.726387
163.129985,80,22.636434
168.030277,80,23.527834
199.454468,90,24.605066
209.723037,95,25.699101
165.16676,85,26.827087
144.423372,75,27.747739
83.641832,46,28.441879
135.113815,72,29.316254
176.354467,87,30.32016
133.127177,71,31.139814
153.067702,82,32.064131
203.630296,99,33.213446
159.824001,82,34.151285
221.088129,96,35.245049
67.173592,38,35.676287
205.653163,96,36.748729
164.772864,84,37.71339
193.678684,87,38.695103
185.869236,90,39.744426
191.892649,93,40.798469
206.790447,97,41.939786
193.50989,93,43.027661
259.381177,106,44.21328
244.539227,103,45.379754
220.239342,100,46.526957
223.130673,96,47.740715
217.930799,99,49.012813
219.649002,103,50.156734
234.916041,100,51.245409
212.45258,98,52.297138
229.788788,98,53.372676
235.08911,111,54.596092
223.759681,102,55.698949
222.125876,95,56.727264
214.324941,93,57.725256
222.809434,95,58.800572
198.58785,88,59.781748
198.969622,89,60.759596
216.550131,94,61.836661
216.358561,94,62.846018
206.270235,91,63.799187
215.841319,95,64.807293
229.196948,99,65.830203
229.149786,99,66.871045
235.300007,101,67.919252
246.859612,104,69.02281
242.40406,102,70.087164
250.989819,106,71.196936
230.99284,100,72.252232
251.686567,103,73.350427
263.490839,109,74.49764
12.269644,16,74.660862
13.763501,17,74.837778
260.226263,108,75.944826
12.397927,16,76.105367
10.268367,15,76.267877
13.854927,17,76.444618
11.631011,16,76.606834
12.264589,16,76.772118
11.080137,15,76.924123
13.794167,17,77.097904
12.471171,16,77.261856
9.752327,14,77.420572
14.190591,17,77.606549
16.640521,19,77.831492
266.20012,110,79.012871
262.383074,109,80.185141
266.060193,108,81.411096
268.116123,111,82.588318
270.992594,112,83.778396
267.392853,110,84.956455
258.585588,110,86.123302
262.184414,109,87.28684
260.340818,109,88.461348
259.532528,109,89.613048
258.394363,108,90.765908
254.804803,107,91.916651
258.55094,109,93.076611
259.520751,110,94.234866
262.041117,111,95.416766
250.696836,112,96.628222
257.136526,110,97.824374
253.041266,109,98.986731
256.054189,109,100.112629
260.248515,110,101.260895
256.124252,107,102.384351
253.043993,108,103.546122
254.342944,109,104.742457
254.59054,109,105.905586
260.396697,110,107.101082
264.009828,113,108.330416
256.205541,119,109.592298
