time/total_timesteps,train/critic_loss,time/episodes,time/time_elapsed,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/fps,train/actor_loss
228,0.26094162464141846,10,1,0.9134250283241272,-0.4551657438278198,14.593749500000001,0.0007134289999999999,127,22.8,148,-5.2603888511657715
549,0.26372969150543213,20,5,0.7299985885620117,-1.5514724254608154,21.1669896,0.000689996,448,27.45,101,-7.251523971557617
1120,1.5689458847045898,30,11,0.5053515434265137,-3.1416573524475098,43.5868878,0.000648313,1019,37.333333333333336,94,-13.043159484863281
1878,2.720933675765991,40,20,0.3301624357700348,-4.054393768310547,70.578600525,0.000592979,1777,46.95,90,-20.51839828491211
2665,3.3754372596740723,50,30,0.22739151120185852,-4.499776363372803,88.39122531999999,0.000535528,2564,53.3,88,-27.65633201599121
3490,6.466335296630859,60,39,0.1648041158914566,-3.8202896118164062,101.79076850000001,0.000475303,3389,58.166666666666664,87,-35.591224670410156
4480,14.110905647277832,70,51,0.12583701312541962,-2.483973503112793,118.84893367142857,0.000403033,4379,64.0,87,-43.24024963378906
5443,10.542047500610352,80,61,0.1023547574877739,-2.453906536102295,131.17354212499998,0.00033273399999999995,5342,68.0375,88,-50.93350601196289
6434,5.711117744445801,90,72,0.088716521859169,-1.194145917892456,142.19162841111114,0.000260391,6333,71.4888888888889,89,-59.71471405029297
6867,6.614150047302246,100,76,0.08563659340143204,-1.1547281742095947,136.59100192,0.000228782,6766,68.67,89,-62.66873550415039
7403,8.877732276916504,110,82,0.0846574455499649,-0.6342442035675049,146.53851120999997,0.000189654,7302,71.75,89,-66.24822235107422
8496,17.44034194946289,120,94,0.08388795703649521,0.0648874044418335,169.86748476,0.00010986499999999997,8395,79.47,90,-72.8909912109375
9590,10.081579208374023,130,105,0.08325305581092834,-0.6771707534790039,186.59801812,3.0003000000000018e-05,9489,84.7,90,-81.47224426269531
