#{"t_start": 1692134155.6170993, "env_id": "CustomHopper-source-v0"}
r,l,t
9.646867,11,4.748887
14.938751,15,5.148625
24.192822,24,6.638578
28.602239,25,8.571432
10.344829,15,9.451205
5.537744,35,12.744087
9.934035,15,13.497574
8.608407,20,15.463967
33.644637,51,19.662127
10.22715,22,21.759458
11.381773,15,22.973626
5.799635,15,25.591851
16.012465,16,26.815131
5.428283,8,27.710339
19.85151,19,29.731867
84.817207,54,35.364219
10.735191,29,38.417266
5.38322,14,39.901773
31.526415,54,42.844774
18.85002,34,44.995846
124.472639,120,50.870008
134.90379,103,55.392713
52.199078,30,56.574507
68.33862,40,58.103873
84.828598,51,59.789915
130.712501,107,63.540373
220.118557,101,69.38913
154.331459,76,73.491643
196.676645,88,79.399657
54.60241,32,81.639401
183.551507,84,88.115939
180.141018,81,93.800303
184.278897,83,99.596696
181.185271,81,104.889312
181.934004,82,109.519831
183.501525,81,114.402544
185.836314,83,118.974073
185.958544,82,123.47327
184.493637,82,127.963886
185.401935,84,134.145771
180.678212,82,138.747285
174.054645,82,143.527886
181.753697,81,148.554487
190.692811,84,154.179499
175.240435,85,159.208755
178.035644,87,164.724482
183.282231,83,169.655474
179.635103,82,174.928698
187.533448,83,180.708955
181.323994,82,185.619489
177.732387,82,190.301622
189.645808,84,196.591144
183.645538,82,202.215159
192.309059,86,207.495478
201.641222,88,213.503783
194.055678,86,219.249269
199.602447,90,225.300601
196.571967,94,231.251197
203.403056,93,237.590909
190.180284,86,243.849206
203.041522,91,249.974517
216.501356,92,255.93219
198.558351,88,263.405882
213.498992,91,270.244822
183.71163,87,276.853089
234.458676,100,284.754673
204.523487,100,292.03002
207.065524,92,299.16303
228.649732,100,306.748161
245.629266,108,314.875026
238.571719,104,323.083127
226.237523,105,332.045071
