rollout/ep_len_mean,time/episodes,train/ent_coef,train/actor_loss,train/critic_loss,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,rollout/ep_rew_mean,train/n_updates,time/fps,train/learning_rate
19.6,10,0.9869275689125061,-4.732577800750732,1.4268007278442383,2,300,-0.06639739871025085,15.1058749,19,117,0.00073
20.15,20,0.9726044535636902,-4.552773475646973,0.8137675523757935,4,500,-0.13967734575271606,14.108351149999999,39,119,0.00073
19.6,30,0.9549813270568848,-5.0157246589660645,0.44178447127342224,5,750,-0.23169752955436707,14.304872666666666,64,131,0.00073
21.625,40,0.9349437952041626,-5.2873125076293945,0.20156577229499817,8,1040,-0.3393843173980713,17.389796975000003,93,126,0.00073
22.7,50,0.9200315475463867,-5.359879493713379,0.24554681777954102,9,1260,-0.4203854203224182,17.22390574,115,127,0.00073
23.033333333333335,60,0.9033888578414917,-5.579399585723877,0.30846303701400757,12,1510,-0.5116853713989258,17.802251366666667,140,121,0.00073
23.1,70,0.8883464932441711,-5.675270080566406,0.3871263861656189,13,1740,-0.5930829048156738,17.461652942857143,163,125,0.00073
23.5875,80,0.8665833473205566,-5.971460342407227,0.24585191905498505,16,2080,-0.7215123772621155,18.671504050000003,197,129,0.00073
24.31111111111111,90,0.8478133678436279,-6.165890216827393,0.3133469820022583,18,2380,-0.8297186493873596,20.348744455555558,227,125,0.00073
24.68,100,0.8288688659667969,-6.4803009033203125,0.5797297954559326,22,2690,-0.9359185695648193,20.70068071,258,117,0.00073
25.63,110,0.8151013255119324,-6.390002250671387,0.602051854133606,25,2920,-1.01887845993042,21.775174389999997,281,112,0.00073
27.07,120,0.7911707162857056,-6.7212371826171875,0.42353013157844543,29,3330,-1.1748533248901367,23.93350557,322,112,0.00073
29.0,130,0.7729913592338562,-6.895962715148926,0.3124167025089264,34,3650,-1.2788403034210205,26.142459,354,106,0.00073
28.93,140,0.7574478387832642,-7.246307373046875,0.3966909348964691,36,3930,-1.385249137878418,25.97162776,382,108,0.00073
29.55,150,0.731055498123169,-7.664124488830566,1.0350557565689087,39,4420,-1.550490379333496,28.29108432,431,112,0.00073
32.32,160,0.7117773294448853,-7.957003593444824,0.3875609040260315,41,4790,-1.670320749282837,31.16343062,468,116,0.00073
34.61,170,0.6861386299133301,-8.307212829589844,1.1724141836166382,44,5300,-1.8521409034729004,34.113816310000004,519,119,0.00073
36.41,180,0.6572254300117493,-8.555765151977539,0.8397098779678345,47,5900,-2.0447137355804443,37.225917519999996,579,125,0.00073
38.35,190,0.635051965713501,-9.240378379821777,0.4055156111717224,49,6380,-2.170572280883789,39.90535756,627,130,0.00073
43.28,200,0.6024418473243713,-9.80589771270752,0.651141881942749,52,7120,-2.4681506156921387,47.258603550000004,701,135,0.00073
45.49,210,0.5814325213432312,-10.38814926147461,1.7035595178604126,54,7620,-2.6046438217163086,51.9827297,751,139,0.00073
47.04,220,0.564071536064148,-10.3158597946167,1.2756445407867432,55,8050,-2.733541488647461,55.502957079999995,794,143,0.00073
47.94,230,0.545436441898346,-10.575611114501953,2.3041505813598633,57,8530,-2.8955061435699463,58.135872809999995,842,148,0.00073
50.75,240,0.520443320274353,-11.725990295410156,2.735503673553467,59,9200,-3.031698703765869,63.15457858,909,153,0.00073
53.85,250,0.4988844096660614,-12.431112289428711,1.495613932609558,62,9810,-3.1820504665374756,68.97715398,970,157,0.00073
53.98,260,0.4779368042945862,-13.16810417175293,2.151818037033081,66,10430,-3.3712244033813477,74.03430415,1032,156,0.00073
55.35,270,0.4605429172515869,-13.691923141479492,1.3585121631622314,69,10970,-3.575502395629883,79.30274166,1086,158,0.00073
57.67,280,0.43397343158721924,-14.14613151550293,1.7183642387390137,75,11840,-3.6994786262512207,88.41026335000002,1173,157,0.00073
60.85,290,0.41200920939445496,-15.240199089050293,2.306790590286255,80,12610,-3.722029209136963,99.79139240999999,1250,156,0.00073
62.59,300,0.3888015151023865,-16.56843376159668,2.0135602951049805,86,13480,-4.061561584472656,110.03742676,1337,155,0.00073
65.42,310,0.3679381310939789,-17.337867736816406,2.2951648235321045,93,14320,-4.184830188751221,120.24728437000002,1421,153,0.00073
68.93,320,0.3481394350528717,-18.21538543701172,2.1573216915130615,98,15170,-4.2770891189575195,132.56480494,1506,153,0.00073
72.72,330,0.3303130865097046,-19.149629592895508,3.3881466388702393,103,15990,-4.5295281410217285,144.4698639,1588,154,0.00073
75.43,340,0.31324097514152527,-20.770130157470703,5.016472816467285,108,16820,-4.881908893585205,155.16945582,1671,154,0.00073
77.34,350,0.2977893054485321,-20.882892608642578,4.171797752380371,113,17640,-4.205201625823975,163.45781255999998,1753,155,0.00073
81.0,360,0.2824368178844452,-22.240249633789062,3.0790939331054688,117,18490,-4.86033821105957,173.6209534,1838,156,0.00073
82.64,370,0.26839154958724976,-23.57315444946289,2.2085471153259277,122,19310,-4.943684101104736,180.28387751000002,1920,157,0.00073
84.03,380,0.2549496591091156,-24.229982376098633,2.4869024753570557,128,20140,-5.131022930145264,184.21823765999997,2003,156,0.00073
84.29,390,0.24248474836349487,-24.874895095825195,5.575527667999268,133,20970,-4.4471635818481445,184.66585351,2086,157,0.00073
83.06,400,0.2308177351951599,-25.786243438720703,2.3269691467285156,137,21780,-5.029262542724609,183.01300547999995,2167,158,0.00073
83.38,410,0.21954238414764404,-26.729854583740234,3.6764750480651855,142,22610,-5.094662189483643,183.67281895,2250,158,0.00073
83.16,420,0.208895742893219,-27.762794494628906,1.496286392211914,148,23430,-4.429305076599121,182.96459298,2332,158,0.00073
83.18,430,0.1987684667110443,-27.89830780029297,2.0063424110412598,153,24250,-5.458249092102051,183.1166962,2414,158,0.00073
83.12,440,0.18845507502555847,-29.024662017822266,7.059567928314209,158,25120,-5.11997127532959,182.76110676,2501,158,0.00073
83.32,450,0.17914876341819763,-30.941560745239258,1.5327978134155273,163,25970,-5.917210578918457,182.98952719999994,2586,158,0.00073
83.4,460,0.16983859241008759,-30.83220100402832,6.932076454162598,169,26860,-5.763817310333252,183.18086397,2675,158,0.00073
83.63,470,0.16143003106117249,-32.57123565673828,5.462264060974121,175,27700,-5.158066272735596,183.96051533000005,2759,157,0.00073
83.7,480,0.15358665585517883,-33.15252685546875,3.3087592124938965,180,28520,-5.747684478759766,184.30550353999996,2841,158,0.00073
83.87,490,0.14567282795906067,-33.62221908569336,2.133493661880493,185,29390,-5.011341571807861,184.91662538,2928,158,0.00073
84.06,500,0.13815189898014069,-34.44681167602539,1.6240155696868896,191,30280,-5.685258865356445,185.38636563,3017,157,0.00073
84.3,510,0.13138504326343536,-34.97345733642578,1.7161225080490112,197,31130,-5.397172927856445,186.21581978000003,3102,157,0.00073
84.46,520,0.12459032982587814,-36.113365173339844,3.936105251312256,203,32020,-5.7105841636657715,187.00169008999998,3191,157,0.00073
84.72,530,0.11832890659570694,-37.512577056884766,5.431468963623047,208,32890,-5.768677711486816,187.53858323,3278,157,0.00073
85.14,540,0.1124744638800621,-38.44401550292969,2.284485340118408,214,33770,-5.472568511962891,188.13621634999998,3366,157,0.00073
85.34,550,0.10695081949234009,-38.81655502319336,3.662024974822998,220,34630,-5.65336799621582,189.3305176,3452,157,0.00073
85.61,560,0.10167059302330017,-39.86254119873047,1.9423599243164062,226,35500,-5.38499641418457,190.78525686999998,3539,156,0.00073
86.18,570,0.0968259945511818,-39.764949798583984,5.540729999542236,231,36370,-5.164765357971191,191.71702265,3626,156,0.00073
86.84,580,0.09221335500478745,-41.17295837402344,4.427617073059082,238,37290,-5.279862880706787,193.48451688,3718,156,0.00073
87.29,590,0.08824120461940765,-40.991798400878906,2.893231153488159,244,38160,-5.40004825592041,194.34968132999998,3805,156,0.00073
87.72,600,0.08398077636957169,-41.970943450927734,5.142432689666748,250,39040,-5.5508599281311035,194.96537966999998,3893,155,0.00073
88.29,610,0.07993841171264648,-43.140804290771484,4.538904190063477,258,40010,-5.54559326171875,196.95823706,3990,154,0.00073
88.91,620,0.07654140889644623,-43.675331115722656,4.938914775848389,265,40900,-4.646054744720459,198.40579148,4079,154,0.00073
89.16,630,0.07356559485197067,-44.207515716552734,7.5800371170043945,271,41790,-4.467372894287109,199.20887198,4168,154,0.00073
89.5,640,0.07102327048778534,-43.585060119628906,24.438888549804688,278,42710,-3.339296579360962,201.00205357000002,4260,153,0.00073
90.31,650,0.06833522766828537,-47.25165557861328,2.005340337753296,285,43690,-3.712214469909668,203.65614924000002,4358,152,0.00073
91.13,660,0.06600462645292282,-47.83354187011719,2.023043155670166,292,44550,-3.554325580596924,204.87375987000004,4444,152,0.00073
91.79,670,0.06298653036355972,-48.59943389892578,2.350773334503174,300,45620,-3.5168795585632324,205.62425908999998,4551,151,0.00073
92.7,680,0.061056409031152725,-50.59252166748047,7.655858039855957,307,46500,-4.344358444213867,206.48701677999995,4639,151,0.00073
93.23,690,0.059007443487644196,-49.85966873168945,13.056903839111328,314,47420,-2.6972219944000244,206.75116587999997,4731,150,0.00073
94.45,700,0.05651925504207611,-51.21299743652344,6.431196212768555,322,48430,-4.855214595794678,210.09486301999993,4832,150,0.00073
95.28,710,0.05434668809175491,-51.440792083740234,9.464738845825195,330,49440,-3.537712574005127,211.49238632,4933,149,0.00073
