#{"t_start": 1686414188.4077728, "env_id": "CustomHopper-target-v0"}
r,l,t
348.997116,156,0.417036
350.437169,157,0.648295
350.660759,157,0.861211
350.416814,157,1.087366
350.521158,157,1.314084
349.204395,156,1.496551
353.485242,158,1.685136
349.080061,156,1.865883
350.476537,157,2.045558
348.78784,156,2.225246
353.723208,158,2.425743
350.087017,157,2.615549
350.961461,157,2.799836
350.574656,157,3.009359
350.864917,157,3.204647
351.074313,157,3.394865
350.94516,157,3.585751
351.288767,157,3.786804
349.00091,156,3.981246
350.081083,157,4.179101
350.554919,157,4.395008
348.890943,156,4.588137
348.025636,156,4.799237
347.997191,156,4.976702
348.953614,156,5.153616
352.721192,158,5.344733
350.573312,157,5.528328
350.399512,157,5.724073
350.717367,157,5.927651
347.996963,156,6.125237
350.410601,157,6.344788
350.592647,157,6.550464
353.03086,158,6.770381
351.056571,157,6.992331
350.862873,157,7.194047
348.281219,156,7.355318
350.415148,157,7.536944
348.895511,156,7.728334
349.61125,157,7.925825
350.54497,157,8.14798
348.143729,156,8.356129
350.411022,157,8.567119
352.435106,157,8.796553
350.812105,157,8.989624
350.841643,157,9.222023
348.517848,156,9.40732
350.841753,157,9.592001
350.411956,157,9.790861
348.315502,156,10.008471
349.689563,157,10.19996
