#{"t_start": 1686390570.1157956, "env_id": "CustomHopper-source-v0"}
r,l,t
398.364619,210,12.35356
371.738212,194,12.548393
408.168069,217,12.772041
363.258781,185,12.973107
397.730627,210,13.231763
394.26278,204,13.45077
391.741141,213,13.667554
402.730164,219,13.907286
390.625912,201,14.135815
386.310876,200,14.354443
389.387667,201,14.634985
411.998046,224,15.001285
388.488718,199,15.259951
394.648568,205,15.535897
388.529883,201,15.762648
401.219093,212,16.007488
390.51022,197,16.217844
408.966246,219,16.44833
382.274445,187,16.639374
399.459271,210,16.871715
382.812557,204,17.09188
392.27021,206,17.322088
378.018643,189,17.597667
387.221095,199,17.84546
369.138131,191,18.124343
383.399913,191,18.44629
404.009227,215,18.889138
366.388555,190,19.1848
370.833445,193,19.473725
371.355754,193,19.719823
405.680047,218,19.975791
383.985159,194,20.197424
399.331234,216,20.440438
404.350289,212,20.677378
408.737141,220,21.134533
396.744418,211,21.488334
367.69589,191,21.709365
385.537218,206,21.944056
372.203167,196,22.15447
397.936745,215,22.398796
364.477414,186,22.615096
392.632301,203,22.855702
399.418319,213,23.107221
402.815781,214,23.366692
384.408043,189,23.629907
366.35811,188,23.877
397.253008,211,24.147494
387.683301,198,24.4004
383.54164,204,24.637427
386.899892,207,24.865288
