#{"t_start": 1686416091.0717888, "env_id": "CustomHopper-target-v0"}
r,l,t
399.327252,139,628.69221
400.789324,140,628.832141
401.585484,140,628.973197
398.778854,139,629.117118
403.025162,141,629.265828
398.818081,139,629.411548
403.505413,141,629.565703
400.883481,140,629.722398
400.272272,140,629.880829
403.507903,141,630.053462
399.205546,139,630.227686
403.322067,141,630.372566
397.858376,139,630.514801
401.528151,140,630.665379
400.720086,140,630.810106
401.617867,140,630.954189
401.651925,140,631.092258
398.394059,139,631.234293
400.792316,140,631.406813
402.90449,141,631.558037
400.99292,140,631.709609
399.568905,139,631.865803
400.854489,140,632.032771
401.042497,140,632.187106
399.530825,139,632.346375
396.421959,138,632.500667
400.834783,140,632.664739
401.599244,140,632.82126
397.964856,139,632.963443
400.799851,140,633.107754
399.895209,139,633.251713
401.687513,140,633.402443
400.730452,140,633.545141
398.851797,139,633.690213
401.244631,140,633.846684
399.742072,139,634.009445
401.45303,140,634.164584
402.61097,141,634.313032
401.224212,140,634.469635
401.400419,140,634.629781
401.862417,140,634.811911
401.809012,140,634.995848
400.322855,140,635.149821
403.587269,141,635.293748
398.312717,139,635.450491
400.779144,140,635.625861
398.164589,139,635.817145
398.628137,139,635.986047
403.067584,141,636.147191
398.348925,139,636.310748
139
215.268562,95,37.616558
206.455144,92,38.75378
216.528378,96,40.10745
207.88992,92,41.264757
205.89516,92,42.597937
207.958059,92,43.827519
217.529233,96,45.026031
204.624028,92,46.241267
213.39202,95,47.45532
224.595318,98,48.702416
220.111641,97,50.009106
223.7965,97,51.229417
211.751155,94,52.450263
224.477109,98,53.649093
208.947879,93,54.675442
225.027844,97,55.701718
217.918595,95,56.754905
234.383616,100,57.939947
215.583948,94,59.039181
233.626342,100,60.177251
241.076813,101,61.276343
237.585588,101,62.353714
226.176283,97,63.370412
234.096407,99,64.462206
235.199103,99,65.537671
229.1294,98,66.615921
234.276453,99,67.705039
249.4254,103,68.81809
232.115675,99,69.971451
258.415247,106,71.177926
255.58802,106,72.307168
255.798566,105,73.41762
269.000031,110,74.571621
271.25456,110,75.723201
260.618357,106,76.8907
257.047751,106,78.00278
286.919082,115,79.219619
276.743652,115,80.494175
269.314565,109,81.625482
260.100122,107,82.800751
253.508235,106,84.075049
252.2183,106,85.328435
247.93374,104,86.535711
268.559148,112,87.835273
278.303119,115,89.253484
266.420797,119,90.705507
277.280388,122,92.239312
275.086044,117,93.710852
275.409757,131,95.23507
299.027361,134,96.852978
162.720756,83,97.888767
321.509003,129,99.485171
251.322877,120,100.958944
318.327043,127,102.428821
270.312296,112,103.786797
193.553472,91,104.859336
176.735262,86,105.850242
231.424076,98,107.03171
304.923414,121,108.417395
228.78541,98,109.624666
233.425673,99,110.82057
307.094965,119,112.318357
320.108284,122,113.7869
318.892207,126,115.20153
338.928878,126,116.626619
312.419847,121,117.980173
302.730769,118,119.297742
281.122881,112,120.536
281.329828,113,121.886893
293.870302,117,123.450744
262.710452,107,124.741245
273.447189,109,126.150618
277.513254,112,127.562243
270.143705,109,128.875124
300.898817,118,130.534093
278.341104,113,132.096321
284.305327,114,133.553756
276.505688,113,134.81909
263.818608,108,136.298653
287.252379,115,137.669595
296.98441,117,139.012327
286.122773,114,140.580395
296.721454,116,142.157723
290.412074,115,143.6169
290.076656,115,144.936056
290.08178,115,146.222471
296.084368,116,147.526039
303.416216,119,148.826005
297.825832,117,150.153369
294.778949,116,151.527241
314.222169,121,153.025239
317.78715,123,154.367857
314.466411,121,155.792161
342.32385,130,157.325804
318.222594,120,158.804728
347.960156,128,160.247945
297.655367,117,161.595091
311.378223,119,163.041541
241.013673,100,164.305826
344.314926,126,165.651287
338.434421,125,167.160809
249.2365,103,168.37783
338.726682,126,169.815561
221.664999,98,170.854082
234.44442,101,171.984073
241.430969,101,173.072749
329.305153,129,174.498652
323.162079,126,176.067648
238.71408,103,177.150398
320.776991,124,178.599198
308.20973,123,179.998224
319.449956,126,181.475646
313.95644,123,182.851656
324.3762,126,184.292006
320.460309,128,185.716497
329.542586,127,187.200576
292.958136,122,188.617127
339.936193,128,190.051944
323.545657,128,191.566683
304.991185,121,192.928444
312.673943,121,194.309155
301.612036,120,195.656648
288.340868,116,196.938051
284.01359,114,198.196294
304.043163,121,199.595749
281.595991,116,200.889271
309.086872,123,202.348463
307.858988,121,203.858893
286.577607,114,205.951302
286.853716,115,207.580547
305.742421,119,209.252014
309.218902,121,210.910805
305.821137,120,212.640587
299.012209,116,214.30484
211.35592,96,215.676325
311.609734,121,217.418218
287.93034,116,219.216404
323.460598,125,221.334388
309.247929,123,223.143126
290.253794,123,225.255142
322.874319,125,227.091799
293.556175,119,228.858685
311.780491,122,230.640421
311.877337,124,232.437985
305.837366,123,234.140193
293.249185,123,235.890788
296.445674,119,237.499142
316.168478,126,239.195371
313.282791,125,240.91043
301.02564,120,242.516335
307.802024,124,244.216507
294.27035,119,245.844027
297.584695,121,247.541862
298.945648,121,249.33551
311.384549,122,251.108801
67.945199,39,251.688179
314.095649,122,253.436879
316.166971,125,255.284477
317.052099,127,257.001237
313.046265,124,258.895176
286.7056,119,260.506721
299.01929,122,262.456976
274.199679,117,264.255902
281.994994,119,265.955295
279.602856,117,267.549138
300.124407,122,269.261457
290.003586,122,270.948998
292.542843,125,272.609271
288.308105,126,274.519186
314.273845,128,276.342214
333.874001,125,278.12058
301.751921,122,279.801182
299.069023,122,281.55356
311.350244,123,283.126494
295.727101,122,284.747055
319.626771,126,286.460063
316.285489,131,288.13369
330.193751,130,290.032859
308.382648,124,291.717475
211.491301,96,293.019003
307.071854,124,294.4565
355.673798,142,296.124792
354.38327,140,297.690296
320.046118,133,299.170868
324.737455,134,300.668298
314.88116,134,302.140413
333.780091,139,303.732013
345.267984,140,305.40306
284.783538,128,306.989154
340.21536,141,308.652801
287.286065,132,310.230728
280.441492,129,311.667818
311.157297,137,313.259519
304.704365,135,314.823074
290.184973,134,316.401025
281.377171,130,317.856569
180.337791,95,319.001859
188.24162,95,320.097934
302.38161,134,321.730604
286.239037,134,323.344023
278.766212,132,324.793884
302.493927,134,326.392324
307.47477,143,328.075514
291.038472,139,329.746738
325.804387,130,331.273732
302.504761,135,332.911931
302.837515,139,334.558599
289.491689,134,336.171866
290.15658,133,337.889645
287.742952,128,339.379595
57.689288,37,339.775876
323.02685,138,341.407062
321.99614,137,342.939014
324.712155,138,344.602492
341.373523,139,346.20637
294.548408,134,347.903207
308.757631,134,349.358819
312.824364,137,350.993114
305.706017,134,352.775629
337.590918,141,354.371552
320.0035,136,356.071082
317.730974,135,357.71458
327.957769,135,359.38633
333.079109,138,361.023238
312.229042,134,362.627722
304.674859,135,364.269868
301.488851,133,365.932322
306.400027,138,367.603546
297.937814,136,369.283894
316.977008,136,370.861762
313.117013,144,372.556503
318.015771,135,374.066281
354.414562,146,375.699934
320.011648,134,377.175063
316.343818,136,378.713072
18.6535,36,379.127592
456.387149,232,381.681992
